DateTime,AddedIPs,RemovedIPs
1587258351,5,0
1587261947,2,2
1587265554,1,6
1587269151,4,1
1587272754,1,5
1587276353,2,0
1587279944,1,0
1587287153,3,1
1587290758,1,0
1587294364,0,1
1587297947,0,1
1587301540,0,1
1587305134,1,2
1587308746,5,3
1587312354,2,0
1587315957,1,2
1587319528,3,5
1587323150,4,6
1587326733,6,2
1587330355,1,2
1587333946,4,0
1587337548,0,2
1587341192,0,1
1587344743,1,0
1587348349,1,2
1587351945,1,0
1587355551,2,5
1587359139,5,1
1587362744,1,1
1587366341,0,2
1587369945,2,1
1587373537,1,2
1587377140,1,1
1587380758,1,1
1587384360,1,5
1587387945,6,0
1587391540,1,0
1587395149,0,1
1587398746,1,3
1587402347,1,2
1587405970,2,0
1587409551,0,1
1587413127,1,1
1587416745,1,3
1587423949,3,0
1587427544,0,1
1587431137,0,2
1587434745,3,0
1587438351,1,2
1587441956,1,0
1587445541,2,0
1587449146,1,2
1587452750,0,2
1587456337,2,0
1587459966,1,1
1587463553,0,2
1587467162,2,5
1587470758,2,0
1587477950,1,0
1587481558,1,3
1587485163,1,4
1587488759,2,0
1587492350,1,2
1587495959,4,1
1587499547,4,0
1587503156,0,1
1587510352,0,3
1587513943,0,2
1587517546,4,0
1587521160,0,1
1587524755,1,0
1587528360,2,0
1587531959,1,1
1587535563,0,2
1587539158,2,1
1587542759,1,2
1587546360,3,4
1587549950,4,0
1587553544,0,1
1587557140,0,2
1587560747,2,5
1587564333,4,0
1587567942,1,3
1587571563,4,1
1587575152,0,3
1587578760,3,2
1587582364,2,1
1587585961,0,1
1587589561,1,1
1587593142,1,1
1587596754,1,0
1587600338,0,1
1587603951,1,0
1587607542,1,1
1587611155,2,1
1587614753,1,5
1587618361,4,0
1587621955,1,2
1587625539,1,4
1587629148,4,1
1587632734,0,1
1587636354,1,0
1587639943,1,0
1587643535,1,2
1587647144,1,2
1587650756,1,0
1587654364,2,3
1587657945,1,2
1587661544,2,0
1587665151,1,0
1587668753,0,1
1587672342,1,1
1587679555,0,3
1587683165,0,2
1587686742,2,0
1587690340,3,1
1587693947,1,0
1587701161,0,1
1587704733,1,1
1587719158,3,0
1587726339,1,5
1587729945,2,1
1587733537,3,7
1587737142,5,1
1587740748,1,2
1587744353,1,0
1587747950,1,1
1587751557,0,1
1587755162,0,1
1587758759,2,1
1587762359,3,3
1587765953,2,1
1587769545,1,0
1587773156,0,1
1587776758,0,1
1587780351,2,1
1587783959,2,1
1587787549,1,2
1587791157,2,1
1587794750,1,0
1587798342,1,1
1587801953,0,1
1587805551,2,0
1587812759,1,1
1587816348,0,1
1587823553,0,3
1587827153,2,1
1587830760,2,3
1587834360,2,0
1587837962,0,1
1587841556,1,0
1587845153,0,1
1587848745,1,1
1587852358,2,0
1587855959,0,4
1587859550,3,0
1587863151,0,1
1587866760,2,1
1587870350,1,1
1587873953,2,1
1587881153,0,1
1587884754,0,2
1587888355,2,0
1587891959,0,2
1587895544,1,0
1587899144,2,1
1587902747,1,0
1587906350,1,1
1587909938,0,1
1587913549,1,2
1587917149,1,1
1587920748,1,1
1587924347,1,1
1587927951,1,2
1587931556,1,0
1587935154,1,0
1587938767,0,3
1587942359,2,3
1587945959,3,4
1587949548,4,0
1587953150,1,2
1587956767,3,0
1587963965,1,2
1587967565,1,3
1587971181,0,2
1587974763,2,1
1587978349,2,0
1587981952,1,1
1587985544,2,2
1587989172,1,1
1587992747,2,1
1587996368,3,2
1587999947,2,5
1588003546,4,1
1588010755,0,1
1588014348,0,1
1588017958,0,4
1588021556,1,1
1588025150,1,0
1588032357,2,0
1588035953,1,1
1588039560,2,3
1588043169,4,0
1588046752,0,2
1588050375,1,2
1588053950,0,1
1588057557,2,1
1588061163,1,1
1588064744,2,3
1588068344,3,1
1588071940,2,8
1588075546,3,4
1588079148,6,3
1588082748,5,1
1588086370,3,1
1588089954,0,2
1588093554,1,6
1588097157,3,6
1588100758,11,2
1588104334,3,8
1588107940,7,0
1588118753,0,1
1588125959,0,2
1588129561,4,2
1588133149,1,1
1588136755,2,0
1588140345,1,0
1588143946,0,1
1588147548,1,1
1588151151,1,1
1588154740,1,1
1588158361,0,1
1588161955,1,2
1588165558,1,0
1588169141,1,4
1588172749,5,2
1588176339,1,2
1588179951,1,3
1588183549,1,1
1588187152,2,0
1588190740,1,0
1588194348,1,2
1588197941,2,0
1588208750,0,4
1588212350,4,0
1588215952,2,1
1588219540,1,2
1588223155,1,2
1588226749,2,0
1588230332,0,1
1588233971,1,3
1588241143,0,2
1588244743,0,3
1588248352,1,2
1588251952,3,1
1588255553,4,1
1588259154,1,0
1588262747,4,2
1588266337,1,1
1588269951,0,6
1588273547,0,5
1588277150,10,4
1588280739,4,1
1588284354,1,0
1588291546,1,0
1588295145,0,1
1588298741,1,0
1588302344,0,2
1588305944,2,1
1588309549,2,5
1588313170,3,1
1588316740,2,0
1588320346,1,1
1588323945,1,0
1588331145,0,2
1588338330,0,3
1588341959,3,0
1588345544,1,4
1588349144,3,4
1588352746,1,0
1588356339,3,2
1588359941,0,3
1588363550,2,1
1588367145,3,2
1588370742,2,2
1588374343,2,0
1588377954,0,4
1588381556,3,1
1588385150,1,0
1588388745,1,0
1588392341,0,1
1588399539,1,1
1588403154,2,1
1588410338,0,3
1588413929,4,0
1588424736,1,0
1588428338,1,2
1588431946,0,4
1588435563,0,3
1588439156,2,2
1588442737,2,1
1588446346,2,3
1588449944,7,2
1588453534,2,1
1588457135,1,0
1588460737,0,1
1588464360,1,3
1588467952,1,1
1588471560,2,0
1588475145,3,6
1588478746,5,1
1588482350,0,7
1588485965,3,0
1588489557,4,1
1588493141,1,1
1588496740,1,2
1588500343,1,2
1588503962,1,0
1588507546,2,0
1588511144,0,1
1588514740,2,5
1588518356,4,0
1588521957,1,5
1588525547,3,2
1588529155,2,0
1588532750,1,1
1588536348,1,0
1588539947,1,1
1588543550,3,2
1588547155,2,0
1588550744,0,1
1588561550,0,3
1588565137,3,2
1588568751,3,0
1588572345,1,4
1588575948,5,1
1588579553,0,3
1588583153,0,2
1588586753,3,5
1588590335,5,4
1588593936,4,1
1588597541,0,1
1588601148,3,3
1588604730,1,5
1588608346,3,1
1588611941,3,1
1588615547,1,2
1588619217,2,0
1588626337,0,1
1588629976,1,0
1588633547,1,1
1588637159,1,6
1588640773,1,5
1588644380,2,2
1588647970,5,1
1588651575,2,0
1588655159,5,1
1588658764,0,2
1588662361,1,4
1588665952,2,0
1588669564,2,2
1588673166,3,1
1588676788,1,1
1588680381,2,1
1588683963,0,3
1588687564,3,1
1588694776,2,6
1588698371,3,6
1588701967,5,7
1588705555,7,1
1588709162,0,2
1588712755,5,4
1588716369,1,1
1588719964,0,1
1588723563,2,0
1588727177,4,5
1588730784,0,3
1588734390,8,1
1588737999,2,0
1588741592,1,1
1588745160,2,1
1588748751,1,2
1588752356,1,2
1588755966,2,7
1588759552,2,3
1588763168,5,2
1588766766,1,0
1588770364,1,0
1588773956,0,4
1588777573,0,6
