DateTime,AddedIPs,RemovedIPs
1587900778,2,0
1587904835,0,4
1587906751,1,0
1587908783,0,2
1587910925,1,0
1587912732,2,0
1587914662,0,1
1587918515,0,1
1587921381,1,0
1587923289,0,1
1587925244,1,0
1587932890,1,4
1587934869,2,1
1587942495,1,3
1587944422,0,1
1587946577,0,1
1587948491,1,0
1587950421,0,2
1587952337,0,1
1587954262,1,1
1587956196,1,1
1587958107,0,1
1587960972,1,0
1587962903,1,1
1587968179,2,3
1587970332,1,1
1587974202,1,1
1587976094,1,1
1587978973,4,0
1587982827,2,1
1587984745,2,1
1587986653,1,2
1587988592,2,0
1587993370,1,1
1587995290,1,0
1587997220,2,0
1587999134,1,2
1588002971,2,1
1588007771,3,1
1588011629,1,1
1588013559,1,0
1588015462,1,0
1588019292,0,1
1588022172,1,2
1588029864,0,1
1588031772,1,0
1588033716,1,1
1588036704,1,0
1588040425,0,1
1588042342,2,1
1588044263,1,0
1588046170,1,0
1588048122,0,2
1588052908,1,1
1588054813,0,1
1588056736,2,1
1588062493,0,1
1588065379,1,4
1588069214,1,2
1588071134,0,2
1588073090,1,1
1588075052,2,2
1588076897,1,0
1588079842,1,1
1588081702,0,2
1588083533,1,2
1588085542,1,1
1588087692,2,0
1588090580,2,2
1588092516,0,4
1588098273,1,1
1588100184,1,1
1588102116,0,1
1588105950,1,0
1588107891,1,1
1588115533,4,0
1588117467,0,1
1588119636,1,1
1588121534,1,0
1588123463,0,1
1588125371,2,0
1588127294,1,1
1588129268,0,1
1588131134,0,2
1588133077,1,0
1588138813,1,1
1588142654,0,2
1588150331,2,0
1588152292,0,1
1588156092,0,1
1588158978,1,1
1588160888,0,2
1588162836,1,1
1588164727,2,1
1588168579,0,1
1588173383,1,3
1588175307,0,1
1588177213,0,1
1588179150,1,0
1588181056,1,0
1588182990,3,0
1588184893,0,1
1588187772,0,1
1588193532,0,1
1588195454,0,1
1588197382,2,0
1588201261,0,4
1588206974,4,1
1588208904,0,1
1588210849,0,1
1588212749,2,2
1588216588,1,0
1588218491,1,0
1588220424,2,1
1588222341,1,0
1588224254,0,1
1588228092,1,0
1588230979,1,0
1588234815,1,0
1588236739,1,2
1588242493,1,0
1588244472,0,1
1588248510,0,1
1588250426,0,1
1588254267,1,0
1588258362,1,0
1588260258,0,1
1588262184,3,0
1588264092,1,0
1588267213,1,2
1588269146,2,3
1588271056,2,0
1588278260,1,0
1588284051,0,1
1588285934,1,0
1588293611,0,4
1588299637,0,2
1588301533,1,1
1588305412,1,3
1588307323,0,1
1588310179,1,1
1588312350,2,0
1588314253,1,1
1588316212,1,1
1588321061,0,1
1588322900,0,1
1588324812,1,0
1588326744,1,0
1588328662,0,1
1588332496,1,0
1588335376,3,0
1588341145,0,1
1588344976,1,1
1588349793,2,4
1588351688,0,1
1588355538,0,2
1588357449,1,2
1588361286,1,0
1588366345,1,0
1588370184,1,0
1588372092,1,1
1588374088,2,1
1588379782,1,0
1588387454,0,2
1588391301,0,1
1588393219,1,0
1588395136,1,0
1588397051,3,2
1588398970,0,1
1588400903,1,1
1588402839,0,1
1588406667,1,0
1588408571,1,0
1588410503,1,1
1588414335,0,1
1588416261,2,0
1588418172,0,1
1588420101,1,1
1588422022,0,2
1588423936,1,0
1588425861,4,0
1588432814,1,1
1588434732,0,1
1588436660,0,1
1588440743,1,0
1588442689,4,1
1588444584,1,0
1588448413,0,1
1588452254,2,0
1588454170,1,1
1588456147,0,1
1588458010,1,1
1588459931,1,1
1588461880,1,1
1588463769,1,0
1588465696,1,1
1588468587,1,0
1588470494,1,0
1588474355,2,0
1588478203,1,0
1588480098,0,2
1588482049,0,1
1588483953,2,1
1588486119,1,1
1588491854,1,1
1588495703,2,1
1588497611,0,1
1588501468,0,2
1588503375,2,0
1588505294,1,1
1588507241,1,0
1588509241,1,1
1588511318,0,1
1588513214,3,4
1588517064,2,1
1588518970,2,0
1588520892,3,0
1588524734,2,0
1588526651,1,1
1588528578,0,3
1588530748,1,1
1588538415,2,2
1588540361,0,1
1588542256,3,0
1588544441,0,1
1588546340,1,1
1588548254,0,1
1588550188,0,1
1588552103,0,1
1588554038,1,0
1588555955,1,1
1588557887,1,0
1588559800,1,0
1588561717,0,1
1588563622,0,1
1588567452,1,0
1588569369,0,1
1588571308,2,1
1588573221,1,1
1588575143,2,0
1588577063,2,0
1588578973,0,1
1588580897,0,1
1588583775,3,1
1588585692,1,0
1588587626,1,0
1588589535,1,2
1588591455,5,1
1588593396,3,1
1588595291,2,1
1588598196,1,0
1588600099,1,3
1588602013,0,1
1588603932,0,1
1588605866,0,3
1588607770,1,2
1588609689,1,0
1588612566,0,3
1588614497,1,1
1588616413,1,1
1588618328,3,0
1588620258,2,0
1588622166,2,0
1588624086,3,2
1588626967,1,1
1588628896,1,2
1588632727,1,1
1588636566,1,0
1588641609,0,1
1588643530,2,3
1588645473,0,1
1588649290,2,0
1588654098,0,1
1588657931,2,3
1588659867,2,0
1588661818,4,1
1588663687,0,1
1588666582,2,0
1588668490,1,0
1588670417,3,3
1588672332,2,1
1588674262,0,1
1588676173,0,1
1588678094,0,5
1588680984,1,4
1588682897,0,2
1588686752,0,1
1588688694,2,0
1588692506,1,1
1588694456,1,0
1588696349,3,1
1588698257,2,0
1588700176,1,0
1588702111,0,1
1588704038,0,2
1588705933,0,4
1588709767,0,4
1588711699,1,1
1588713607,2,2
1588715535,0,2
1588719391,2,1
1588721287,1,0
1588724168,0,1
1588728253,2,0
1588730169,1,2
1588732098,2,0
1588734982,1,1
1588736889,1,1
1588738816,2,0
1588740739,2,0
1588742651,1,0
1588744578,1,2
1588746493,0,3
1588749370,2,3
1588751286,1,0
1588753218,1,3
1588755146,1,1
1588757047,0,2
1588758981,2,1
1588760889,1,0
1588763768,2,0
1588767616,0,1
1588769531,3,0
1588773379,2,0
1588775287,0,2
1588777237,2,0
1588779135,3,0
1588780957,2,1
1588782996,2,3
1588784900,2,2
1588786812,2,1
1588788765,1,0
1588792578,1,0
1588794502,1,0
1588796407,1,0
1588798329,1,1
1588800269,1,2
1588802235,1,0
1588804441,4,0
1588806277,0,2
1588808182,0,1
1588812016,1,0
1588813942,0,1
1588815851,1,1
1588818012,0,2
1588821861,1,1
1588823767,0,1
1588825687,1,2
1588827666,0,1
1588829534,0,1
1588831476,2,1
