DateTime,AddedIPs,RemovedIPs
1587603674,3,0
1587605534,1,1
1587615642,1,1
1587617902,0,1
1587619953,1,2
1587623778,0,2
1587625715,1,0
1587627629,1,2
1587631470,1,0
1587633381,1,1
1587637225,1,0
1587639170,1,2
1587641065,1,1
1587646936,0,2
1587648743,0,1
1587650927,0,1
1587654765,0,1
1587656692,0,2
1587658584,1,1
1587662417,0,1
1587666254,0,1
1587670103,0,1
1587673240,0,2
1587677094,1,0
1587678979,0,2
1587680887,1,0
1587687618,3,2
1587689530,3,2
1587691473,0,2
1587693389,0,2
1587695292,1,0
1587702018,0,1
1587705848,1,1
1587713536,0,2
1587717380,0,1
1587721247,1,1
1587723134,0,1
1587725063,1,1
1587727258,0,1
1587734830,1,0
1587738007,1,0
1587739931,1,0
1587745723,4,1
1587748578,2,0
1587750487,1,0
1587752418,1,0
1587762043,0,1
1587764200,1,0
1587766116,1,1
1587768021,1,0
1587773773,0,3
1587775932,0,3
1587779790,1,0
1587781712,0,1
1587783645,2,0
1587785545,2,0
1587791308,1,1
1587793215,1,0
1587795131,1,0
1587800891,2,0
1587802820,1,0
1587804731,2,0
1587806661,0,1
1587808572,1,0
1587810502,0,1
1587814350,1,0
1587818188,1,0
1587820106,1,0
1587822113,0,1
1587825851,0,1
1587827769,0,1
1587831610,0,4
1587833533,1,1
1587835468,2,1
1587837369,0,1
1587839291,0,1
1587845054,1,0
1587846984,1,0
1587850812,0,1
1587852749,0,1
1587854654,0,1
1587856570,1,0
1587860409,1,0
1587862332,1,0
1587864260,1,0
1587866173,0,1
1587870109,0,2
1587871940,1,2
1587877948,1,1
1587879850,0,1
1587881771,0,1
1587883706,1,0
1587887552,0,2
1587889475,1,1
1587891368,0,2
1587895503,0,1
1587897375,1,0
1587901213,0,1
1587905050,0,1
1587906977,0,1
1587910926,36,0
1587912732,4,0
1587921381,0,2
1587923290,0,1
1587925245,1,0
1587932890,0,2
1587942495,0,1
1587946577,2,1
1587948492,0,1
1587950422,0,1
1587952338,1,0
1587958108,0,1
1587960976,3,0
1587967293,1,1
1587969148,1,1
1587971064,1,0
1587972972,1,0
1587975150,0,1
1587978973,1,0
1587980892,1,0
1587984746,0,1
1587988593,1,0
1587997221,0,31
1587999135,0,9
1588004911,1,0
1588007807,3,0
1588009701,3,0
1588011630,1,1
1588013560,1,0
1588015462,1,0
1588019292,1,0
1588022173,1,0
1588031773,1,0
1588033717,1,2
1588038514,2,1
1588042343,1,0
1588046171,2,1
1588048123,1,2
1588053882,0,1
1588055787,0,1
1588057716,1,1
1588059615,2,1
1588061548,1,0
1588065380,1,1
1588067307,2,1
1588075054,2,1
1588079842,1,0
1588090581,1,1
1588092516,0,3
1588096335,0,3
1588098273,1,1
1588100185,1,1
1588102117,0,1
1588106169,1,1
1588108124,2,0
1588110013,1,1
1588111930,1,0
1588119636,1,2
1588125372,2,2
1588127294,1,0
1588130171,0,1
1588132115,0,2
1588134013,0,1
1588135934,1,0
1588141714,1,0
1588145780,0,3
1588147706,0,1
1588151572,0,1
1588153454,0,2
1588157551,2,0
1588159455,1,0
1588161369,0,2
1588163555,1,0
1588167412,1,1
1588173384,2,0
1588175307,1,1
1588184894,0,1
1588186870,0,1
1588190666,1,0
1588192574,0,1
1588194509,0,2
1588196414,0,1
1588198342,3,1
1588202183,1,0
1588206028,0,1
1588211777,0,2
1588213705,1,1
1588217584,2,0
1588223317,1,1
1588229069,1,1
1588230979,2,0
1588238664,1,0
1588242493,0,1
1588245613,1,2
1588247538,1,0
1588249492,1,0
1588251381,0,1
1588255463,0,1
1588259325,0,1
1588261217,0,2
1588263165,1,0
1588265053,6,0
1588275448,147,0
1588277305,0,1
1588281149,1,0
1588283053,0,1
1588285260,0,2
1588289066,0,1
1588290970,1,0
1588298913,1,1
1588300814,2,0
1588302740,1,0
1588304651,0,2
1588308491,1,0
1588310422,1,1
1588312350,1,0
1588314253,2,0
1588316213,3,3
1588321065,1,0
1588324813,1,0
1588326744,0,1
1588328662,1,0
1588330587,0,1
1588332496,0,1
1588334472,1,0
1588336347,1,1
1588350010,0,1
1588351941,0,6
1588357691,1,0
1588360571,1,30
1588362488,0,117
1588364425,2,0
1588366345,1,1
1588370184,4,0
1588372092,2,0
1588374131,2,0
1588377857,0,1
1588379783,3,0
1588381707,2,0
1588385554,0,2
1588387455,0,1
1588389370,0,1
1588393219,2,0
1588395137,0,1
1588397051,1,1
1588398970,0,1
1588400904,0,2
1588402855,0,3
1588406673,0,1
1588410503,0,1
1588412421,1,0
1588416262,0,1
1588418173,1,0
1588420102,1,0
1588422023,0,2
1588425862,1,0
1588432814,1,0
1588436661,1,0
1588438571,1,0
1588440743,1,0
1588444584,0,1
1588446493,1,1
1588450372,0,1
1588452254,0,2
1588454171,3,0
1588456148,1,4
1588458010,1,1
1588459932,0,3
1588461882,2,0
1588465697,0,3
1588468588,0,2
1588474355,1,0
1588476257,1,0
1588478203,0,1
1588480099,1,1
1588482968,0,1
1588492613,1,0
1588497376,1,1
1588499324,2,0
1588505057,0,1
1588506971,0,1
1588512019,0,1
1588517807,2,0
1588519947,0,1
1588523775,0,2
1588527612,0,1
1588533372,0,1
1588535291,2,0
1588537221,1,0
1588539134,2,0
1588541059,0,4
1588542968,2,0
1588544924,4,1
1588547784,0,1
1588549687,1,1
1588555463,1,0
1588557378,1,0
1588561232,1,1
1588563143,1,1
1588566009,3,1
1588575706,2,0
1588579529,0,1
1588583328,0,1
1588585218,1,2
1588592928,1,0
1588594821,3,0
1588598674,1,0
1588604698,0,2
1588606702,3,0
1588608519,2,0
1588610414,1,0
1588614249,3,0
1588620009,0,1
1588621928,0,2
1588623865,1,0
1588625772,0,2
1588627694,1,1
1588629661,0,4
1588631535,1,1
1588637302,0,1
1588639210,1,0
1588643047,1,1
1588644991,0,1
1588646898,2,1
1588648807,1,1
1588650740,0,2
1588652668,0,1
1588660335,1,0
1588662519,2,2
1588668261,1,0
1588672087,0,1
1588674262,2,0
1588678095,1,0
1588681018,2,4
1588684810,1,1
1588686765,3,0
1588688695,2,0
1588690569,2,0
1588692507,2,2
1588694498,0,1
1588696350,0,3
1588698259,1,0
1588700176,0,1
1588702112,1,2
1588704041,1,0
1588705933,1,0
1588711699,0,1
1588713608,1,1
1588717460,0,1
1588719392,2,0
1588724169,2,1
1588726097,2,0
1588730186,0,1
1588734077,0,2
1588735934,0,1
1588737865,2,0
1588743610,1,0
1588745539,0,1
1588747461,1,0
1588749373,0,2
1588751287,1,0
1588753237,0,1
1588757048,1,0
1588758981,1,0
1588760889,0,2
1588763769,2,1
1588767616,2,2
1588769532,2,1
1588771473,1,0
1588773380,0,4
1588775288,0,1
1588778168,0,4
1588785859,2,1
1588787767,1,1
1588789691,2,0
1588791637,0,1
1588793535,0,1
1588799299,1,0
1588801214,0,1
1588806966,1,2
1588808897,0,2
1588810808,1,0
1588812728,0,2
1588814658,1,0
1588824504,0,2
1588828397,2,0
1588830252,0,1
1588834096,1,1
1588836013,2,0
1588837933,0,1
1588839896,1,0
1588841815,2,0
1588843690,2,1
1588846815,1,1
1588848729,0,1
1588852569,1,1
1588854499,1,1
1588857369,0,3
1588859334,2,0
1588861212,1,0
1588863131,1,0
1588868890,1,0
1588873701,0,3
1588877533,0,2
1588879464,1,0
1588883538,1,0
1588885462,0,1
1588887379,1,0
1588895049,1,1
1588896970,1,1
1588900841,0,2
1588902773,2,0
1588913288,1,0
1588915223,0,2
1588917130,1,0
1588920987,2,2
1588922894,1,1
1588926827,0,1
1588928917,0,4
1588930812,1,0
1588932734,2,1
1588936571,2,0
1588938487,1,0
1588940417,3,2
1588942343,1,0
1588946181,0,2
1588948088,1,1
1588950998,0,1
1588952890,1,0
1588954836,0,1
1588958654,1,0
1588960578,1,0
1588962501,1,0
1588964454,1,0
1588966357,0,1
1588968271,1,0
1588970191,0,1
1588972103,1,0
1588974015,1,1
1588975952,1,0
1588981929,0,2
1588983861,1,0
1588987737,0,1
1588990599,0,1
1589000194,1,1
1589005209,2,1
1589007132,0,1
1589009061,1,1
1589010968,0,1
1589016731,0,1
1589018924,0,2
1589020810,1,0
1589024669,2,3
1589026586,0,3
1589028500,0,1
1589034264,0,1
1589040116,143,1
1589046025,0,2
1589049858,1,2
1589053698,1,1
1589057530,1,1
1589061384,2,2
1589063302,1,0
1589070024,1,1
1589077712,2,0
1589080571,20,0
1589082488,2,0
1589086332,0,1
1589090175,0,1
1589092090,0,1
1589094980,0,1
1589098817,1,0
1589102707,1,0
1589106492,0,1
1589109407,3,0
1589111307,0,2
1589113236,1,0
1589117060,2,0
1589120890,1,0
1589125958,0,143
1589129705,2,0
1589134587,1,0
1589136488,0,1
1589138410,3,0
1589140345,2,1
1589144178,0,1
1589148315,0,3
1589150199,1,0
1589154011,1,0
1589155980,0,1
1589161729,2,0
1589163626,0,2
1589165532,0,20
1589167461,1,1
1589169373,0,1
1589173264,2,0
1589177300,1,0
1589181140,1,0
1589185226,0,1
1589189078,0,1
