DateTime,AddedIPs,RemovedIPs
1585442655,0,1
1585446504,13,0
1585448414,1,0
1585475291,1,0
1585477225,6,0
1585487801,53,0
1585499554,1,0
1585532203,0,15
1585534363,0,1
1585543939,1,0
1585561226,0,1
1585565055,0,6
1585572732,0,53
1585586659,0,1
1585598230,1,0
1585608013,6,0
1585609935,15,0
1585630351,0,1
1585639241,1,0
1585641133,4,0
1585643097,3,0
1585653627,2,0
1585655549,2,0
1585674976,1,0
1585684582,0,1
1585688518,1,0
1585694420,0,6
1585696328,0,15
1585698277,14,0
1585711937,4,0
1585723469,0,1
1585725404,1,0
1585727414,0,4
1585729267,0,3
1585739805,1,1
1585741701,1,3
1585743617,1,0
1585761144,0,1
1585767137,1,0
1585774904,0,1
1585784410,0,14
1585786347,1,0
1585797866,1,4
1585811310,0,1
1585826665,0,2
1585830496,0,1
1585845863,6,0
1585847796,3,0
1585853544,0,1
1585872745,0,1
1585884249,0,1
1585892889,3,0
1585915934,1,0
1585919784,5,0
1585933375,0,5
1585935612,0,2
1585952886,2,0
1585955771,1,0
1585961795,1,0
1585979293,0,3
1586002600,1,1
1586006430,0,7
1586038111,0,2
1586041930,0,1
1586043866,37,0
1586045768,16,0
1586047723,0,1
1586088983,1,1
1586094777,5,0
1586096671,7,0
1586119933,2,0
1586129195,0,3
1586132408,0,50
1586138192,1,0
1586162411,1,0
1586175863,0,1
1586182579,0,12
1586197265,1,0
1586199135,6,0
1586201066,8,0
1586208012,0,2
1586224331,1,1
1586237059,2,0
1586247643,0,1
1586269693,2,0
1586284088,0,1
1586286976,0,14
1586294668,3,0
1586311489,0,1
1586324904,0,2
1586328729,1,0
1586334496,1,0
1586345065,1,0
1586352984,23,0
1586354921,42,0
1586356834,0,2
1586376980,1,0
1586380812,0,3
1586384677,1,0
1586416847,0,1
1586420659,0,1
1586430257,0,1
1586439879,0,34
1586441772,0,31
1586451383,16,0
1586461936,0,1
1586465777,1,0
1586471536,0,1
1586511378,1,0
1586517147,5,0
1586519080,24,0
1586520999,23,0
1586524814,2,0
1586537310,1,0
1586539215,0,4
1586550781,1,0
1586552672,0,1
1586591334,1,0
1586597067,0,1
1586603774,0,14
1586605694,0,32
1586607612,0,18
1586611464,0,2
1586623216,0,1
1586635006,1,0
1586637134,0,1
1586656566,11,0
1586677932,0,1
1586705555,11,0
1586707495,1,0
1586732535,1,0
1586734355,1,0
1586742019,0,2
1586743937,1,9
1586745880,1,0
1586774924,1,0
1586784740,1,0
1586790500,0,2
1586792428,0,10
1586794337,0,1
1586807554,2,0
1586809447,11,0
1586819095,0,1
1586821216,0,1
1586828892,1,0
1586830820,0,1
1586832737,0,1
1586840433,1,0
1586856023,3,0
1586857941,14,0
1586861807,0,1
1586863698,1,0
1586872581,0,1
1586874490,1,0
1586880755,2,0
1586894167,0,2
1586896105,0,4
1586915532,0,1
1586927536,0,1
1586933303,1,0
1586942939,0,18
1586945804,0,6
1586949627,0,1
1586960181,0,1
1586965933,0,1
1586967861,0,1
1587002493,1,0
1587012252,1,0
1587019932,0,1
1587029112,3,0
1587053320,1,0
1587055212,1,0
1587057170,2,0
1587062909,17,0
1587090019,0,1
1587095780,1,0
1587100572,1,1
1587114977,0,2
1587124617,1,0
1587140889,0,2
1587143775,0,2
1587149546,0,18
1587151468,1,0
1587182178,0,1
1587186971,0,1
1587212181,0,1
1587217928,1,0
1587223687,2,0
1587226813,2,0
1587237609,0,1
1587250105,1,0
1587252260,5,0
1587258253,1,0
1587260206,6,0
1587262102,3,0
1587271737,1,0
1587284202,2,0
1587286106,2,0
1587289928,2,0
1587303637,0,1
1587309382,1,0
1587311311,1,2
1587313219,0,2
1587321148,1,0
1587336772,0,1
1587338662,0,5
1587345372,0,3
1587347306,0,4
1587349213,0,3
1587357850,0,1
1587365529,3,0
1587371354,0,2
1587373506,0,2
1587376429,0,2
1587382352,1,0
1587384336,3,0
1587386578,2,0
1587388598,1,0
1587394930,0,1
1587398940,0,1
1587400892,1,0
1587404731,2,0
1587406899,1,1
1587410724,2,0
1587416735,1,0
1587436232,1,0
1587444256,2,0
1587451928,0,3
1587463465,3,0
1587465376,1,0
1587469466,0,1
1587471389,0,3
1587473298,0,3
1587479060,4,0
1587485841,1,1
1587491551,0,2
1587493462,0,1
1587497572,0,2
1587501376,0,1
1587505454,6,0
1587507380,1,0
1587511215,1,0
1587521778,2,1
1587531381,0,2
1587539315,1,0
1587550814,0,4
1587565466,0,4
1587572173,0,1
1587576009,1,0
1587577932,1,0
1587585710,1,0
1587591380,0,2
1587593290,0,5
1587597140,0,1
1587599053,1,0
1587606729,0,2
1587610571,1,0
1587621890,1,0
1587625716,0,1
1587635296,1,0
1587642979,1,0
1587652856,22,0
1587654766,14,0
1587656692,1,0
1587660519,1,0
1587662418,0,1
1587664344,0,1
1587668180,2,0
1587670103,2,0
1587673264,0,1
1587685688,0,1
1587693396,1,0
1587695292,0,1
1587707778,1,1
1587723135,1,1
1587729139,0,1
1587738007,1,0
1587739931,1,29
1587741859,0,7
1587743767,0,1
1587748579,1,1
1587752419,1,0
1587754330,0,2
1587756261,0,2
1587768738,1,0
1587779305,1,0
1587781226,1,1
1587783141,1,0
1587793693,0,1
1587809088,0,1
1587812916,1,0
1587824413,0,1
1587826335,0,1
1587835207,0,1
1587839060,0,1
1587853464,3,0
1587855391,0,1
1587863057,1,0
1587864983,1,1
1587866893,2,1
1587870745,0,1
1587888260,1,0
1587895940,1,0
1587897853,0,1
1587905843,6,0
1587911781,1,0
1587923779,1,0
1587940097,1,3
1587942980,27,0
1587944890,12,0
1587948729,0,1
1587950655,0,1
1587952581,0,1
1587954495,0,1
1587972973,0,1
1587982828,0,1
1587993372,0,6
1587997221,2,1
1588011631,0,1
1588015463,1,0
1588026015,0,1
1588029865,1,27
1588031774,0,12
1588048124,1,0
1588071135,1,0
1588083534,4,2
1588085543,1,0
1588087693,7,0
1588093464,1,0
1588103058,3,1
1588104967,23,0
1588106889,1,0
1588114581,0,1
1588118429,1,0
1588122270,1,0
1588135697,1,1
1588157769,0,1
1588159704,1,0
1588170487,2,4
1588173385,1,8
1588175308,3,0
1588179151,1,1
1588189927,0,7
1588191853,0,20
1588204325,0,1
1588210093,0,1
1588222841,0,1
1588238172,1,0
1588240101,51,0
1588242080,32,0
1588245860,2,1
1588256656,0,2
1588258579,0,1
1588260490,0,2
