DateTime,AddedIPs,RemovedIPs
1588002973,1,0
1588004912,1,1
1588006869,0,1
1588010672,2,0
1588012585,0,1
1588014492,1,1
1588016413,2,1
1588018346,3,1
1588024102,1,2
1588026015,1,0
1588027934,0,1
1588029866,2,1
1588031774,3,3
1588033718,1,2
1588036711,3,0
1588038515,3,1
1588040427,4,1
1588042344,2,2
1588044265,1,1
1588046172,1,0
1588048124,2,1
1588050147,0,4
1588051962,1,0
1588053886,1,0
1588055788,0,1
1588057717,1,0
1588059616,1,0
1588063454,0,1
1588065381,1,0
1588067308,0,3
1588069216,17,0
1588071136,0,1
1588073092,1,2
1588075057,0,3
1588076899,1,1
1588079843,0,1
1588081703,1,2
1588083535,1,1
1588085543,1,1
1588087718,1,0
1588090581,2,0
1588092517,1,2
1588094427,0,1
1588096335,0,3
1588102118,0,1
1588104169,2,0
1588106169,2,0
1588108125,4,0
1588110013,4,1
1588111931,1,0
1588113865,1,0
1588115768,2,0
1588117687,1,1
1588119637,1,1
1588121549,2,2
1588123464,1,1
1588125372,1,0
1588127295,1,1
1588129288,3,3
1588131135,1,0
1588133084,3,0
1588134983,1,0
1588136925,2,1
1588138814,1,1
1588140761,0,2
1588144570,1,1
1588146500,1,1
1588148409,1,0
1588152294,1,0
1588154169,1,0
1588156093,3,1
1588158979,1,1
1588160888,0,1
1588162837,1,0
1588164727,1,0
1588166652,1,0
1588168580,1,24
1588172424,0,2
1588176273,2,2
1588178187,0,3
1588180093,0,1
1588182043,1,0
1588185895,1,1
1588189709,0,2
1588191622,0,2
1588193533,0,2
1588195455,2,4
1588197382,2,1
1588199290,2,1
1588202184,1,6
1588204122,3,3
1588206028,1,1
1588207953,1,3
1588209857,4,2
1588211778,3,1
1588215682,4,3
1588217585,1,1
1588219489,2,1
1588221374,0,1
1588223318,0,2
1588225216,0,1
1588227139,1,0
1588230980,25,0
1588232907,1,1
1588234817,1,1
1588236740,1,0
1588242494,0,2
1588244526,1,1
1588246338,0,1
1588248511,2,0
1588250426,2,2
1588252339,1,3
1588254268,1,0
1588256427,0,1
1588262186,1,0
1588264093,0,1
1588267215,1,0
1588272972,1,0
1588275449,1,1
1588277306,1,0
1588279217,1,0
1588281149,0,1
1588283053,1,2
1588285260,1,2
1588287132,1,0
1588289067,2,2
1588290971,2,1
1588292894,4,0
1588294955,0,3
1588296993,2,3
1588298913,1,1
1588300815,2,1
1588302741,1,1
1588304652,0,1
1588306574,0,1
1588308492,2,0
1588312351,1,0
1588314254,0,1
1588316229,0,27
1588318141,0,2
1588320131,0,1
1588321951,0,1
1588323874,0,2
1588327734,1,0
1588331779,0,1
1588335615,1,2
1588337531,0,2
1588339462,0,1
1588341393,2,1
1588343289,2,1
1588347385,1,0
1588349316,1,1
1588351254,0,1
1588353141,2,0
1588355063,3,0
1588359137,0,1
1588361054,0,2
1588362984,1,0
1588364893,1,1
1588366918,0,2
1588370716,2,0
1588372588,0,3
1588374505,0,3
1588376421,2,1
1588378353,4,4
1588380255,2,1
1588382172,3,1
1588384117,2,2
1588386017,3,0
1588387947,0,3
1588389883,2,1
1588391774,2,0
1588393696,0,1
1588395764,4,2
1588399478,1,1
1588401374,1,0
1588403334,1,1
1588405216,1,0
1588407141,1,0
1588409068,1,0
1588412911,0,1
1588414826,2,1
1588416748,1,0
1588422502,1,0
1588424508,2,0
1588426340,2,1
1588428288,2,2
1588430191,1,1
1588432111,3,0
1588434017,2,1
1588435954,1,2
1588437858,1,0
