DateTime,Entries,UniqueIPs
1588211778,12788,12788
1588213706,13472,13472
1588216589,14000,14000
1588218516,13987,13987
1588220426,13977,13977
1588222343,13974,13974
1588224255,13968,13968
1588226232,13962,13962
1588228093,13950,13950
1588230091,13773,13773
1588231941,13952,13952
1588233860,13943,13943
1588235784,13948,13948
1588237699,13941,13941
1588239616,13936,13936
1588241551,13940,13940
1588243456,13935,13935
1588245614,13928,13928
1588247539,13926,13926
1588249493,13919,13919
1588251382,13911,13911
1588253342,13896,13896
1588255467,13734,13734
1588257376,13727,13727
1588259326,13719,13719
1588261219,13707,13707
1588263188,13713,13713
1588265055,13702,13702
1588267216,13679,13679
1588269148,13665,13665
1588271058,13650,13650
1588272973,13650,13650
1588275450,13635,13635
1588277307,13625,13625
1588279218,13533,13533
1588281151,13517,13517
1588283054,13492,13492
1588285261,13473,13473
1588287133,13468,13468
1588289067,13460,13460
1588290972,12211,12211
1588292895,11012,11012
1588294962,9931,9931
1588296994,9015,9015
1588298914,8520,8520
1588300816,7800,7800
1588302742,7723,7723
1588304653,7707,7707
1588306574,7721,7721
1588308501,7821,7821
1588310424,8047,8047
1588312352,8726,8726
1588314255,9182,9182
1588316235,10242,10242
1588318163,10833,10833
1588320149,11691,11691
1588321952,12295,12295
1588323876,12553,12553
1588325781,12760,12760
1588327735,12971,12971
1588329858,13504,13504
1588331780,13933,13933
1588333702,14369,14369
1588335616,14550,14550
1588337532,14763,14763
1588339464,14924,14924
1588341395,15084,15084
1588343290,15182,15182
1588345354,14294,14294
1588347386,13374,13374
1588349317,12516,12516
1588351255,12513,12513
1588353142,12650,12650
1588355065,12850,12850
1588356978,13081,13081
1588359138,13363,13363
1588361055,13598,13598
1588362985,13736,13736
1588364894,13942,13942
1588366932,14321,14321
1588368757,14534,14534
1588370727,14760,14760
1588372589,14940,14940
1588374506,15159,15159
1588376423,15401,15401
1588378354,15605,15605
1588380256,15834,15834
1588382173,15971,15971
1588384118,16127,16127
1588386018,16230,16230
1588387948,16350,16350
1588389884,16494,16494
1588391775,16682,16682
1588393697,16807,16807
1588395780,16883,16883
1588397631,16727,16727
1588399480,16490,16490
1588401375,16040,16040
1588403335,15463,15463
1588405217,14771,14771
1588407142,14154,14154
1588409068,13800,13800
1588410978,13790,13790
1588412912,13765,13765
1588414827,13764,13764
1588416749,13249,13249
1588418670,12818,12818
1588420594,12519,12519
1588422503,12424,12424
1588424530,12358,12358
1588426341,12324,12324
1588428290,12287,12287
1588430192,12376,12376
1588432111,12441,12441
1588434018,12441,12441
1588435955,12436,12436
1588437860,12423,12423
1588439833,12464,12464
1588441707,12536,12536
1588443636,12602,12602
1588445541,12675,12675
1588447469,13126,13126
1588449374,13194,13194
1588451295,14047,14047
1588454187,14102,14102
1588456149,14905,14905
1588458011,15496,15496
1588459933,16344,16344
1588461884,16412,16412
1588463770,16532,16532
1588465699,16785,16785
1588467678,17467,17467
1588469556,17583,17583
1588471494,17691,17691
1588473375,17762,17762
1588475305,17847,17847
1588477213,17940,17940
1588479134,18025,18025
1588481066,18125,18125
1588482970,18227,18227
1588484889,18324,18324
1588486834,18431,18431
1588488731,18568,18568
1588490666,18715,18715
1588492614,18726,18726
1588494492,18735,18735
1588497379,18749,18749
1588499326,18750,18750
1588501209,18750,18750
1588503148,18753,18753
1588505059,18747,18747
1588506973,18779,18779
1588508890,19439,19439
1588510939,19518,19518
1588512747,19659,19659
1588514920,20362,20362
1588516824,20351,20351
1588518736,20344,20344
1588520660,20341,20341
1588522572,20335,20335
1588524490,20337,20337
1588526423,20339,20339
1588528334,20337,20337
1588530257,20340,20340
1588532186,20340,20340
1588534136,20018,20018
1588536978,19381,19381
1588538891,19241,19241
1588540812,19227,19227
1588542750,19115,19115
1588544675,19088,19088
1588546568,19047,19047
1588548499,18454,18454
1588550438,17981,17981
1588552346,17436,17436
1588554515,16941,16941
1588556415,16975,16975
1588558339,17001,17001
1588560261,17038,17038
1588562168,17088,17088
1588564092,17109,17109
1588566011,17144,17144
1588567982,17193,17193
1588569872,17281,17281
1588571771,17386,17386
1588573710,17605,17605
1588575785,18187,18187
1588577781,18335,18335
1588579975,18376,18376
1588581855,18430,18430
1588583777,18500,18500
1588585694,18543,18543
1588587629,18637,18637
1588589537,18549,18549
1588591457,18555,18555
1588593405,18489,18489
1588595294,18184,18184
1588597290,18123,18123
1588599174,18147,18147
1588601116,17479,17479
1588602981,17480,17480
1588604910,17488,17488
1588607061,17499,17499
1588608992,17524,17524
1588610901,17523,17523
1588612810,17512,17512
1588614731,17521,17521
1588616663,17513,17513
1588618619,17512,17512
1588620512,17505,17505
1588623373,17459,17459
1588625322,17488,17488
1588627213,17459,17459
1588629136,17422,17422
1588631069,17440,17440
1588632982,17555,17555
1588634896,17569,17569
1588638011,17581,17581
1588639927,17579,17579
1588641891,17585,17585
1588643783,17574,17574
1588645727,17575,17575
1588648572,17557,17557
1588650510,17550,17550
1588652416,17566,17566
1588654337,17581,17581
1588656261,17561,17561
1588658170,17543,17543
1588660116,17544,17544
1588662970,17037,17037
1588664890,16723,16723
1588666850,16428,16428
1588668735,16046,16046
1588670653,15721,15721
1588672580,15350,15350
1588674489,15167,15167
1588677376,14655,14655
1588679304,14133,14133
1588681209,13728,13728
1588683133,13520,13520
1588685101,13209,13209
1588687002,12956,12956
1588688902,12912,12912
1588690874,12827,12827
1588692734,12793,12793
1588694915,12764,12764
1588696819,12750,12750
1588698739,12745,12745
1588700663,12727,12727
1588702589,12681,12681
1588704491,12676,12676
1588706422,12667,12667
1588708334,12599,12599
1588710317,12580,12580
1588712176,12569,12569
1588714094,12535,12535
1588716094,12524,12524
1588717954,12514,12514
1588720104,12500,12500
1588722012,12483,12483
1588723974,12458,12458
1588725851,12453,12453
1588727787,12447,12447
1588729694,12445,12445
1588731614,12419,12419
1588733558,12382,12382
1588735458,12369,12369
1588737372,12333,12333
1588739300,13477,13477
1588741285,14720,14720
1588743152,15620,15620
1588745090,16293,16293
1588746973,16359,16359
1588748920,16187,16187
1588750828,16157,16157
1588752734,16136,16136
1588754666,16110,16110
1588756574,16999,16999
1588758491,17003,17003
1588760430,17015,17015
1588762334,16982,16982
1588764255,16911,16911
1588766182,16900,16900
1588768091,16895,16895
1588770092,16876,16876
1588771965,16858,16858
1588773926,16812,16812
1588775785,16779,16779
1588777709,16721,16721
1588779620,16616,16616
1588781547,16493,16493
1588783452,16359,16359
1588785371,16246,16246
1588787302,16129,16129
1588789215,16034,16034
1588791136,15915,15915
1588793064,15805,15805
1588794980,15730,15730
1588796892,15626,15626
1588798890,15501,15501
1588800802,15457,15457
1588802903,15342,15342
1588804814,15221,15221
1588806749,15102,15102
1588808656,14986,14986
1588810570,14870,14870
1588812499,14742,14742
1588814412,14637,14637
1588816340,14508,14508
1588818264,14422,14422
1588820172,14319,14319
1588822138,14237,14237
1588824074,14099,14099
1588825945,12356,12356
1588828123,10703,10703
1588830016,9354,9354
1588831948,8306,8306
1588833852,7800,7800
1588835769,7710,7710
1588837702,7614,7614
1588839610,7529,7529
1588841531,7417,7417
1588843464,7313,7313
1588845369,10129,10129
1588847291,12642,12642
1588850408,12573,12573
1588852331,13377,13377
1588854260,13332,13332
1588856168,13284,13284
1588858086,13220,13220
1588860056,13161,13161
1588861942,13095,13095
1588864108,13133,13133
1588866015,13147,13147
1588868062,13151,13151
1588870107,13161,13161
1588872008,13163,13163
1588873942,13169,13169
1588875862,13176,13176
1588877771,13174,13174
1588879706,13168,13168
1588881643,13173,13173
1588883540,13180,13180
1588885474,13181,13181
1588887381,13127,13127
1588889304,13128,13128
1588891234,13121,13121
1588893145,13124,13124
1588895051,13127,13127
1588896970,13129,13129
1588898899,13120,13120
1588900842,13110,13110
1588902774,13122,13122
1588904685,13114,13114
1588906580,13120,13120
1588908504,13121,13121
1588910441,13129,13129
1588912350,13131,13131
1588914253,13124,13124
1588916193,13092,13092
1588918113,13068,13068
1588920017,13063,13063
1588921939,13058,13058
1588923869,13071,13071
1588925784,13065,13065
1588927692,13070,13070
1588929618,12179,12179
1588931550,9750,9750
1588933448,6778,6778
1588935384,6719,6719
1588937289,6370,6370
1588939282,5597,5597
1588941149,5580,5580
1588943066,5546,5546
1588944969,5539,5539
1588946914,5550,5550
1588948813,5582,5582
1588950998,5596,5596
1588952891,5591,5591
1588954837,5565,5565
1588956733,5640,5640
1588958656,5649,5649
1588960579,5644,5644
1588962505,5649,5649
1588964477,5647,5647
1588966358,5655,5655
1588968275,5653,5653
1588970192,5661,5661
1588972104,5657,5657
1588974015,5668,5668
1588975953,5671,5671
1588977854,5603,5603
1588980026,5618,5618
1588981930,5053,5053
1588983862,5084,5084
1588985767,5192,5192
1588987738,5344,5344
1588990603,5548,5548
1588992498,6564,6564
1588994407,6716,6716
1588996336,6811,6811
1588998260,6898,6898
1589000196,6987,6987
1589002088,7074,7074
1589005210,7251,7251
1589007133,7885,7885
1589009062,7976,7976
1589010969,8071,8071
1589012890,8147,8147
1589014903,8236,8236
1589016732,8322,8322
1589018926,8412,8412
1589020812,8494,8494
1589022746,8574,8574
1589024671,8680,8680
1589026587,8769,8769
1589028502,8854,8854
1589030412,8927,8927
1589032337,8963,8963
1589034265,9045,9045
1589036193,9064,9064
1589038142,9128,9128
1589040191,9147,9147
1589042184,9160,9160
1589044137,9462,9462
1589046026,9554,9554
1589047938,9606,9606
1589049860,9685,9685
1589051815,9759,9759
1589053699,9826,9826
1589055622,9898,9898
1589057532,9983,9983
1589059456,10044,10044
1589061386,10269,10269
1589063303,10344,10344
1589066436,10443,10443
1589068332,10531,10531
1589070252,10573,10573
1589072177,10550,10550
1589074127,10478,10478
1589076982,10387,10387
1589078965,10327,10327
1589080843,10304,10304
1589082746,10292,10292
1589084656,10304,10304
1589086580,10290,10290
1589088490,9351,9351
1589090456,9329,9329
1589092410,9745,9745
1589094278,10097,10097
1589096219,10056,10056
1589099056,10035,10035
1589100988,10027,10027
1589103226,10014,10014
1589105087,9988,9988
1589107029,9995,9995
1589108909,9940,9940
1589110826,9898,9898
1589112748,9864,9864
1589114677,9822,9822
1589116584,9823,9823
1589118506,10415,10415
1589120412,10596,10596
1589122333,10625,10625
1589124258,10607,10607
1589126181,10524,10524
1589128090,10419,10419
1589130178,10457,10457
1589132182,10590,10590
1589134181,10595,10595
1589136031,10582,10582
1589137939,10577,10577
1589139857,10592,10592
1589141787,10592,10592
1589143692,10591,10591
1589145658,10620,10620
1589147535,10547,10547
1589149464,10572,10572
1589151371,10621,10621
1589153294,10649,10649
1589155321,10651,10651
1589157136,10672,10672
1589159301,10682,10682
1589161459,10694,10694
1589163377,10721,10721
1589165303,10762,10762
1589167213,10778,10778
1589169132,10768,10768
1589171065,10737,10737
1589172971,10646,10646
1589174891,10581,10581
1589176927,10510,10510
1589178804,10345,10345
1589180696,10400,10400
1589182619,10335,10335
1589184762,10260,10260
1589186657,10190,10190
1589188639,10122,10122
1589190492,10062,10062
1589192437,10000,10000
