DateTime,AddedIPs,RemovedIPs
1588126092,1,0
1588128015,1,1
1588129944,0,2
1588131871,1,1
1588135698,0,2
1588137610,0,1
1588139528,1,0
1588141465,1,2
1588145290,1,1
1588147289,1,1
1588149142,0,1
1588151081,1,2
1588152991,3,0
1588154902,1,0
1588156836,2,2
1588158742,1,6
1588160655,3,1
1588162838,1,3
1588164729,2,1
1588166678,1,1
1588168581,0,2
1588170488,1,2
1588172446,3,0
1588174340,0,2
1588176287,3,1
1588178189,1,1
1588180094,1,2
1588182046,1,2
1588183936,3,0
1588185921,1,1
1588187774,3,0
1588189710,0,2
1588191624,1,0
1588193536,2,1
1588195458,2,2
1588197386,1,3
1588199294,2,1
1588201326,2,1
1588203196,0,1
1588205064,1,1
1588206976,2,2
1588208905,5,2
1588210872,3,1
1588212751,0,1
1588214654,3,1
1588216591,4,0
1588218518,2,1
1588220427,1,0
1588222345,1,0
1588224257,1,0
1588226235,0,1
1588228095,0,1
1588231943,1,1
1588233863,2,1
1588235786,2,1
1588239618,2,3
1588241552,1,2
1588243458,3,1
1588245616,2,1
1588247541,0,4
1588249495,0,1
1588251384,0,1
1588253346,1,1
1588255469,2,0
1588257378,0,2
1588259331,1,2
1588261221,2,0
1588263191,2,4
1588265058,2,0
1588267218,2,1
1588269150,2,3
1588271060,2,1
1588272987,1,1
1588275453,1,3
1588277335,1,1
1588279222,2,0
1588281153,2,3
1588285265,0,2
1588287167,2,2
1588289070,2,0
1588290975,2,0
1588292898,4,2
1588294989,1,5
1588296996,1,0
1588298915,1,0
1588300818,2,3
1588302765,2,3
1588304658,2,2
1588306577,3,2
1588308504,1,1
1588310444,1,1
1588312356,2,0
1588316284,0,1
1588318253,1,1
1588320208,1,2
1588322172,0,2
1588326025,1,1
1588328213,1,2
1588330107,2,3
1588332103,1,2
1588333939,1,0
1588335868,3,0
1588337777,2,0
1588339694,0,1
1588341749,4,2
1588343664,3,0
1588345505,2,1
1588347390,1,2
1588349320,0,2
1588351258,1,1
1588353145,1,2
1588355068,3,2
1588356980,0,2
1588359141,0,3
1588363000,4,2
1588364897,1,1
1588366979,0,2
1588368972,3,0
1588371186,2,1
1588373055,1,2
1588374969,0,2
1588376899,1,2
1588378811,1,6
1588380731,1,0
1588382681,2,1
1588384646,1,2
1588386494,1,1
1588388515,0,1
1588390346,2,3
1588392329,0,4
1588394188,1,1
1588396168,0,1
1588398030,2,1
1588399957,1,1
1588403779,1,1
1588405694,1,1
1588413446,1,2
1588415295,0,1
1588418176,3,2
1588420105,4,2
1588422025,2,3
1588423939,2,2
1588425890,1,1
1588427771,0,3
1588429694,0,4
1588432817,2,2
1588434736,2,1
1588436664,4,0
1588438573,0,2
1588440746,0,3
1588442696,1,0
1588448415,2,0
1588450375,2,3
1588452260,2,0
1588454189,4,2
1588456151,4,2
1588458013,2,1
1588459935,0,1
1588461886,1,0
1588463773,1,2
1588467774,1,3
1588469770,1,1
1588473630,4,1
1588475552,2,1
1588477468,0,1
1588479366,1,0
1588481287,1,1
1588483218,0,1
1588485130,1,2
1588487053,2,0
1588488968,1,1
1588492879,1,1
1588496901,1,0
1588500742,0,1
1588502649,5,1
1588504813,1,2
1588506735,1,4
1588508691,0,2
1588510587,2,2
1588512490,3,1
1588515618,3,0
1588517565,2,2
1588519576,2,2
1588521445,3,1
1588523292,2,3
1588526169,2,0
1588528335,3,1
1588530259,2,2
1588532187,1,0
1588534137,2,0
1588536982,1,5
1588538892,4,2
1588540815,0,3
1588542753,2,4
1588544678,1,2
1588548502,0,1
1588550472,0,1
1588556419,1,1
1588558348,0,2
1588560265,0,2
1588562172,1,2
1588566014,0,1
1588567986,0,1
1588569875,2,0
1588571774,1,1
1588573713,2,2
1588575886,1,1
1588577796,1,0
1588579979,1,1
1588581859,0,1
1588587633,1,1
1588589543,2,4
1588591462,0,2
1588593412,0,1
1588595298,3,1
1588597329,3,1
1588599176,3,3
1588601128,1,2
1588602987,1,2
1588604913,1,2
1588607064,1,2
1588608994,2,2
1588610902,1,2
1588612813,1,1
1588614734,0,3
1588616665,0,2
1588618622,0,1
1588620515,4,0
1588622562,0,1
1588624583,2,3
1588626498,0,2
1588628415,2,1
1588630341,1,1
1588632249,2,1
1588634169,1,0
1588636121,3,0
1588638014,1,0
1588639929,1,0
1588641893,1,1
1588645734,1,0
1588648809,1,1
1588650742,3,0
1588654568,1,1
1588656493,0,1
1588660338,6,4
1588662528,4,1
1588664446,1,1
1588666341,0,1
1588670171,1,0
1588672090,1,0
1588674265,2,2
1588676176,1,1
1588678097,2,0
1588680182,5,1
1588682180,3,2
1588684102,1,4
1588686019,1,2
1588687934,2,1
1588689857,3,0
1588691784,2,1
1588693841,1,2
1588695927,0,1
1588697798,3,1
1588699691,0,1
1588704496,2,1
1588706427,0,1
1588708339,1,3
1588710321,2,2
1588712180,1,0
1588714114,1,2
1588717210,0,1
1588719129,1,2
1588721060,2,1
1588723013,3,2
1588724888,1,2
1588727791,1,1
1588729697,1,1
1588731617,1,0
1588733561,2,1
1588735461,0,2
1588737377,0,2
1588739302,1,0
1588742426,2,1
1588744330,2,0
1588746301,2,6
1588748181,2,3
1588750096,2,0
1588752180,2,1
1588758022,0,1
1588759953,4,2
1588761865,2,2
1588763772,1,1
1588765694,3,5
1588767620,2,4
1588769535,2,1
1588771476,3,0
1588773385,3,2
1588775291,2,2
1588777344,2,3
1588779381,5,2
1588781348,2,1
1588783215,1,2
1588785147,3,1
1588787052,2,0
1588788974,1,0
1588790897,2,1
1588792815,5,0
1588794730,3,1
1588796663,3,2
1588798566,0,1
1588800513,0,1
1588802457,2,0
1588804446,4,1
1588806290,1,2
1588808186,2,2
1588810122,1,1
