DateTime,AddedIPs,RemovedIPs
1588096578,1,4
1588098488,1,2
1588101387,4,9
1588103287,1,2
1588105220,1,5
1588107134,5,5
1588109050,8,2
1588110978,5,2
1588112890,2,3
1588115770,3,1
1588117689,6,3
1588119641,3,1
1588121551,2,3
1588123467,11,2
1588125374,3,7
1588127298,0,1
1588129346,3,1
1588131382,2,5
1588133315,3,3
1588135212,0,3
1588137142,1,0
1588139061,4,2
1588140971,4,0
1588142902,0,4
1588144818,0,4
1588146731,3,6
1588148663,3,4
1588150578,3,8
1588152490,3,7
1588155620,1,12
1588157554,0,8
1588159458,2,6
1588161372,0,14
1588163559,0,2
1588165482,4,4
1588167415,5,6
1588169314,6,2
1588171233,5,6
1588173387,2,4
1588175311,1,3
1588177218,2,5
1588179154,2,6
1588181059,7,3
1588182993,5,1
1588184897,2,1
1588186906,3,4
1588188757,2,5
1588190669,11,2
1588192576,14,2
1588194511,14,5
1588196417,4,9
1588198344,3,1
1588200274,5,2
1588202187,4,2
1588204126,3,5
1588206031,6,3
1588207956,15,5
1588209858,10,10
1588211780,3,2
1588213708,7,0
1588216590,6,4
1588218518,1,1
1588220427,4,3
1588222345,18,2
1588224256,18,2
1588226234,5,4
1588228095,5,2
1588230130,3,0
1588231943,2,0
1588233862,1,3
1588235786,1,1
1588237700,5,2
1588239617,2,5
1588241551,5,1
1588243457,1,1
1588245616,0,2
1588247541,1,0
1588249495,1,0
1588251384,9,4
1588253345,2,2
1588255468,0,8
1588257378,0,4
1588259331,2,3
1588261220,2,0
1588263191,0,2
1588265057,7,2
1588267218,3,8
1588269150,1,5
1588271060,1,2
1588272987,0,1
1588275453,3,5
1588277333,5,10
1588279221,6,15
1588281153,14,10
1588283057,8,6
1588285264,6,7
1588287167,6,3
1588289069,7,4
1588290974,6,4
1588292897,1,8
1588294984,4,13
1588296996,7,5
1588298915,3,5
1588300817,2,5
1588302764,1,5
1588304657,4,1
1588306577,3,4
1588308503,11,13
1588310443,21,21
1588312355,5,5
1588314257,4,4
1588316283,5,4
1588318247,6,3
1588320192,3,1
1588322172,4,1
1588324110,5,4
1588326025,1,1
1588328212,4,6
1588330106,2,0
1588333016,7,0
1588334899,3,1
1588337070,2,5
