DateTime,AddedIPs,RemovedIPs
1587969373,1,1
1587971304,1,3
1587973225,0,2
1587975155,0,6
1587977059,0,1
1587978980,1,7
1587980898,3,1
1587982833,0,3
1587986660,0,3
1587988598,0,2
1587990495,1,2
1587993376,1,4
1587995295,0,1
1587997227,0,4
1587999141,1,0
1588001072,0,3
1588002979,0,1
1588004918,0,3
1588006981,0,1
1588008986,0,2
1588010916,0,1
1588012826,0,1
1588014740,1,2
1588018569,0,2
1588022408,0,2
1588024329,0,2
1588026266,0,3
1588028177,6,0
1588030123,18,2
1588033210,241,2
1588035140,78,2
1588037085,75,0
1588038970,50,0
1588044012,3,0
1588051731,98,0
1588053633,35,0
1588055535,1,2
1588057518,0,1
1588059387,1,0
1588063219,2,0
1588065143,1,1
1588067049,0,3
1588068972,1,1
1588070898,3,0
1588072809,2,0
1588076656,2,1
1588078594,0,1
1588080487,5,0
1588083540,1,0
1588085548,1,1
1588087724,1,0
1588089738,2,0
1588091553,1,0
1588095375,1,0
1588099218,4,0
1588101140,5,0
1588103060,3,0
1588104970,3,0
1588106892,3,0
1588108823,4,0
1588110731,2,0
1588114583,0,6
1588116489,0,14
1588119645,0,245
1588121552,0,78
1588123468,0,75
1588125375,0,50
1588129394,1,0
1588131383,0,3
1588137143,0,44
1588139062,1,89
1588140972,2,0
1588142903,3,1
1588144819,0,1
1588146732,2,0
1588148664,0,2
1588150579,2,0
1588152491,0,1
1588155621,2,2
1588157555,1,2
1588159459,1,2
1588161373,1,0
1588163560,1,2
1588165482,1,1
1588167416,1,4
1588169315,1,0
1588171234,1,2
1588173411,2,0
1588175312,2,1
1588177219,0,3
1588181060,0,1
1588184897,0,3
1588186926,0,4
1588188758,0,3
1588190669,0,3
1588192577,0,3
1588194511,1,4
1588196418,1,3
1588200288,1,0
1588215707,0,1
1588227141,1,2
1588229072,0,4
1588232910,1,2
1588234818,2,0
1588236742,1,2
1588238666,2,0
1588240577,0,1
1588242496,1,1
1588244567,1,1
1588246587,0,1
1588248514,0,1
1588250428,0,1
1588252341,0,1
1588254271,0,2
1588256431,1,0
1588258366,0,2
1588260261,1,0
1588262188,1,2
1588264096,1,0
1588272034,1,0
1588274024,1,1
1588275865,1,0
1588277787,1,0
1588279704,1,0
1588281613,2,1
1588283540,1,1
1588287419,0,1
1588291277,1,0
1588293230,1,0
1588299165,1,0
1588302979,1,0
1588310658,1,0
1588314521,0,1
1588316723,2,0
1588318615,0,1
1588320538,1,1
1588322433,0,1
1588324335,1,1
1588326259,1,2
1588328213,1,0
1588330107,1,2
1588332104,0,1
1588333940,1,0
1588339696,1,0
1588343665,0,1
1588345509,0,1
1588347391,1,1
1588351259,1,1
1588355069,1,0
1588359142,1,1
1588361060,1,1
1588363001,0,2
1588366985,0,2
1588368973,0,1
1588371197,0,1
1588376900,1,1
1588378812,0,1
1588386495,0,1
1588388545,1,1
1588390347,1,0
1588392333,1,0
1588394189,1,0
1588396170,1,0
1588398031,1,1
1588399957,3,0
1588401854,1,2
1588403780,3,0
1588405700,1,1
1588407635,1,0
1588409537,2,1
1588411457,2,0
1588413447,2,2
1588415295,3,0
1588418177,2,1
1588420106,1,1
1588422026,3,0
1588423944,1,0
1588425891,2,1
1588427772,1,0
1588429695,2,0
1588433540,1,1
1588435539,1,0
1588437389,2,1
1588439312,2,0
1588441219,2,1
1588443146,1,0
1588445080,2,0
1588446977,1,0
1588448902,3,0
1588450816,2,0
1588452736,1,0
1588454670,1,0
1588456573,2,0
1588458496,2,0
1588460570,1,0
1588462620,1,1
1588464492,1,0
1588466423,1,0
1588468356,1,0
1588470258,1,0
1588472196,1,0
1588474115,1,1
1588476019,1,1
1588477927,1,1
1588479853,1,1
1588481777,1,0
1588483687,0,2
1588485640,1,0
1588487556,0,4
1588489701,2,3
1588491624,0,1
1588493544,1,1
1588495456,0,2
1588497381,0,2
1588499327,0,1
1588501211,0,3
1588503149,0,2
1588505062,0,1
1588506975,0,2
1588508892,1,3
1588510989,0,1
1588512993,1,2
1588514921,0,1
1588516825,0,1
1588520661,0,1
1588522573,0,1
1588524497,0,3
1588526425,0,1
1588528336,0,2
1588530259,0,1
1588532188,0,2
1588534138,0,3
1588536983,0,3
1588538893,0,1
1588540815,0,1
1588542753,0,2
1588544679,1,1
1588546571,0,1
1588548503,0,2
1588551382,1,1
1588553299,0,1
1588555230,0,1
1588557134,0,1
1588559077,1,1
1588560986,0,1
1588562892,2,1
1588566020,1,2
1588567987,1,1
1588569876,8,0
1588571775,7,1
1588573713,1,0
1588575889,2,3
1588579979,1,1
1588583781,1,0
1588587634,1,0
1588589544,1,0
1588591463,1,0
1588593413,1,0
1588595299,0,1
1588597353,2,0
1588599177,1,1
1588601177,1,0
1588602988,2,0
1588604914,1,0
1588607065,1,0
1588608995,1,0
1588610903,3,0
1588612815,1,0
1588616666,1,0
1588618624,1,0
1588623631,2,0
1588625531,5,0
1588627460,4,0
1588629368,3,0
1588631287,0,1
1588634170,1,0
1588636121,1,1
1588638017,1,0
1588641896,1,0
1588645734,1,1
1588648810,1,2
1588650743,2,0
1588652682,1,1
1588654569,0,3
1588656494,1,6
1588658444,0,8
1588660339,3,0
1588663216,4,2
1588665134,2,0
1588667076,1,1
1588668976,1,1
1588670889,2,0
1588673807,1,1
1588675700,2,1
1588677612,3,1
1588679551,2,0
1588681466,1,1
1588683372,2,1
1588685290,1,1
1588688180,1,1
1588690091,0,2
1588692026,1,1
1588693841,1,1
1588695940,0,4
1588697799,1,1
1588699692,1,0
1588702593,4,1
1588704497,1,0
1588706428,2,1
1588708340,2,0
1588710322,1,3
1588712205,1,5
1588714115,1,3
1588716214,1,3
1588718180,1,0
1588720108,1,1
1588722016,2,1
1588723984,1,1
1588725855,2,0
1588727791,1,1
1588731617,2,0
1588733562,0,1
1588735462,0,1
1588737378,1,3
1588739303,3,0
1588742427,0,1
1588746303,0,2
1588748181,1,4
1588750097,3,1
1588752186,2,2
1588754175,3,1
1588756104,3,2
1588758023,2,2
1588759953,4,1
1588761865,3,2
1588763773,3,2
1588765695,2,2
1588767621,2,2
1588769536,2,2
1588771477,2,1
1588773385,2,1
1588775292,4,0
1588777381,3,1
1588779382,2,0
1588781349,1,1
1588783216,3,0
1588785147,3,1
1588787053,2,1
1588788974,2,4
1588790898,2,1
1588792816,3,2
1588794732,1,2
1588796664,4,0
1588798583,3,2
1588800514,3,1
1588802495,1,1
1588804447,2,1
1588806291,1,1
1588808186,2,2
1588810123,1,1
1588812021,2,2
1588813945,1,1
1588815855,1,0
1588818017,1,2
1588823771,0,1
1588825692,0,3
1588827778,1,0
1588829784,2,0
1588833616,1,0
1588835544,0,1
1588837452,0,2
1588839369,0,4
1588841309,0,3
1588843212,0,3
1588845133,1,4
1588847065,2,2
1588848973,3,3
1588850893,0,2
1588852922,1,1
1588854748,1,3
1588856899,2,1
1588858819,0,2
1588860772,2,3
1588862654,1,4
1588864571,0,3
1588866502,1,2
1588868420,0,2
1588870335,0,2
1588872267,1,4
1588874214,0,1
1588876115,1,2
1588878082,0,2
1588879959,0,3
1588882128,0,1
1588884012,0,5
1588885944,0,3
1588887853,0,2
1588889769,0,2
1588891699,0,2
1588893611,1,1
1588895533,0,2
1588897469,0,2
1588899380,0,1
1588903251,0,2
1588907314,1,0
1588911133,1,0
1588913071,0,1
1588916890,0,2
1588918854,0,2
1588924584,1,0
1588926520,1,0
1588929373,5,0
1588931306,0,1
1588933223,2,1
1588935142,0,2
1588937058,4,0
1588938985,2,1
1588940894,3,1
1588943776,2,2
1588945693,1,1
1588947626,1,1
1588949541,1,1
1588953384,2,1
1588957382,1,0
1588959373,0,1
1588963457,0,1
1588965421,1,0
1588967303,1,0
1588978974,0,1
1588986742,1,0
1588992500,0,1
1588998263,0,1
1589008812,1,0
1589010730,1,1
1589012663,0,1
1589014570,0,2
1589016535,0,1
1589018621,0,2
1589020583,1,0
1589022507,2,3
1589024428,0,2
1589026341,1,4
1589030172,1,2
1589032099,1,1
1589034018,1,1
1589035942,1,1
1589037872,1,0
1589039787,7,1
1589041722,2,0
1589043741,1,1
1589047473,1,0
1589051312,1,0
1589053212,0,1
1589055130,1,0
1589058971,2,0
1589060890,1,0
1589062840,1,0
1589066656,1,0
1589074350,0,1
1589082501,1,0
1589090178,1,0
1589094998,1,1
1589096905,1,1
1589100774,1,1
1589104606,1,0
1589106497,0,1
1589108564,1,2
1589112291,1,1
1589114198,1,0
1589116097,1,1
1589118014,1,0
1589119949,1,2
1589121873,0,1
1589123804,1,1
1589125977,1,5
1589127883,0,4
1589129709,1,1
1589131692,1,0
1589133727,1,1
1589137489,1,1
1589141315,3,1
1589143227,1,0
1589145142,1,2
1589148972,1,1
1589150906,2,0
1589152811,0,1
1589154735,1,0
1589158569,1,0
1589162542,1,0
1589168419,0,2
1589170348,0,1
1589172255,1,0
1589176104,0,2
1589178014,6,0
1589179933,1,1
1589181885,0,1
1589183772,1,1
1589187788,2,1
1589189776,3,0
1589191946,0,1
