DateTime,AddedIPs,RemovedIPs
1588116025,1,0
1588117936,0,1
1588121773,1,0
1588123688,2,3
1588125667,0,4
1588127534,2,1
1588129406,1,2
1588131384,2,6
1588133316,1,4
1588135215,2,2
1588137144,2,2
1588139062,0,1
1588140973,2,4
1588142904,4,1
1588144820,4,1
1588146733,0,2
1588148665,2,1
1588150581,0,1
1588152492,1,3
1588155622,0,2
1588157556,1,4
1588159459,0,2
1588161374,2,3
1588163561,2,3
1588165484,0,3
1588167417,3,2
1588169315,1,0
1588171235,5,1
1588173413,1,0
1588175332,0,1
1588179156,3,0
1588181060,1,0
1588184898,1,1
1588188759,2,1
1588190671,5,0
1588192578,1,3
1588194512,2,1
1588196418,1,2
1588198345,1,0
1588200288,0,1
1588204127,1,0
1588206032,2,1
1588207957,2,1
1588209860,1,2
1588211781,4,0
1588213709,1,2
1588215727,3,1
1588217587,3,1
1588219505,2,1
1588221376,2,2
1588223320,2,2
1588225218,1,0
1588227142,1,2
1588229073,1,3
1588230984,4,1
1588232911,1,3
1588234820,4,2
1588236743,4,1
1588238666,4,0
1588240577,3,1
1588244572,2,1
1588246588,0,1
1588248515,1,1
1588250429,1,1
1588252342,1,0
1588254272,2,1
1588256432,2,3
1588258367,0,2
1588260261,0,2
1588266128,0,2
1588267940,0,1
1588270115,1,0
1588272035,0,1
1588274049,0,1
1588277788,1,6
1588281613,0,2
1588283541,1,3
1588285507,0,1
1588287420,2,1
1588289299,0,1
1588291289,0,3
1588293231,2,1
1588295336,1,1
1588297239,3,1
1588299166,2,2
1588301056,7,1
1588302979,3,3
1588304905,1,2
1588306837,0,3
1588308747,1,1
1588310659,2,1
1588312573,4,1
1588314522,0,1
1588316727,3,2
1588318616,2,3
1588320558,2,3
1588322434,1,5
1588324336,4,3
1588326260,1,4
1588330108,1,2
1588332104,2,1
1588333940,0,1
1588335869,1,2
1588337778,1,0
1588339698,3,2
1588341784,3,2
1588343666,0,1
1588345513,1,0
1588349322,0,1
1588351261,0,1
1588355070,1,0
1588356982,0,1
1588359143,2,0
1588364899,0,1
1588367000,3,0
1588368974,1,0
1588371216,2,1
1588373057,4,0
1588374971,2,2
1588376901,1,0
1588378812,0,2
1588380733,3,1
1588382683,1,1
1588384648,3,3
1588386496,3,2
1588388571,1,6
1588390581,3,1
1588392752,2,1
1588394651,1,1
1588396587,2,0
1588398492,1,6
1588400417,3,1
1588402347,0,1
1588404260,3,2
1588406185,4,1
1588408094,2,0
1588410982,3,5
1588414833,1,3
1588416753,2,1
1588418676,2,1
1588422526,0,1
1588424718,0,3
1588426589,2,1
1588428497,1,4
1588432466,0,1
1588438333,4,0
1588440262,1,0
1588442171,0,2
1588444091,1,0
1588446978,3,2
1588448903,1,1
1588452737,0,2
1588454671,2,2
1588458498,0,3
1588460585,2,2
1588462620,1,1
1588464492,1,0
1588466424,0,2
1588470259,1,4
1588472197,1,1
1588474117,0,2
1588476020,0,3
1588477928,1,3
1588479854,0,2
