DateTime,Entries,UniqueIPs
1588215146,4802,4802
1588217070,4765,4765
1588218972,4759,4759
1588220909,4790,4790
1588222917,4697,4697
1588224752,4646,4646
1588226669,4617,4617
1588228580,4587,4587
1588230543,4623,4623
1588232421,4616,4616
1588234350,4574,4574
1588236261,4562,4562
1588238176,4583,4583
1588240105,4609,4609
1588242116,4612,4612
1588243934,4715,4715
1588245863,4728,4728
1588247813,4794,4794
1588249702,4833,4833
1588252828,4939,4939
1588254745,5032,5032
1588256663,5133,5133
1588258611,5060,5060
1588260496,5065,5065
1588262719,5075,5075
1588264591,5074,5074
1588266516,5117,5117
1588268432,5161,5161
1588270594,5225,5225
1588272508,5310,5310
1588274788,5435,5435
1588276607,5668,5668
1588278493,5848,5848
1588280569,6020,6020
1588282582,6124,6124
1588284767,6308,6308
1588286651,6437,6437
1588288569,6556,6556
1588290501,6641,6641
1588292453,6690,6690
1588294329,6756,6756
1588296263,6890,6890
1588298172,6940,6940
1588300112,7006,7006
1588302147,7119,7119
1588304206,7240,7240
1588306105,7298,7298
1588308021,7334,7334
1588309938,7341,7341
1588311919,7373,7373
1588313797,7386,7386
1588315710,7357,7357
1588317698,7342,7342
1588319618,7318,7318
1588321454,7303,7303
1588323419,7295,7295
1588325303,7306,7306
1588327395,7224,7224
1588329388,7137,7137
1588331296,7078,7078
1588333263,7029,7029
1588335147,6985,6985
1588337072,6925,6925
1588338980,6870,6870
1588340926,6839,6839
1588342818,6796,6796
1588344742,6832,6832
1588346670,6820,6820
1588348570,6828,6828
1588350522,6824,6824
1588352487,6813,6813
1588354349,6791,6791
1588356263,6766,6766
1588358175,6673,6673
1588360128,6580,6580
1588362026,6456,6456
1588363937,6270,6270
1588365876,6142,6142
1588367771,6459,6459
1588369692,6469,6469
1588371662,6422,6422
1588373555,6366,6366
1588375471,6352,6352
1588377432,6368,6368
1588379291,6392,6392
1588381328,6400,6400
1588383135,6394,6394
1588385132,6400,6400
1588386987,6441,6441
1588388907,6453,6453
1588390819,6418,6418
1588392754,6492,6492
1588394653,6533,6533
1588396589,6610,6610
1588398494,6660,6660
1588400419,6732,6732
1588402349,6807,6807
1588404271,6905,6905
1588406196,7065,7065
1588408096,7131,7131
1588410983,7215,7215
1588412930,7315,7315
1588414844,7419,7419
1588416755,7528,7528
1588418726,7619,7619
1588420607,7713,7713
1588422527,7819,7819
1588424756,7915,7915
1588426590,7947,7947
1588428499,7957,7957
1588430452,7960,7960
1588432467,7917,7917
1588434504,7957,7957
1588436419,8058,8058
1588438334,8080,8080
1588440264,8131,8131
1588442172,8234,8234
1588444092,8363,8363
1588446979,8484,8484
1588448904,8565,8565
1588450818,8609,8609
1588452739,8680,8680
1588454674,8266,8266
1588456575,8323,8323
1588458499,8289,8289
1588460657,8320,8320
1588462622,8331,8331
1588464494,8380,8380
1588466425,8422,8422
1588468358,8438,8438
1588470260,8444,8444
1588472198,8431,8431
1588474129,8451,8451
1588476021,8444,8444
1588477930,8435,8435
1588479855,8434,8434
1588481803,8420,8420
1588483690,8406,8406
1588485710,8390,8390
1588487568,8337,8337
1588489704,8367,8367
1588491627,8320,8320
1588493556,8313,8313
1588495458,8314,8314
1588497384,8294,8294
1588499329,8302,8302
1588501213,8286,8286
1588503151,8212,8212
1588505064,8206,8206
1588506977,8169,8169
1588508894,8104,8104
1588511037,8069,8069
1588512995,8085,8085
1588514924,8071,8071
1588516837,8067,8067
1588518739,8102,8102
1588520663,8099,8099
1588522575,8081,8081
1588524500,8076,8076
1588526427,8104,8104
1588528347,8088,8088
1588530323,8076,8076
1588532190,8050,8050
1588534141,8082,8082
1588536046,8085,8085
1588537950,8114,8114
1588539932,8118,8118
1588541790,8133,8133
1588543706,8141,8141
1588545615,8160,8160
1588547795,8201,8201
1588549689,8170,8170
1588551620,8179,8179
1588553529,8137,8137
1588555469,8099,8099
1588557381,8073,8073
1588559352,8012,8012
1588561262,7978,7978
1588563154,7944,7944
1588565096,7959,7959
1588566984,7998,7998
1588569178,8081,8081
1588571051,8089,8089
1588573985,8112,8112
1588575895,8087,8087
1588577800,8087,8087
1588579985,8118,8118
1588581862,8104,8104
1588583784,8103,8103
1588585702,8164,8164
1588587636,8217,8217
1588589547,8252,8252
1588591465,8225,8225
1588593426,8265,8265
1588595302,8261,8261
1588597369,8254,8254
1588599179,8242,8242
1588601198,8269,8269
1588603214,8258,8258
1588605155,8203,8203
1588607068,8184,8184
1588608997,8170,8170
1588610904,8174,8174
1588612818,8134,8134
1588614737,8087,8087
1588616669,8019,8019
1588618627,8028,8028
1588620523,8016,8016
1588622591,8047,8047
1588624584,8074,8074
1588626507,8002,8002
1588628436,7992,7992
1588630343,7987,7987
1588632251,7966,7966
1588634172,7894,7894
1588636124,7892,7892
1588638035,7879,7879
1588639932,7897,7897
1588641915,7967,7967
1588643789,7982,7982
1588645737,8008,8008
1588647800,8006,8006
1588649797,8029,8029
1588651710,8036,8036
1588653616,8012,8012
1588655570,7947,7947
1588657456,7927,7927
1588659386,7905,7905
1588661305,7920,7920
1588663236,7982,7982
1588665137,7940,7940
1588667078,7907,7907
1588668977,7939,7939
1588670891,7938,7938
1588673811,7817,7817
1588675702,7820,7820
1588677614,7844,7844
1588679553,7847,7847
1588681468,7901,7901
1588683374,7920,7920
1588685292,7944,7944
1588688182,8062,8062
1588690093,8087,8087
1588692029,8134,8134
1588693853,8153,8153
1588695945,8176,8176
1588697801,8177,8177
1588699694,8216,8216
1588701746,8240,8240
1588703575,8284,8284
1588705468,8316,8316
1588707410,8340,8340
1588709562,8245,8245
1588711452,8221,8221
1588713402,8239,8239
1588715301,8305,8305
1588717212,8327,8327
1588719131,8345,8345
1588721063,8402,8402
1588723018,8395,8395
1588724890,8435,8435
1588726882,8382,8382
1588728737,8289,8289
1588730733,8278,8278
1588732603,8235,8235
1588734496,8153,8153
1588736425,8055,8055
1588738336,7977,7977
1588740260,7870,7870
1588742180,7818,7818
1588744093,7734,7734
1588746038,7654,7654
1588747934,7617,7617
1588750100,7565,7565
1588752217,7549,7549
1588754177,7524,7524
1588756106,7444,7444
1588758043,7370,7370
1588759965,7294,7294
1588761869,7169,7169
1588763774,7037,7037
1588765696,6927,6927
1588767623,6833,6833
1588769537,6702,6702
1588771479,6593,6593
1588773388,6390,6390
1588775294,6366,6366
1588777388,6242,6242
1588779384,6164,6164
1588781351,6127,6127
1588783218,6066,6066
1588785149,5964,5964
1588787055,5880,5880
1588788976,5826,5826
1588790899,5768,5768
1588792818,5706,5706
1588794733,5677,5677
1588796665,5620,5620
1588798584,5519,5519
1588800517,5437,5437
1588802558,5258,5258
1588804448,5142,5142
1588806293,5063,5063
1588808188,4869,4869
1588810124,4797,4797
1588812022,4630,4630
1588813946,4517,4517
1588815856,4452,4452
1588818019,4475,4475
1588819938,4481,4481
1588821866,4482,4482
1588823773,4504,4504
1588825694,4549,4549
1588827873,4575,4575
1588829787,4607,4607
1588831702,4633,4633
1588833619,4643,4643
1588835545,4623,4623
1588837454,4585,4585
1588839371,4550,4550
1588841311,4521,4521
1588843215,4496,4496
1588845135,4530,4530
1588847068,4553,4553
1588848976,4616,4616
1588850896,4630,4630
1588852979,4647,4647
1588855007,4665,4665
1588856901,4686,4686
1588858821,4733,4733
1588860775,4741,4741
1588862657,4787,4787
1588864574,4822,4822
