DateTime,AddedIPs,RemovedIPs
1588204632,12,0
1588206492,4,15
1588209371,1,3
1588211320,0,3
1588213227,12,1
1588215149,0,14
1588217072,0,8
1588218974,1,1
1588220911,22,1
1588222979,1,5
1588224973,1,11
1588226914,1,0
1588228815,1,0
1588230987,51,1
1588232913,1,13
1588234822,1,2
1588236744,1,0
1588238668,19,0
1588240591,7,24
1588242499,2,5
1588244618,1,2
1588246590,5,0
1588248518,21,7
1588250431,0,9
1588252343,3,0
1588254277,16,0
1588256433,9,1
1588258369,0,13
1588260264,1,10
1588262190,2,1
1588264100,1,1
1588266198,13,3
1588268196,4,25
1588270117,1,2
1588272036,2,0
1588274079,9,6
1588276113,8,4
1588278010,14,1
1588279930,20,5
1588281866,15,8
1588283771,79,17
1588285939,0,1
1588287869,0,1
1588289783,12,0
1588291740,0,16
1588293618,2,1
1588295543,2,0
1588297453,16,0
1588299644,16,13
1588301541,16,0
1588303469,2,1
1588305416,6,0
1588307330,22,24
1588310182,12,2
1588312358,2,2
1588314260,1,0
1588316287,14,44
1588318295,2,5
1588322174,6,1
1588324113,26,6
1588326027,1,20
1588328224,2,2
1588330112,2,0
1588332107,10,3
1588333941,6,15
1588335870,0,8
1588337779,1,0
1588339701,1,12
1588341825,16,15
1588343668,1,0
1588345517,0,1
1588347395,17,1
1588349324,17,1
1588351262,19,5
1588353148,1,11
1588355071,0,2
1588356983,1,2
1588359147,12,4
1588361066,3,8
1588363005,2,16
1588364901,4,12
1588367043,9,14
1588368995,6,14
1588371281,1,87
1588373299,16,1
1588375209,1,4
1588377137,14,8
1588381013,0,5
1588382889,1,0
1588386022,16,33
1588387951,0,16
1588389918,5,2
1588391780,14,6
1588393701,0,23
1588395840,20,14
1588397657,0,4
1588399484,3,2
1588401379,11,1
1588403340,1,14
1588405229,5,2
1588407147,3,0
1588409073,12,10
1588410989,3,22
1588412933,4,1
1588414847,2,1
1588416757,9,2
1588418777,28,10
1588420613,16,5
1588422529,5,0
1588424761,0,3
1588426592,15,5
1588428501,1,10
1588430475,0,2
1588432470,23,1
1588434506,2,20
1588436424,15,29
1588438336,1,5
1588440266,1,0
1588444094,16,1
1588447011,16,14
1588448906,3,2
1588450820,0,3
1588452741,0,3
1588454676,13,14
1588456576,2,0
1588458502,5,12
1588460694,12,5
1588462642,0,9
1588464495,2,6
1588466427,19,2
1588468359,10,1
1588470262,4,1
1588472200,1,13
1588474131,1,2
1588476026,8,1
1588477931,9,18
1588479857,1,0
1588481805,3,17
1588483693,6,3
1588485743,11,3
1588487570,1,11
1588489705,18,1
1588491628,19,5
1588493557,6,3
1588495461,9,12
1588497385,2,3
1588499331,1,4
1588501216,2,2
1588503153,5,8
1588505065,29,25
1588506978,4,18
1588508896,1,5
1588511042,15,0
1588513015,5,14
1588514925,4,1
1588516838,3,0
1588518740,34,24
1588520664,3,2
1588522605,0,15
1588524502,1,1
1588526430,2,1
1588528350,17,0
1588530336,1,16
1588532192,0,15
1588534143,14,2
1588536998,0,2
1588538896,2,0
1588540819,2,13
1588542757,1,2
1588544695,27,2
1588546575,1,15
1588548507,1,2
1588550577,5,1
1588552570,8,19
1588554526,1,7
1588556455,1,6
1588558352,3,1
1588560293,10,2
1588562175,0,5
1588564113,0,10
1588566023,2,2
1588567990,12,3
1588569883,19,6
1588571779,14,14
1588575897,1,20
1588577813,17,19
1588579991,6,7
1588581864,0,8
1588583786,0,2
1588585704,1,0
1588587666,0,1
1588589551,12,5
1588591470,1,28
1588593428,0,5
1588595307,8,1
1588597373,13,13
1588599181,0,5
1588601206,17,3
1588603217,2,3
1588605157,1,34
1588607073,2,2
1588609003,12,0
1588610906,0,1
1588612823,3,2
1588614739,3,17
1588616671,1,1
1588618630,15,0
1588620526,4,15
1588622686,19,1
1588624586,1,2
1588626509,15,2
1588628462,2,2
1588630365,6,19
1588632253,2,9
1588634174,9,1
1588636143,3,1
1588638059,4,12
1588639934,6,0
1588641925,18,1
1588643806,3,1
1588645739,11,12
1588647848,16,1
1588649799,15,0
1588651711,24,1
1588653623,4,2
1588655572,5,30
1588657458,4,8
1588659388,5,6
1588661307,7,1
1588663260,11,8
1588665139,3,9
1588667080,3,4
1588668979,21,0
1588670894,4,0
1588672933,16,1
1588674744,14,6
1588676673,5,6
1588678585,15,1
1588680549,10,0
1588682493,6,18
1588684345,4,0
1588686346,4,7
1588688203,1,10
1588690095,12,2
1588692035,5,2
1588693857,3,6
1588695947,1,8
1588697803,13,1
1588699696,7,2
1588701807,4,2
1588703850,3,7
1588705703,12,9
1588707617,5,5
1588709564,1,18
1588711454,0,6
1588713404,6,10
1588715303,13,2
1588717216,4,4
1588719133,4,7
1588721065,9,5
1588723068,14,3
1588724892,0,2
1588726935,1,9
1588728742,2,18
1588730741,11,3
1588732605,7,16
1588734497,2,8
1588736426,4,22
1588738338,3,17
1588740262,2,4
1588742181,10,6
1588744094,3,3
1588746042,11,7
1588747937,7,7
1588750103,2,7
1588752239,1,4
1588754181,2,2
1588756108,5,6
1588758044,13,3
1588759966,1,19
1588761897,5,8
1588763777,5,9
1588765697,11,15
1588767624,1,9
1588769538,1,5
1588771480,5,3
1588773390,9,2
1588775295,1,2
1588777390,1,17
1588779387,6,26
1588781375,3,2
1588783247,15,5
1588785151,3,13
1588787057,6,5
1588788978,6,1
1588790902,12,8
1588792819,9,7
1588794737,11,4
1588796667,4,0
1588798589,2,1
1588800523,11,13
1588803621,11,9
1588805544,1,3
1588807477,2,9
1588809376,1,12
1588811294,15,2
1588814175,13,2
1588816101,4,2
1588818020,143,16
1588819939,3,1
1588821867,1,0
1588823776,1,6
1588825695,9,1
1588827906,11,11
1588829789,1,2
1588831703,7,3
1588833629,8,13
1588835548,0,1
1588837456,3,2
1588839373,3,0
1588841314,14,1
1588843218,2,10
1588845137,3,6
1588847070,1,2
1588848979,7,5
1588850900,13,17
1588853047,9,0
1588855010,1,0
1588856903,1,2
1588858823,21,11
1588860777,7,3
1588862658,10,0
1588864575,12,1
1588866507,2,6
1588868425,6,6
1588870340,11,13
1588872282,1,3
1588874229,1,2
1588876127,2,4
1588878240,5,15
1588880206,15,8
1588882138,3,8
1588884017,13,1
1588885947,4,4
1588887872,0,15
1588889772,2,2
1588891714,9,2
1588893624,1,3
1588895548,25,1
1588897478,3,13
1588899383,2,4
1588901302,11,13
1588903292,1,1
1588905157,2,162
1588907317,3,2
1588909218,15,1
1588911138,2,1
1588913076,0,17
1588914992,3,3
1588916893,6,1
1588918867,11,13
1588920737,2,2
1588922661,0,2
1588924590,2,2
1588926523,11,8
1588929376,3,8
1588931318,2,0
1588933226,4,1
1588935152,8,5
1588937075,9,13
1588938988,3,11
1588940897,12,0
1588943779,5,3
1588945697,0,19
1588947630,17,10
1588949544,11,9
1588951489,5,9
1588953392,1,0
1588955421,4,10
1588957398,12,6
1588959377,3,4
1588961575,2,0
1588963462,11,5
1588965425,5,5
1588967306,0,15
1588969222,2,8
1588971137,8,6
1588973069,0,2
1588974984,6,0
1588976895,0,4
1588979091,4,8
1588981043,6,8
1588982897,1,22
1588984821,1,1
1588986744,17,11
1588988657,6,2
1588990607,6,3
1588992506,6,3
1588994414,6,3
1588996341,9,12
1588998265,3,1
1589000214,11,3
1589002092,6,3
1589004211,15,17
1589006188,1,1
1589008117,3,2
1589010028,3,1
1589011947,2,5
1589013880,4,10
1589016021,8,2
1589017936,1,1
1589019867,2,5
1589021796,2,12
1589023734,8,5
1589025836,16,4
1589027796,4,16
1589029717,6,1
1589031619,15,0
1589033584,1,14
1589035460,1,2
1589037383,0,14
1589039305,5,2
1589041229,1,1
1589043147,18,15
1589045061,1,3
1589046978,1,1
1589048910,24,3
1589050992,2,13
1589052971,4,2
1589054904,4,0
1589056816,1,3
1589058730,2,6
1589060668,2,2
1589062596,2,3
1589064494,4,0
1589066439,2,4
1589068334,0,1
1589070254,1,1
1589072182,6,11
1589074134,1,9
1589076184,1,8
1589078283,4,7
1589080110,1,6
1589082017,2,4
1589083934,0,4
1589085867,1,4
1589087789,5,14
1589089692,3,7
1589091620,0,9
1589093553,2,2
1589095467,3,1
1589097415,4,1
1589099299,6,6
1589101362,15,3
1589103297,4,6
1589105559,6,2
1589107461,1,1
1589109414,0,7
1589111312,2,18
