DateTime,AddedIPs,RemovedIPs
1587042512,1,0
1587048496,0,3
1587050424,0,2
1587052333,4,0
1587054251,2,0
1587056183,0,1
1587058092,1,0
1587061963,0,2
1587065831,1,0
1587067699,0,1
1587075620,1,0
1587077597,1,1
1587085386,1,1
1587089339,0,1
1587091219,1,0
1587102734,0,1
1587104654,0,2
1587106585,0,1
1587110579,1,0
1587112575,1,1
1587114509,0,1
1587118339,2,0
1587122207,0,1
1587131783,0,1
1587133693,7,0
1587135745,1,0
1587137579,0,2
1587139415,1,2
1587141433,0,3
1587143295,1,0
1587145215,0,1
1587150989,0,1
1587152921,0,1
1587154815,1,0
1587156766,1,1
1587158723,3,0
1587160581,0,2
1587162539,0,1
1587168493,1,1
1587170412,1,0
1587176194,0,1
1587178106,0,1
1587186975,1,3
1587196579,0,1
1587202621,0,1
1587204504,0,2
1587208365,1,0
1587210254,0,1
1587214115,1,0
1587219887,0,7
1587221771,2,1
1587226820,1,1
1587230695,0,1
1587240496,1,0
1587244393,0,1
1587246255,8,3
1587248173,3,0
1587250112,1,0
1587255932,0,1
1587261882,1,0
1587265709,1,0
1587267627,1,1
1587271480,0,1
1587281122,2,0
1587287105,1,0
1587294749,2,0
1587296677,1,0
1587298594,1,0
1587302437,2,0
1587304385,1,0
1587306251,1,0
1587308333,1,2
1587312214,1,0
1587314171,0,1
1587322100,1,0
1587331693,1,9
1587333735,0,2
1587335540,0,1
1587339383,0,1
1587343232,1,0
1587345179,2,0
1587348978,0,1
1587354759,0,1
1587356671,0,1
1587362550,0,1
1587366635,1,0
1587368559,0,2
1587370498,1,0
1587372594,1,0
1587374425,0,1
1587378259,1,0
1587380310,2,2
1587384352,0,1
1587388611,0,2
1587390599,0,1
1587392992,0,1
1587397201,1,0
1587399131,2,1
1587401089,0,1
1587407002,1,0
1587409008,2,0
1587417862,0,2
1587419768,0,4
1587424825,3,1
1587426737,1,0
1587431208,1,0
1587433276,1,1
1587437064,1,0
1587439263,1,0
1587443074,1,0
1587446900,1,0
1587448975,1,0
1587450808,1,0
1587452947,1,1
1587454962,1,0
1587456973,0,1
1587460841,1,0
1587464674,1,1
1587466579,0,2
1587468494,1,0
1587470589,1,0
1587476672,2,0
1587482419,0,1
1587484348,0,1
1587490365,1,0
1587492283,0,1
1587494193,0,3
1587504038,1,1
1587505937,2,0
1587509773,3,0
1587511727,0,1
1587514600,1,2
1587516494,0,1
1587520347,1,0
1587522258,0,1
1587529225,0,1
1587537720,0,1
1587539792,0,1
1587541700,0,1
1587547471,1,2
1587551298,0,1
1587555626,0,2
1587561623,0,1
1587563630,0,1
1587567382,0,1
1587569298,1,0
1587572191,2,0
1587574108,1,0
1587576052,0,1
1587579869,0,1
1587581778,1,0
1587583694,1,0
1587585893,1,0
1587587792,1,0
1587589724,1,1
1587591619,1,1
1587593548,1,1
1587595461,0,1
1587597373,0,2
1587599306,0,1
1587603162,2,0
1587605068,1,0
1587606991,2,1
1587614917,0,1
1587618746,1,0
1587622573,16,1
1587634141,0,1
1587640357,1,0
1587646337,1,0
1587650634,3,0
1587656700,1,1
1587658592,0,2
1587662426,0,1
1587666260,1,0
1587670110,0,1
1587676125,1,1
1587678019,1,1
