DateTime,AddedIPs,RemovedIPs
1588217074,100,97
1588218976,61,77
1588220913,101,65
1588222990,70,81
1588224974,73,269
1588226917,91,90
1588228816,97,78
1588230989,83,81
1588232916,73,88
1588234824,84,76
1588236754,72,83
1588238669,72,88
1588240593,78,94
1588242502,74,66
1588244657,91,107
1588246593,84,84
1588248521,70,48
1588250433,78,72
1588252344,84,75
1588254280,94,78
1588256436,59,97
1588258372,51,78
1588260266,626,256
1588262191,1227,66
1588264101,839,63
1588266221,942,75
1588268198,931,48
1588270119,810,43
1588272038,963,35
1588274125,735,55
1588276133,469,66
1588278012,683,31
1588279932,525,41
1588281867,670,33
1588283773,842,35
1588285941,824,30
1588287874,735,21
1588289785,921,14
1588291742,773,18
1588293621,285,20
1588295545,16,19
1588297455,34,16
1588299649,30,35
1588301543,22,18
1588303471,42,21
1588305418,26,19
1588307332,29,21
1588310184,31,22
1588312362,25,31
1588314263,21,20
1588316305,29,21
1588318347,26,22
1588320288,12,20
1588322179,27,22
1588324116,31,24
1588326044,31,25
1588328235,30,28
1588330117,40,16
1588332111,28,32
1588333945,23,12
1588335874,29,20
1588337813,30,18
1588339705,25,26
1588341909,21,27
1588344026,27,14
1588345978,17,176
1588347862,13,440
1588349807,22,582
1588351706,23,444
1588353626,36,434
1588355546,29,530
1588357458,64,587
1588359387,76,520
1588361296,70,158
1588363444,53,465
1588365376,46,272
1588367318,49,28
1588369232,26,32
1588371413,29,52
1588373307,37,47
1588375228,28,29
1588377145,32,41
1588379081,25,27
1588381020,19,31
1588382904,35,38
1588386030,40,47
1588387962,24,23
1588389927,24,43
1588391790,29,37
1588393709,33,27
1588395859,28,294
1588397667,33,935
1588399510,44,789
1588401389,59,985
1588403351,46,262
1588405251,40,292
1588407197,51,278
1588409084,60,993
1588410997,46,1264
1588412941,71,1667
1588414877,71,1147
1588416818,101,1085
1588418830,88,76
1588422030,148,133
1588423949,74,94
1588425896,92,95
1588427775,73,67
1588429699,86,76
1588431774,108,88
1588433789,73,87
1588435964,81,72
1588437865,90,74
1588439850,81,76
1588441711,89,86
1588443640,82,96
1588445545,84,150
1588447473,113,153
1588449403,74,104
1588451299,81,107
1588453327,87,101
1588455198,95,84
1588457197,78,81
1588458998,95,82
1588460914,88,94
1588462845,106,83
1588464746,66,89
1588466656,112,49
1588468593,78,85
1588470502,58,75
1588472433,77,75
1588474360,60,90
1588476261,91,73
1588478207,92,79
1588480103,76,80
1588482147,67,59
1588483957,94,72
1588486839,119,123
1588488738,89,65
1588490672,80,97
1588492620,69,80
1588494498,86,79
1588496614,112,94
1588498592,131,93
1588500506,80,70
1588502421,61,76
1588504355,64,80
1588506279,81,76
1588508209,74,72
1588510094,52,74
1588512025,51,93
1588513939,750,77
1588515858,26,75
1588517859,41,94
1588519951,40,73
1588521939,268,88
1588523780,165,80
1588525711,133,95
1588527618,102,67
1588529538,72,68
1588531466,87,84
1588533376,177,89
1588535295,177,99
1588537226,143,83
1588539139,77,61
1588541065,107,80
1588542974,126,76
1588544931,160,93
1588547069,132,95
1588548976,121,89
1588550976,107,114
1588552817,97,89
1588554742,96,94
1588556669,141,78
1588558590,119,91
1588560498,92,63
1588562423,120,80
1588564366,123,88
1588566271,133,74
1588568217,100,77
1588570095,72,99
1588572108,77,68
1588574008,106,101
1588575910,85,90
1588577819,122,67
1588579997,98,88
1588581929,75,73
1588583792,78,174
1588585729,106,100
1588587684,87,73
1588589557,118,57
1588591476,85,88
1588593434,84,75
1588595313,74,77
1588597436,89,128
1588599386,105,389
1588601213,57,404
1588603223,101,31
1588605192,62,63
1588607081,78,104
1588609008,90,151
1588610911,95,73
1588612828,127,98
1588614744,102,75
1588616677,109,79
1588618636,110,90
1588620531,123,144
1588622752,140,140
1588624591,101,110
1588626514,123,83
1588628469,113,97
1588630371,94,112
1588632258,137,102
1588634180,109,111
1588636150,97,89
1588638068,102,127
1588639940,109,104
1588641941,104,125
1588643813,103,137
1588645755,121,79
1588647889,106,95
1588649805,103,89
1588651718,133,108
1588653630,105,119
1588655578,118,91
1588657465,86,91
1588659398,74,115
1588661313,96,99
1588663268,91,130
1588665145,92,98
1588667087,104,91
1588668985,75,79
1588670906,83,118
1588673097,92,108
1588674990,100,113
1588676906,94,107
1588678827,87,74
1588680845,87,84
1588682665,93,70
1588684585,94,104
1588686773,81,107
1588688706,99,84
1588690577,75,76
1588692515,90,87
1588694697,93,96
1588696581,107,91
1588698512,86,87
1588700418,75,82
1588702355,107,90
1588704295,108,91
1588706193,113,97
1588708124,67,126
1588710043,92,93
1588711939,71,86
1588713872,122,126
1588715796,103,114
1588717734,100,124
1588719807,102,136
1588721840,111,112
1588723699,67,108
1588725620,100,98
1588727813,126,117
1588729721,92,111
1588731623,98,101
1588733568,73,99
1588735467,105,105
1588737407,77,107
1588739309,104,104
1588741392,82,101
1588743375,94,109
1588745312,77,107
1588747217,90,83
1588749139,70,100
1588751083,88,103
1588752974,91,107
1588754896,74,91
1588756823,84,80
1588758733,58,87
1588760673,91,99
1588762585,77,117
1588764501,75,81
1588767625,162,176
1588769540,84,91
1588771482,80,86
1588773391,84,74
1588775297,88,96
1588777392,87,79
1588779389,84,82
1588781377,84,89
1588783248,103,78
1588785152,103,83
1588787058,60,79
1588788980,86,92
1588790903,88,100
1588792821,93,117
1588794741,98,105
1588796668,109,98
1588798590,99,83
1588800527,149,88
1588802656,88,107
1588804583,89,98
1588806491,82,89
1588808415,89,104
1588810369,94,95
1588812252,122,87
1588814176,76,112
1588816102,92,112
1588818026,86,108
1588819944,84,84
1588821873,116,90
1588823782,79,71
1588825700,100,97
1588827913,96,110
1588829795,82,88
1588831711,74,108
1588833635,100,92
1588835553,95,94
1588837462,90,79
1588839377,75,93
1588841322,91,96
1588843225,84,78
1588845142,103,60
1588847076,85,70
1588848985,91,63
1588850905,89,82
1588853121,90,106
1588855017,79,88
1588856908,97,106
1588858828,76,87
1588860782,80,89
1588862664,60,63
1588864582,68,92
1588866512,73,80
1588868431,79,90
1588870346,90,81
1588872288,72,82
1588874234,96,69
1588876134,99,68
1588878334,100,122
1588880213,90,87
1588882145,72,75
1588884027,88,82
1588885953,92,153
1588887892,91,112
1588889777,62,96
1588891719,74,86
1588893629,98,75
1588895554,83,105
1588897483,99,100
1588899389,84,91
1588901307,90,103
1588903362,105,90
1588905375,114,111
1588907322,90,78
1588909224,95,69
1588911143,84,110
1588913080,77,107
1588915013,71,70
1588916898,76,61
1588918873,97,98
1588920790,89,62
1588922679,82,105
1588924595,76,84
1588926529,102,91
1588928622,83,83
1588930591,93,100
1588932506,88,96
1588934420,122,84
1588936344,75,85
1588938269,97,83
1588940182,94,81
1588942350,65,79
1588944283,75,94
1588946188,82,61
1588948096,255,86
1588950180,93,233
1588951985,67,107
1588953897,59,67
1588955787,87,69
1588957719,78,74
1588959621,79,80
1588961580,96,101
1588963490,79,75
1588965431,84,92
1588967311,68,102
1588969250,88,93
1588971142,93,89
1588973074,95,77
1588974989,93,74
1588976902,106,87
1588979122,109,86
1588981048,92,95
1588982901,77,86
1588984830,80,79
1588986749,96,72
1588988662,83,86
1588990634,75,90
1588992512,77,82
1588994431,92,97
1588996346,82,102
1588998274,94,88
1589000220,78,80
1589002097,69,77
1589004331,113,79
1589006193,85,82
1589008122,82,88
1589010042,76,77
1589011968,201,118
1589013885,76,77
1589016043,110,78
1589017941,91,82
1589019884,96,79
1589021820,125,87
1589023739,62,73
1589025880,77,86
1589027801,238,90
1589029723,643,85
1589031625,75,100
1589033593,77,269
1589035466,75,96
1589037389,71,79
1589039310,62,65
1589041234,77,81
1589043153,96,78
1589045092,52,78
1589046983,86,81
1589048916,77,88
1589051096,70,105
1589052977,106,91
1589054911,96,91
1589056822,77,97
1589058736,86,104
1589060674,77,112
1589062602,92,89
1589064499,109,106
1589066444,77,116
1589068339,75,87
1589070260,108,85
1589072188,124,114
1589074139,89,95
1589076409,70,92
1589078310,51,84
1589080116,82,107
1589082024,125,90
1589083939,83,95
1589085873,89,89
1589087795,66,70
1589089698,90,86
1589091626,106,91
1589093589,98,108
1589095472,68,87
1589097422,80,74
1589099307,66,243
1589101380,78,74
1589103340,102,106
1589105565,109,117
1589107470,70,90
1589109420,68,96
1589111394,123,59
1589113247,83,80
1589115144,82,805
1589117083,89,84
1589118982,52,70
1589120904,59,96
1589122962,60,104
1589125093,205,96
1589126906,186,89
1589128819,114,100
1589130742,69,93
1589132655,85,64
1589134620,111,83
1589136493,171,86
1589138417,179,93
1589140355,126,89
1589142256,118,78
1589144184,119,79
1589146142,142,82
1589148402,225,101
1589150248,149,72
1589152109,100,112
1589154018,103,96
1589155989,116,114
1589157865,176,84
1589159821,148,109
1589161737,92,71
1589163636,91,74
1589165539,107,63
1589167467,128,135
1589169386,145,95
1589171295,133,107
1589173395,120,67
1589175395,108,98
1589177316,105,111
1589179215,119,122
1589181145,124,102
1589183069,131,87
1589185233,128,95
1589187139,116,62
1589189096,144,96
1589190985,125,80
1589192906,125,109
