DateTime,Entries,UniqueIPs
1588217074,7562,7562
1588218976,7546,7546
1588220913,7582,7582
1588222990,7571,7571
1588224974,7375,7375
1588226917,7376,7376
1588228816,7395,7395
1588230989,7397,7397
1588232916,7382,7382
1588234824,7390,7390
1588236754,7379,7379
1588238669,7363,7363
1588240593,7347,7347
1588242502,7355,7355
1588244657,7339,7339
1588246593,7339,7339
1588248521,7361,7361
1588250433,7367,7367
1588252344,7376,7376
1588254280,7392,7392
1588256436,7354,7354
1588258372,7327,7327
1588260266,7697,7697
1588262191,8858,8858
1588264101,9634,9634
1588266221,10501,10501
1588268198,11384,11384
1588270119,12151,12151
1588272038,13079,13079
1588274125,13759,13759
1588276133,14162,14162
1588278012,14814,14814
1588279932,15298,15298
1588281867,15935,15935
1588283773,16742,16742
1588285941,17536,17536
1588287874,18250,18250
1588289785,19157,19157
1588291742,19912,19912
1588293621,20177,20177
1588295545,20174,20174
1588297455,20192,20192
1588299649,20187,20187
1588301543,20191,20191
1588303471,20212,20212
1588305418,20219,20219
1588307332,20227,20227
1588310184,20236,20236
1588312362,20230,20230
1588314263,20231,20231
1588316305,20239,20239
1588318347,20243,20243
1588320288,20235,20235
1588322179,20240,20240
1588324116,20247,20247
1588326044,20253,20253
1588328235,20255,20255
1588330117,20279,20279
1588332111,20275,20275
1588333945,20286,20286
1588335874,20295,20295
1588337813,20307,20307
1588339705,20306,20306
1588341909,20300,20300
1588344026,20313,20313
1588345978,20154,20154
1588347862,19727,19727
1588349807,19167,19167
1588351706,18746,18746
1588353626,18348,18348
1588355546,17847,17847
1588357458,17324,17324
1588359387,16880,16880
1588361296,16792,16792
1588363444,16380,16380
1588365376,16154,16154
1588367318,16175,16175
1588369232,16169,16169
1588371413,16146,16146
1588373307,16136,16136
1588375228,16135,16135
1588377145,16126,16126
1588379081,16124,16124
1588381020,16112,16112
1588382904,16109,16109
1588386030,16102,16102
1588387962,16103,16103
1588389927,16084,16084
1588391790,16076,16076
1588393709,16082,16082
1588395859,15816,15816
1588397667,14914,14914
1588399510,14169,14169
1588401389,13243,13243
1588403351,13027,13027
1588405251,12775,12775
1588407197,12548,12548
1588409084,11615,11615
1588410997,10397,10397
1588412941,8801,8801
1588414877,7725,7725
1588416818,6741,6741
1588418830,6753,6753
1588422030,6768,6768
1588423949,6748,6748
1588425896,6745,6745
1588427775,6751,6751
1588429699,6761,6761
1588431774,6781,6781
1588433789,6767,6767
1588435964,6776,6776
1588437865,6792,6792
1588439850,6797,6797
1588441711,6800,6800
1588443640,6786,6786
1588445545,6720,6720
1588447473,6680,6680
1588449403,6650,6650
1588451299,6624,6624
1588453327,6610,6610
1588455198,6621,6621
1588457197,6618,6618
1588458998,6631,6631
1588460914,6625,6625
1588462845,6648,6648
1588464746,6625,6625
1588466656,6688,6688
1588468593,6681,6681
1588470502,6664,6664
1588472433,6666,6666
1588474360,6636,6636
1588476261,6654,6654
1588478207,6667,6667
1588480103,6663,6663
1588482147,6671,6671
1588483957,6693,6693
1588486839,6689,6689
1588488738,6713,6713
1588490672,6696,6696
1588492620,6685,6685
1588494498,6692,6692
1588496614,6710,6710
1588498592,6748,6748
1588500506,6758,6758
1588502421,6743,6743
1588504355,6727,6727
1588506279,6732,6732
1588508209,6734,6734
1588510094,6712,6712
1588512025,6670,6670
1588513939,7343,7343
1588515858,7294,7294
1588517859,7241,7241
1588519951,7208,7208
1588521939,7388,7388
1588523780,7473,7473
1588525711,7511,7511
1588527618,7546,7546
1588529538,7550,7550
1588531466,7553,7553
1588533376,7641,7641
1588535295,7719,7719
1588537226,7779,7779
1588539139,7795,7795
1588541065,7822,7822
1588542974,7872,7872
1588544931,7939,7939
1588547069,7976,7976
1588548976,8008,8008
1588550976,8001,8001
1588552817,8009,8009
1588554742,8011,8011
1588556669,8074,8074
1588558590,8102,8102
1588560498,8131,8131
1588562423,8171,8171
1588564366,8206,8206
1588566271,8265,8265
1588568217,8288,8288
1588570095,8261,8261
1588572108,8270,8270
1588574008,8275,8275
1588575910,8270,8270
1588577819,8325,8325
1588579997,8335,8335
1588581929,8337,8337
1588583792,8241,8241
1588585729,8247,8247
1588587684,8261,8261
1588589557,8322,8322
1588591476,8319,8319
1588593434,8328,8328
1588595313,8325,8325
1588597436,8286,8286
1588599386,8002,8002
1588601213,7655,7655
1588603223,7725,7725
1588605192,7724,7724
1588607081,7698,7698
1588609008,7637,7637
1588610911,7659,7659
1588612828,7688,7688
1588614744,7715,7715
1588616677,7745,7745
1588618636,7765,7765
1588620531,7744,7744
1588622752,7744,7744
1588624591,7735,7735
1588626514,7775,7775
1588628469,7791,7791
1588630371,7773,7773
1588632258,7808,7808
1588634180,7806,7806
1588636150,7814,7814
1588638068,7789,7789
1588639940,7794,7794
1588641941,7773,7773
1588643813,7739,7739
1588645755,7781,7781
1588647889,7792,7792
1588649805,7806,7806
1588651718,7831,7831
