DateTime,AddedIPs,RemovedIPs
1588115779,1,1
1588117700,1,0
1588119665,7,3
1588121561,1,0
1588123479,1,5
1588125383,0,3
1588129480,4,2
1588131399,3,2
1588133328,2,2
1588135225,4,2
1588137152,4,3
1588139073,1,0
1588140987,0,6
1588142924,2,3
1588144838,1,2
1588146745,0,2
1588148700,7,1
1588150593,0,1
1588152537,6,8
1588154719,0,1
1588156881,1,3
1588158749,1,0
1588160663,2,1
1588162846,3,0
1588164736,0,2
1588166693,4,8
1588168588,0,4
1588170494,0,6
1588172550,1,1
1588174353,0,1
1588176325,3,0
1588178198,4,3
1588180101,0,2
1588182055,1,6
1588183952,2,1
1588185928,4,2
1588187782,4,0
1588189717,2,0
1588191632,3,0
1588193545,4,0
1588195465,1,2
1588197403,3,4
1588199302,1,3
1588201381,0,1
1588203208,6,0
1588205085,2,6
1588206983,3,3
1588208912,10,1
1588210979,2,0
1588214906,2,4
1588217075,5,1
1588218977,2,2
1588220914,1,4
1588222991,1,6
1588224976,3,1
1588226921,4,0
1588228818,0,1
1588230990,1,2
1588232924,4,0
1588234825,3,6
1588236756,1,1
1588238671,2,6
1588242504,4,1
1588244659,7,1
1588246596,0,1
1588248522,2,4
1588252346,3,1
1588254283,4,3
1588256437,4,0
1588258374,1,0
1588260268,3,1
1588262193,1,3
1588264103,4,2
1588266277,2,2
1588268200,0,1
1588270120,0,2
1588272040,0,4
1588274201,2,4
1588276134,0,2
1588278013,0,3
1588279934,0,4
1588281868,0,1
1588283774,3,3
1588285942,1,1
1588289786,0,6
1588291743,0,3
1588293621,2,4
1588295546,2,8
1588297456,3,2
1588299650,3,1
1588301544,1,3
1588303472,2,3
1588305419,0,2
1588307373,1,1
1588309237,1,1
1588311178,0,3
1588313077,0,3
1588314973,0,1
1588317157,1,0
1588319153,5,5
1588321088,0,3
1588324816,4,2
1588326748,1,1
1588328666,1,3
1588330590,1,6
1588332500,0,2
1588334555,0,2
1588336621,2,0
1588340419,0,6
1588342360,0,5
1588344262,2,1
1588346173,1,2
1588348103,3,2
1588350014,3,3
1588351946,2,2
1588353861,1,1
1588357695,3,0
1588361618,3,2
1588363481,1,0
1588365377,4,0
1588367319,2,0
1588369233,1,0
1588371419,3,4
1588375229,1,0
1588377146,1,0
1588379083,2,2
1588381023,1,0
1588382906,1,2
1588386032,0,6
1588387965,3,1
1588389932,0,2
1588393711,3,1
1588395888,2,1
1588398033,2,0
1588401857,1,0
1588403783,3,3
1588405703,8,3
1588407638,2,0
1588411460,1,5
1588413450,2,0
1588415299,0,1
1588418181,1,1
1588422032,0,2
1588429717,1,0
1588431779,2,3
1588433792,3,1
1588435965,0,5
1588437870,1,0
1588439851,4,3
