DateTime,AddedIPs,RemovedIPs
1588051025,1,2
1588052922,2,0
1588054827,0,1
1588058732,1,0
1588065401,1,0
1588067320,0,5
1588069227,17,0
1588071152,0,1
1588073106,1,2
1588075079,0,5
1588076913,1,1
1588079903,1,2
1588081716,2,2
1588083549,1,1
1588085594,2,1
1588087733,1,0
1588089938,2,0
1588091782,2,0
1588093711,0,1
1588097549,1,3
1588103296,2,1
1588105245,1,1
1588107146,1,1
1588109058,6,0
1588110992,1,2
1588112904,1,0
1588115779,3,0
1588117701,2,0
1588119680,2,4
1588121561,2,1
1588123479,1,1
1588125383,1,1
1588127311,2,1
1588129484,3,2
1588131399,1,1
1588133329,4,0
1588135225,1,0
1588137152,1,1
1588139074,1,2
1588144838,2,1
1588146746,2,0
1588150593,1,0
1588152538,1,0
1588154724,2,1
1588156881,4,2
1588158749,1,1
1588160664,0,1
1588162846,1,0
1588164736,1,0
1588166694,2,0
1588168589,3,26
1588172552,0,2
1588174354,1,0
1588176325,5,3
1588178199,1,3
1588180102,0,1
1588182055,1,1
1588183952,0,2
1588185929,1,0
1588189718,0,1
1588191632,2,2
1588193546,16,2
1588195466,3,4
1588197403,1,3
1588199302,2,1
1588201382,1,5
1588203208,3,2
1588205090,1,3
1588206983,1,2
1588208912,4,2
1588210983,2,3
1588212978,1,1
1588214906,1,3
1588217076,3,2
1588218977,2,1
1588220931,1,1
1588222992,0,2
1588224977,0,1
1588226921,1,0
1588228818,1,0
1588230991,24,0
1588232924,1,2
1588234826,1,0
1588236756,1,1
1588242505,0,2
1588244660,1,2
1588246596,0,1
1588248523,3,0
1588250435,3,2
1588252370,1,5
1588254283,1,1
1588256437,0,1
1588260268,0,1
1588262193,1,2
1588264103,0,2
1588266278,1,1
1588272040,1,0
1588274202,2,1
1588276134,0,1
1588278014,1,0
1588279934,1,17
1588281869,0,3
1588283775,3,1
1588285942,0,2
1588287876,1,2
1588289787,3,2
1588291744,5,1
1588293622,1,0
1588295546,1,5
1588297457,3,1
1588299650,1,0
1588301544,1,1
1588303473,0,1
1588305419,0,1
1588307373,1,1
1588310185,1,0
1588312363,1,0
1588314265,0,1
1588316309,0,28
