DateTime,AddedIPs,RemovedIPs
1586857948,2,1
1586859861,1,2
1586863704,0,1
1586871616,2,0
1586873538,0,1
1586875476,0,2
1586877377,0,1
1586879295,1,2
1586881231,0,1
1586883138,0,2
1586885057,0,1
1586888203,0,2
1586890096,2,0
1586892029,0,1
1586893944,0,2
1586895852,0,2
1586899691,0,1
1586905943,1,1
1586907875,0,1
1586911718,0,1
1586913613,0,2
1586915539,2,2
1586917977,1,2
1586919897,0,1
1586921779,1,3
1586923707,3,1
1586925619,4,3
1586927540,2,0
1586929467,2,4
1586931379,3,1
1586933310,1,0
1586935264,1,0
1586937144,2,0
1586939059,4,1
1586940979,2,2
1586942948,4,3
1586945836,3,3
1586947726,3,0
1586949635,3,0
1586951558,3,0
1586955392,2,0
1586957303,4,2
1586959321,1,0
1586961277,2,0
1586963097,2,0
1586965016,0,1
1586968830,1,0
1586974825,0,1
1586976738,0,1
1586980578,0,1
1586988781,1,0
1586990657,1,0
1586992579,0,1
1586994508,1,0
1586996447,1,0
1586998337,1,0
1587000272,1,1
1587002174,2,1
1587004097,1,1
1587006272,1,0
1587008214,0,1
1587010378,2,3
1587012261,2,4
1587014184,1,3
1587016112,0,1
1587018036,1,3
1587019939,1,2
1587021894,2,1
1587023800,2,2
1587025728,0,3
1587027877,0,3
1587029783,0,3
1587031692,3,2
1587033614,0,3
1587035553,0,3
1587037779,1,3
1587041547,1,2
1587043481,1,3
1587047324,1,2
1587049397,1,3
1587055221,0,1
1587072512,0,1
1587076593,1,2
1587080420,1,0
1587082599,1,2
1587086438,1,2
1587088369,2,2
1587090262,0,1
1587092186,1,1
1587094098,1,0
1587097038,0,2
1587098947,1,2
1587100860,2,2
1587102740,2,0
1587104659,1,1
1587106591,0,1
1587108501,1,1
1587110696,2,1
1587112580,1,0
1587114514,1,0
1587116446,3,1
1587118347,0,2
1587120274,1,0
1587122212,1,0
1587124137,1,1
1587126054,1,0
1587128015,1,1
1587129862,0,1
1587131789,1,0
1587133701,1,0
1587139730,1,0
1587143550,0,1
1587159377,0,1
1587163466,0,1
1587167378,0,1
1587169225,1,1
1587171144,1,0
1587173072,0,2
1587175014,1,3
1587179077,0,1
1587181016,3,1
1587184822,2,1
1587186754,0,1
1587188666,0,3
1587190575,0,1
1587194442,1,1
1587196337,0,2
1587198283,2,0
1587200182,2,2
1587202125,0,2
1587204237,1,1
1587206186,1,0
1587208106,0,2
1587210048,0,1
1587211960,0,1
1587213861,0,1
1587215780,1,0
1587217711,0,1
1587221566,0,1
1587227296,0,1
1587240977,2,0
1587256602,0,1
1587258498,0,1
1587262377,1,0
1587268110,0,3
1587270046,1,0
1587271968,1,2
1587277698,1,0
1587281806,0,1
1587283704,1,0
1587285618,1,3
1587287545,1,1
1587291403,1,2
1587295224,2,0
1587302921,0,1
1587307827,1,0
1587327143,0,2
1587331056,1,0
1587334858,2,0
1587338670,2,0
1587340581,1,0
1587342503,2,0
1587344708,2,0
1587346587,2,0
1587348519,0,1
1587350443,2,0
1587352357,1,0
1587354279,1,0
1587356200,1,1
1587358105,0,1
1587361935,1,0
1587363867,1,1
1587365776,1,0
1587371519,0,2
1587373679,1,1
1587377535,0,1
1587379455,1,0
1587381636,0,2
1587385707,1,0
1587387750,1,0
1587394110,0,1
1587418344,0,1
1587422192,0,2
1587424096,0,1
1587426017,0,1
1587427983,0,1
1587429857,0,1
1587431895,0,4
1587436266,0,1
1587438514,0,3
1587440422,0,2
1587442354,0,1
1587448112,0,1
1587450024,2,1
1587451957,0,1
1587455807,1,0
1587459800,0,1
1587461809,1,0
1587465625,1,0
1587467599,1,1
1587471480,0,1
1587473313,1,1
1587480980,2,0
1587482903,1,0
1587485855,2,0
1587491589,1,0
1587493473,1,0
1587501614,1,0
1587515076,2,0
1587518961,2,0
1587527090,2,0
1587530895,1,0
1587533137,2,0
1587535496,1,1
1587537725,1,1
1587541703,0,1
1587543643,1,0
1587549413,3,1
1587551302,1,1
1587553485,0,1
1587555630,1,0
1587559470,1,1
1587567387,0,1
1587569301,0,1
1587572197,0,2
1587574113,1,0
1587577986,0,1
1587579882,0,1
1587585901,3,0
1587587797,0,1
1587591623,1,0
1587593551,2,0
1587601242,0,1
1587603166,0,1
1587605072,0,2
1587611010,0,1
1587612995,1,2
1587616830,2,1
1587618750,0,1
1587620672,0,1
1587622578,1,1
1587624524,0,1
1587628404,1,0
1587630259,1,1
1587636342,0,3
1587638178,0,1
1587642260,0,1
1587644436,1,0
1587646356,0,1
1587650735,1,0
1587660536,0,1
1587670116,1,0
1587672402,0,3
1587676144,2,0
1587680190,0,2
1587691728,0,1
1587695784,1,0
1587699624,0,1
1587703477,0,2
1587705374,2,0
1587709228,1,1
1587714974,0,1
1587717145,0,1
1587723151,2,0
1587729146,0,1
1587737075,1,1
1587748862,1,0
1587756506,0,1
1587762518,0,2
1587782425,1,1
1587788433,1,0
1587790340,2,1
1587792267,0,1
1587794188,1,0
1587796102,2,1
1587800186,1,0
1587804021,1,0
1587806241,1,0
1587811964,1,0
1587815808,2,0
1587823961,0,1
1587835481,0,1
1587839303,1,0
1587845296,1,0
1587869323,0,1
1587873136,0,3
1587876991,0,2
1587881101,0,1
1587882993,0,2
1587884920,0,1
1587890673,0,1
1587892577,0,1
1587898351,1,1
1587902185,1,0
1587904360,1,0
1587918038,1,1
1587925710,0,1
1587927779,1,0
1587931712,0,1
1587939619,1,0
1587941548,1,0
1587955459,1,0
1587959306,1,0
1587966490,1,0
1587968422,1,0
1587976100,1,0
1587980026,0,1
1587985708,0,1
1587987631,0,1
1587991476,0,1
1587995321,1,0
1588004933,0,1
1588014794,0,1
1588026278,1,2
1588037140,1,0
1588042990,0,1
1588047168,0,1
1588052922,0,1
1588054828,1,1
1588058733,1,0
1588062510,0,1
1588076914,1,0
1588081717,0,1
1588089943,1,0
1588099478,1,0
1588112904,0,1
1588121562,1,0
1588123480,0,1
1588127311,1,0
1588137153,1,0
1588140987,0,1
1588142925,1,0
1588144838,0,1
1588160665,2,0
1588162847,1,0
1588164737,0,1
1588166694,1,0
1588170495,1,0
1588172553,1,0
1588176325,0,1
1588180102,1,0
1588185929,0,1
1588189718,1,0
1588195466,1,0
1588206984,0,1
1588210988,1,0
1588214906,1,1
1588222992,1,1
1588224977,1,0
1588230991,0,1
1588236757,2,0
1588240595,1,0
1588248523,0,3
1588252371,1,0
1588254284,1,1
1588258375,0,2
1588262194,1,0
1588266279,0,1
1588276134,0,1
1588281869,0,1
1588283775,1,0
1588293623,1,0
1588297457,1,0
1588301545,0,1
1588303473,1,0
1588305420,0,1
1588310186,0,2
1588312363,1,0
1588316309,1,0
1588318351,1,0
1588322181,0,2
1588326045,0,1
1588337815,1,1
1588339707,1,1
1588341945,1,0
1588359390,1,0
1588371445,0,1
1588379084,0,1
1588386033,1,2
1588389933,0,1
1588399960,0,1
1588403784,0,2
1588418182,2,0
1588423955,0,1
1588425914,1,0
1588427778,0,1
1588429718,0,1
1588437871,1,0
1588443643,1,0
1588445548,0,1
1588469065,1,0
1588471041,0,1
1588486581,1,0
1588500168,1,0
1588504355,0,2
1588513939,0,1
1588523780,0,1
1588529538,1,1
1588542975,1,0
1588548976,1,0
1588554742,1,0
1588556693,1,1
1588558591,2,0
1588560499,1,0
1588572118,3,0
1588574009,0,1
1588577823,1,0
1588585734,0,1
1588587687,1,0
1588595315,1,0
1588603225,1,0
1588616679,2,1
1588628471,1,0
1588630373,0,1
1588636152,0,1
1588639943,1,0
1588643815,0,2
1588645757,1,2
1588649807,1,0
1588657467,0,3
1588661315,1,0
1588663271,1,1
1588667089,1,0
1588674992,0,1
1588682668,0,1
1588688708,0,1
1588696584,1,0
1588702358,0,2
1588708126,1,0
1588715798,2,1
1588717736,1,0
1588725622,0,1
1588731625,0,1
1588733570,1,0
1588735469,0,1
1588737410,1,0
1588739314,1,0
1588743377,0,1
1588747241,0,1
1588749155,0,1
1588752976,0,1
1588758737,3,0
1588762587,1,0
1588764505,1,0
1588768570,1,0
1588782027,1,1
1588792607,1,0
1588794528,0,1
1588802270,1,2
1588804455,0,1
1588819949,0,1
1588823783,1,1
1588825701,0,1
1588829797,1,0
1588835555,1,0
1588839379,1,0
1588845144,0,3
1588850907,0,1
1588855019,1,1
1588868433,0,1
1588872309,1,0
1588878337,0,1
1588880225,1,0
1588887894,0,1
1588899391,1,0
1588909252,0,1
1588913083,1,0
1588916900,1,1
1588920792,0,2
1588926531,0,1
1588932508,1,0
1588942352,0,1
1588957934,0,1
1588967772,0,1
1588974750,1,0
1588983611,1,0
1588985536,0,1
1588999464,0,1
1589003536,1,1
1589005469,1,0
1589009355,1,0
1589017225,0,1
1589023217,1,0
1589048416,1,0
1589061131,0,1
1589070982,0,1
1589072906,1,0
1589082749,1,0
1589084661,1,0
1589090592,0,1
1589092415,0,1
1589096297,0,1
1589102093,1,0
1589109884,0,1
1589135057,1,1
1589142978,1,0
1589158341,0,1
1589162176,1,0
1589170353,1,2
1589187899,0,1
