DateTime,AddedIPs,RemovedIPs
1588212978,9,15
1588214907,3,3
1588217076,5,20
1588218978,7,2
1588220931,7,8
1588222992,11,8
1588224978,6,2
1588226922,9,14
1588228819,5,5
1588230992,4,0
1588232925,6,84
1588234826,2,12
1588236757,3,7
1588238672,6,6
1588240595,5,8
1588242506,26,52
1588244661,15,35
1588246597,10,19
1588248524,17,17
1588250436,9,13
1588252371,11,11
1588254284,12,5
1588256438,5,40
1588258375,3,11
1588260269,3,15
1588262194,4,10
1588264104,1,13
1588266280,4,12
1588268201,4,8
1588270121,4,86
1588272055,4,21
1588274214,7,13
1588276135,3,27
1588278015,4,19
1588279935,5,14
1588281870,2,88
1588283775,2,11
1588285943,6,45
1588287880,8,27
1588289788,10,20
1588291745,7,25
1588293623,5,7
1588295547,7,3
1588297458,4,5
1588299652,48,19
1588301545,20,5
1588303474,14,3
1588305420,23,13
1588307374,20,20
1588310187,34,30
1588312364,18,14
1588314266,9,9
1588316310,13,8
1588318352,10,5
1588320338,10,9
1588322181,24,7
1588324118,7,5
1588326046,1,11
1588328237,2,52
1588330118,1,34
1588332113,14,23
1588333947,9,26
1588335876,2,24
1588337815,2,27
1588339707,2,21
1588341947,18,21
1588344028,11,10
1588345980,13,1
1588347864,17,4
1588349809,39,3
1588351708,24,7
1588353628,12,5
1588355548,17,9
1588357459,7,7
1588359391,7,9
1588361298,4,2
1588363492,9,6
1588365379,10,6
1588367321,4,8
1588369234,5,10
1588371451,59,8
1588373311,22,5
1588375230,16,4
1588377148,21,6
1588379085,14,4
1588381026,19,11
1588382907,18,9
1588386034,53,52
1588387966,11,28
1588389934,14,20
1588391806,15,33
1588393712,17,27
1588395908,16,32
1588398034,21,10
1588399961,19,27
1588401858,23,6
1588403784,26,11
1588405705,23,1
1588407640,22,21
1588409541,11,9
1588411461,22,4
1588413451,25,2
1588415300,23,1
1588418182,24,12
1588420111,21,11
1588422034,19,2
1588423956,14,2
1588425915,9,4
1588427778,17,3
1588429719,7,12
1588431783,4,11
1588433793,4,12
1588435967,9,33
1588437872,0,15
1588439853,0,11
1588441714,2,9
1588443643,11,6
1588445550,7,8
1588447498,0,4
1588449407,2,6
1588451302,1,7
1588453418,2,5
1588455231,2,6
1588457204,11,22
1588459221,7,52
1588461390,7,18
1588463293,6,22
1588465218,7,18
1588467147,0,15
1588469066,1,9
1588471042,4,5
1588472898,5,60
1588474984,10,20
1588476997,8,19
1588478904,6,22
1588480820,7,14
1588482774,10,11
1588484663,12,10
1588486582,47,34
1588488510,13,29
1588490412,46,19
1588492335,26,18
1588494269,14,21
1588496173,26,17
1588498104,20,14
1588500180,28,13
1588502187,10,53
1588504356,15,26
1588506280,12,26
1588508209,7,20
1588510095,11,26
1588512026,1,19
1588513940,1,23
1588515859,35,14
1588517860,11,8
1588519952,10,5
1588521945,10,10
1588523781,4,1
1588525711,7,0
1588527619,7,2
1588529539,8,8
1588531468,9,10
1588533377,10,0
1588535295,8,2
1588537227,8,2
1588539140,4,2
1588541066,13,1
1588542975,9,1
1588544932,8,12
1588547110,19,8
1588548977,6,6
1588550987,6,6
1588552818,2,0
1588554743,2,2
1588556695,3,3
1588558591,76,3
1588560500,37,9
1588562424,29,9
1588564368,68,4
1588566293,88,7
1588568218,39,11
1588570096,25,6
1588572126,32,11
1588574009,9,40
1588575914,11,23
1588577823,9,40
1588580000,9,20
1588581934,8,16
1588583795,11,17
1588585734,15,25
1588587687,5,9
1588589559,5,12
1588591488,11,8
1588593436,5,13
1588595315,5,9
1588597518,14,4
1588599388,8,2
1588601216,28,20
1588603226,37,13
1588605194,21,9
1588607084,13,12
1588609012,14,5
1588610914,20,4
1588612831,18,4
1588614747,20,0
1588616679,9,11
1588618658,10,5
1588620534,0,13
1588622772,2,4
1588624594,3,6
1588626517,2,4
1588628472,6,8
1588630373,5,12
1588632261,7,16
1588634183,4,12
1588636152,5,6
1588638075,0,2
1588639944,1,1
1588641943,4,4
1588643815,4,3
1588645758,0,71
1588647901,4,25
1588649808,3,32
1588651721,3,80
1588653634,1,75
1588655613,12,24
1588657467,4,25
1588659400,1,17
1588661315,6,13
1588663271,17,8
1588665148,3,8
1588667090,3,7
1588668992,4,4
1588670908,8,13
1588673101,21,6
1588674993,54,10
1588676911,24,6
1588678830,29,8
1588680848,39,3
1588682669,23,9
1588684587,27,5
1588686776,32,4
1588688709,6,82
1588690579,3,18
1588692517,8,27
1588694727,5,31
1588696584,3,15
1588698515,1,27
1588700439,2,33
1588702358,34,15
1588704300,26,12
1588706196,28,6
1588708127,23,1
1588710048,9,1
1588711942,7,4
1588713874,10,9
1588715798,6,1
1588717736,3,15
1588719931,4,8
1588721842,3,6
1588723702,1,6
1588725623,1,1
1588727815,1,2
1588729723,5,7
1588731625,3,2
1588733570,0,4
1588735470,8,3
1588737411,2,3
1588739314,0,3
1588741411,0,12
1588743377,1,6
1588745337,3,2
1588747265,4,2
1588749156,8,10
1588751086,11,11
1588752977,5,2
1588754898,1,5
1588756826,8,6
1588758737,3,0
1588760676,1,85
1588762588,4,30
1588764505,4,29
1588766582,7,24
1588768571,22,54
1588770514,4,24
1588772416,1,36
1588774370,26,18
1588776262,22,7
1588778177,14,11
1588780105,13,11
1588782027,18,5
1588783938,10,4
1588785866,3,0
1588787777,2,2
1588789699,3,80
1588792607,7,48
1588794529,0,39
1588796417,105,6
1588798338,0,5
1588800296,1,9
1588802270,2,8
1588804455,11,3
1588806308,6,3
1588808206,7,4
1588810130,7,1
1588812029,3,2
1588813953,2,1
1588815863,3,4
1588818028,6,3
1588819950,17,0
1588821875,22,7
1588823784,10,1
