DateTime,AddedIPs,RemovedIPs
1585620747,38,44
1585627939,41,33
1585635138,24,10
1585642340,18,15
1585649781,23,13
1585657216,28,21
1585663709,23,17
1585671618,23,24
1585678821,18,32
1585686018,12,20
1585693944,10,15
1585701149,15,30
1585704017,12,0
1585711459,41,49
1585718664,22,27
1585722260,2,0
1585723225,15,15
1585730418,26,23
1585738105,17,16
1585744816,21,19
1585752264,20,16
1585759701,23,11
1585766900,21,13
1585774098,15,16
1585781301,13,24
1585788502,23,0
1585796423,52,75
1585803629,36,25
1585810855,17,0
1585818025,28,17
1585825231,16,15
1585832427,24,14
1585840330,20,35
1585847527,24,0
1585854738,14,23
1585861938,24,19
1585869140,11,13
1585877058,29,23
1585883775,47,47
1585891217,20,35
1585898422,12,11
1585906348,19,17
1585913545,15,12
1585920743,18,17
1585927944,23,23
1585935148,17,17
1585943064,17,14
1585950262,15,19
1585957465,14,22
1585965376,39,23
1585972578,40,51
1585979779,15,25
1585986982,18,21
1585994901,20,14
1586002110,14,12
1586009307,27,16
1586016502,21,21
1586023709,14,21
1586029464,4,16
1586033062,9,0
1586041011,11,47
1586048177,26,0
1586055378,40,29
1586062613,33,49
1586069779,16,13
1586076978,17,18
1586084188,19,10
1586091379,21,18
1586098836,14,12
1586106511,11,17
1586113701,15,22
1586120909,17,21
1586128110,11,15
1586134819,17,26
1586142018,42,39
1586149713,30,36
1586156423,17,11
1586163666,20,14
1586170834,16,13
1586178749,22,20
1586185944,17,19
1586193147,28,19
1586200350,15,16
1586207551,18,20
1586214733,12,11
1586221933,22,25
1586229373,50,41
1586236810,25,28
1586244012,12,13
1586251209,23,19
1586257949,10,11
1586265152,15,16
1586273060,16,12
1586280261,15,16
1586287460,14,17
1586294663,16,25
1586301863,13,20
1586309064,29,37
1586316261,50,43
1586323464,27,18
1586330666,15,16
1586337863,15,22
1586345061,22,15
1586352270,22,20
1586360182,21,17
1586367382,26,16
1586374584,18,22
1586381781,15,21
1586388979,18,17
1586396420,23,0
1586403613,54,75
1586410810,23,22
1586417539,19,12
1586425449,21,19
1586432661,15,16
1586439868,24,19
1586447061,18,14
1586454264,21,22
1586461700,15,21
1586468901,14,14
1586476102,14,15
1586483304,31,31
1586490502,48,42
1586497219,22,28
1586504419,15,15
1586511861,24,16
1586519300,17,20
1586526505,20,12
1586533701,14,19
1586540901,15,24
1586548341,15,7
1586555292,11,37
1586563211,15,25
1586570415,39,36
1586577137,42,36
1586584570,20,13
1586591768,14,13
1586598973,21,16
1586606661,16,16
1586614102,25,12
1586621307,27,17
1586628026,18,28
1586635943,4,30
1586636662,22,0
1586643857,26,10
1586651060,15,27
1586658259,50,53
1586666178,31,24
1586673385,17,16
1586675541,5,0
1586683461,25,9
1586690441,17,15
1586697622,16,22
1586704822,19,14
1586712496,19,15
1586719695,18,13
1586727150,20,18
1586735058,16,32
1586739411,1,0
1586740112,21,31
1586747540,65,42
1586751146,19,0
1586759057,17,19
1586766496,24,15
1586773695,25,16
1586781388,31,18
1586784260,13,19
1586791707,19,14
1586799388,22,23
1586806344,20,14
1586813540,14,22
1586820745,19,23
1586826500,23,0
1586828657,14,34
1586835857,46,34
1586843059,23,16
1586850257,23,11
