DateTime,AddedIPs,RemovedIPs
1585627939,108,127
1585635138,86,99
1585642340,88,101
1585649781,130,88
1585657216,101,92
1585657949,33,33
1585663709,117,98
1585671618,89,100
1585678821,96,94
1585686018,92,102
1585693944,89,132
1585701149,101,114
1585704017,57,77
1585711459,127,133
1585718664,103,109
1585722260,60,96
1585723225,139,75
1585730418,79,89
1585738105,106,98
1585744816,114,106
1585752264,131,92
1585759701,118,101
1585766900,99,84
1585774098,76,99
1585781301,72,116
1585788502,84,93
1585796423,131,103
1585803629,92,78
1585810855,74,98
1585818025,106,93
1585825231,100,84
1585832427,90,119
1585840330,121,113
1585847527,120,101
1585854738,98,109
1585861938,99,120
1585869140,81,123
1585877058,98,118
1585883775,110,120
1585891217,100,95
1585898422,101,84
1585906348,111,78
1585913545,91,121
1585920743,122,92
1585927944,113,111
1585935148,94,115
1585943064,105,88
1585950262,82,92
1585957465,73,101
1585965376,98,101
1585972578,118,101
1585979779,83,78
1585986982,100,82
1585994901,106,83
1586002110,101,117
1586009307,109,113
1586016502,120,121
1586023709,113,83
1586029464,57,61
1586033062,94,97
1586041011,93,108
1586048177,74,111
1586055378,126,115
1586062613,99,128
1586069779,112,92
1586076978,120,119
1586084188,123,90
1586091379,104,89
1586098836,104,104
1586106511,104,177
1586113701,198,91
1586120909,95,123
1586128110,99,104
1586134819,71,88
1586142018,101,109
1586149713,86,113
1586156423,101,94
1586163666,101,111
1586170834,108,99
1586178749,117,107
1586185944,106,131
1586193147,143,95
1586200350,90,116
1586207551,103,160
1586214733,130,105
1586221933,113,108
1586229373,111,127
1586236810,124,96
1586244012,79,88
1586251209,93,78
1586257949,98,106
1586265152,111,104
1586273060,110,98
1586280261,107,78
1586287460,104,111
1586294663,92,98
1586301863,85,148
1586309064,136,110
1586316261,120,139
1586323464,121,121
1586330666,98,92
1586337863,99,99
1586345061,111,105
1586352270,133,99
1586360182,126,116
1586367382,114,92
1586374584,88,101
1586381781,72,130
1586388979,93,128
1586396420,140,112
1586403613,125,154
1586410810,112,94
1586417539,126,99
1586425449,112,116
1586432661,128,100
