DateTime,AddedIPs,RemovedIPs
1587703820,0,1
1587706462,1,2
1587710062,11,1
1587712847,0,1
1587713997,0,1
1587715783,0,2
1587720320,1,2
1587724461,1,1
1587726954,1,0
1587728051,1,0
1587731121,1,0
1587731659,0,1
1587733347,1,2
1587735262,1,0
1587738033,2,0
1587740455,0,1
1587743419,3,7
1587745342,2,0
1587746057,1,1
1587747631,1,0
1587749668,0,2
1587756258,1,0
1587757823,0,1
1587760460,1,0
1587761838,3,0
1587763521,0,1
1587767031,0,1
1587771254,3,1
1587772628,1,0
1587776835,1,1
1587778460,0,1
1587779908,1,1
1587782058,0,1
1587785122,1,0
1587786620,1,0
1587792858,1,1
1587796457,1,0
1587797726,3,0
1587800056,0,1
1587804618,2,0
1587807260,3,0
1587809615,1,0
1587811648,1,0
1587813918,2,0
1587817275,1,0
1587821120,2,0
1587822575,1,0
1587824570,5,0
1587828860,1,3
1587830452,1,0
1587834914,1,0
1587838052,4,0
1587840621,1,0
1587843778,0,2
1587846056,2,0
1587847438,1,0
1587849299,1,0
1587850526,1,0
1587854057,0,1
1587857659,1,1
1587860044,1,1
1587862218,0,1
1587867357,0,1
1587868462,0,2
1587869872,2,0
1587872977,0,2
1587875660,0,1
1587876983,1,0
1587878631,0,10
1587880217,1,2
1587881622,1,0
1587885922,2,0
1587889031,0,1
1587892690,1,0
1587893659,0,1
1587895057,0,1
1587896416,1,0
1587898854,0,2
1587904458,1,2
1587908060,2,3
1587912797,0,1
1587914126,3,4
1587915491,0,1
1587916625,1,0
1587918321,0,1
1587920636,1,1
1587923780,1,1
1587926059,0,1
1587928519,3,0
1587929657,1,1
1587931114,1,3
1587933892,0,1
1587935680,1,0
1587936861,3,0
1587940461,0,2
1587942257,1,1
1587944061,1,2
1587948621,0,2
1587955820,0,1
1587957922,1,1
1587961520,4,1
1587962625,0,1
1587965120,1,0
1587965661,1,0
1587968527,0,6
1587975119,0,3
1587976459,1,2
1587978092,2,1
1587982195,1,0
1587983661,0,2
1587985532,0,1
1587986721,1,0
1587989172,0,1
1587990859,0,3
1587992730,1,4
1587995096,1,3
1587996676,1,0
1587998126,3,0
1587999468,3,0
1588001658,1,1
1588004372,1,1
1588005259,0,1
1588007046,0,4
1588011622,1,1
1588013260,1,0
1588015039,0,2
1588019662,0,1
1588023259,1,1
1588027031,1,0
1588029922,1,2
1588033066,1,0
1588037657,2,0
1588040721,0,1
1588042409,1,0
1588047540,1,1
1588055658,0,2
1588065548,3,0
1588068388,1,0
1588070060,1,0
1588071555,3,0
1588076444,0,2
1588082241,1,0
1588083920,1,0
1588085333,0,3
1588086810,2,2
1588088061,1,1
1588089217,1,0
1588090932,3,0
1588093421,0,1
1588095918,1,0
1588097039,0,3
1588098856,1,1
1588102463,1,0
1588104647,0,1
1588106060,0,3
1588109660,1,1
1588113264,0,1
1588116857,3,0
1588124842,1,0
1588127665,3,1
1588129937,1,4
1588133300,1,0
1588134862,0,1
1588136569,0,1
