DateTime,Entries,UniqueIPs
1588325655,11451,11451
1588326749,11456,11456
1588328187,11446,11446
1588329252,11436,11436
1588330739,11412,11412
1588331949,11433,11433
1588333136,11418,11418
1588334897,11402,11402
1588336878,11399,11399
1588338035,11401,11401
1588339307,11433,11433
1588340554,11406,11406
1588341844,11402,11402
1588343654,11400,11400
1588345805,11409,11409
1588347256,11380,11380
1588348971,11385,11385
1588350857,11394,11394
1588352540,11385,11385
1588354452,11392,11392
1588356302,11388,11388
1588357491,11403,11403
1588361113,11387,11387
1588362615,11352,11352
1588363772,11341,11341
1588365396,11325,11325
1588367407,11331,11331
1588369406,11326,11326
1588370998,11351,11351
1588372660,11371,11371
1588375476,11426,11426
1588376659,11416,11416
1588378241,11415,11415
1588380751,11405,11405
1588381884,11390,11390
1588383254,11396,11396
1588384481,11438,11438
1588386854,11445,11445
1588390454,11404,11404
1588394056,11404,11404
1588397654,11376,11376
1588399938,11367,11367
1588401253,11345,11345
1588402901,11376,11376
1588404851,11399,11399
1588407166,11417,11417
1588409416,11430,11430
1588412054,11467,11467
1588413648,11457,11457
1588415115,11506,11506
1588415656,11477,11477
1588417242,11457,11457
1588418656,11481,11481
1588419253,11471,11471
1588420928,11464,11464
1588422853,11415,11415
1588425470,11430,11430
1588426452,11412,11412
1588427803,11425,11425
1588429391,11428,11428
1588430051,11410,11410
1588432690,11424,11424
1588433652,11387,11387
1588436050,11400,11400
1588437519,11419,11419
1588440318,11450,11450
1588443183,11433,11433
1588444678,11444,11444
1588446284,11459,11459
1588447536,11498,11498
1588448055,11490,11490
1588449228,11522,11522
1588450487,11566,11566
1588451654,11578,11578
1588454293,11626,11626
1588455257,11637,11637
1588457719,11699,11699
1588458854,11696,11696
1588460349,11686,11686
1588461619,11717,11717
1588462453,11644,11644
1588464951,11681,11681
1588466053,11667,11667
1588469653,11685,11685
1588472201,11710,11710
1588473988,11719,11719
1588476317,11743,11743
1588477817,11744,11744
1588479435,11732,11732
1588481414,11722,11722
1588484053,11709,11709
1588486060,11720,11720
1588487653,11692,11692
1588488903,11721,11721
1588490713,11735,11735
1588492212,11739,11739
1588493870,11752,11752
1588494854,11733,11733
1588496101,11751,11751
1588497914,11755,11755
1588499414,11758,11758
1588501089,11774,11774
1588504352,7967,7967
1588505499,11780,11780
1588507632,11782,11782
1588509251,11770,11770
1588510884,11781,11781
1588512313,11809,11809
1588513813,11805,11805
1588515541,11816,11816
1588516451,11791,11791
1588518091,11782,11782
1588520058,11781,11781
1588521282,11801,11801
1588522737,11808,11808
1588523655,11770,11770
1588525245,11764,11764
1588526411,11788,11788
1588527254,11770,11770
1588529922,11800,11800
1588531616,11804,11804
1588532741,11826,11826
1588534454,11827,11827
1588537194,11864,11864
1588538543,11857,11857
1588541654,11807,11807
1588544266,11801,11801
1588545855,11776,11776
1588548213,11796,11796
1588549814,11840,11840
1588551391,11871,11871
1588552454,11858,11858
1588555514,11876,11876
1588557017,11852,11852
1588558847,11854,11854
1588559654,11826,11826
1588560758,11850,11850
1588562717,11859,11859
1588563258,11832,11832
1588565050,11848,11848
1588566320,11870,11870
1588567489,11866,11866
1588570453,11878,11878
1588573303,11915,11915
1588575014,11885,11885
1588577653,11886,11886
1588579244,11882,11882
1588581253,11867,11867
1588582520,11895,11895
1588584305,7967,7967
1588584855,11888,11888
1588586544,11934,11934
1588588454,11938,11938
1588592053,11945,11945
1588593566,11944,11944
1588595000,11985,11985
1588595658,11973,11973
1588597055,12004,12004
