DateTime,AddedIPs,RemovedIPs
1588315820,3,7
1588318463,14,2
1588320054,2,5
1588321521,5,1
1588322058,0,6
1588324042,5,8
1588325661,19,8
1588326754,6,6
1588328198,7,5
1588329257,5,5
1588330745,7,8
1588331958,7,4
1588333146,12,6
1588334901,2,7
1588336883,6,11
1588338050,8,2
1588339311,8,5
1588340558,3,11
1588341849,4,2
1588343660,19,7
1588345813,13,18
1588347262,7,7
1588348976,6,10
1588350864,5,7
1588352550,8,5
1588354457,6,9
1588356445,8,9
1588357800,5,5
1588361118,13,17
1588362621,15,10
1588363776,5,11
1588365400,8,13
1588367415,8,9
1588369410,9,8
1588371002,8,7
1588372664,6,8
1588375480,19,12
1588376663,10,9
1588378245,12,6
1588380755,5,13
1588381889,5,12
1588383262,4,7
1588384485,4,2
1588386859,14,6
1588390460,9,19
1588394061,12,18
1588397658,19,9
1588399942,17,7
1588401258,7,7
1588402913,9,9
1588404857,10,13
1588407174,10,10
1588409423,8,14
1588412060,8,10
1588413656,6,9
1588415120,2,3
1588415662,4,1
1588417251,4,7
1588418663,4,7
1588419259,5,0
1588420939,8,12
1588422858,9,3
1588425474,11,12
1588426456,0,4
1588427808,5,3
1588429397,7,9
1588430056,1,0
1588432697,15,9
1588433661,3,2
1588436055,7,14
1588437524,2,10
1588440326,20,0
1588443193,6,8
1588444684,8,5
1588446288,10,11
1588447543,3,3
1588448059,5,2
1588449232,4,3
1588450492,9,9
1588451660,15,5
1588454298,12,22
1588455263,8,10
1588457724,16,14
1588458860,5,4
1588460354,16,2
1588461624,5,6
1588462459,3,2
1588464956,8,10
1588466058,5,5
1588469661,13,20
1588472208,6,12
1588473995,7,5
1588476324,8,5
1588477824,4,7
1588479441,2,8
1588481420,10,8
1588486065,19,16
1588487659,9,9
1588488909,5,4
1588490719,9,8
1588492217,9,7
1588493874,10,7
1588494858,3,6
1588496106,10,8
1588497920,6,7
1588499420,4,4
1588501098,4,4
1588504357,13,8
1588505507,10,2
1588507638,9,8
1588509257,4,10
1588510892,4,4
1588512318,4,7
1588513819,0,5
1588515548,2,3
1588516458,2,0
1588518127,5,2
1588520063,2,2
1588521287,0,7
1588522743,2,3
1588523662,1,3
1588525254,2,5
1588526420,1,3
1588527259,2,3
1588529929,10,5
1588531621,14,4
1588532746,2,5
1588534459,2,9
1588537200,16,16
1588538548,11,6
1588541659,24,12
1588544270,14,24
1588545861,16,14
1588548217,9,12
1588549820,7,8
1588551401,9,7
1588552460,3,3
1588555519,17,13
1588557022,9,8
1588558853,15,11
1588559659,1,0
1588560763,1,4
1588562722,6,7
1588563263,1,4
1588565057,14,6
1588566328,6,5
1588567494,7,10
1588570458,18,21
1588573308,23,14
1588575021,13,10
1588577659,8,10
1588580543,10,13
1588581260,6,6
1588582525,5,6
1588584306,4,9
1588584861,1,3
1588586556,3,8
1588588459,2,13
1588592059,12,12
1588593571,2,3
1588595004,16,3
1588595664,5,1
1588597060,8,5
1588598420,12,8
1588600166,8,10
1588601423,11,5
1588602727,8,7
1588605114,15,12
1588606459,4,7
1588607620,6,9
1588609473,13,6
1588611023,10,7
1588612847,7,3
1588613660,0,1
1588616537,14,23
1588617874,4,9
1588620321,16,13
1588621522,7,17
1588623311,10,18
1588624462,11,7
1588625785,8,8
1588627517,9,8
1588628059,10,7
1588630523,13,12
1588635259,23,24
1588637385,14,18
1588638857,10,8
1588642471,15,15
1588644147,9,10
1588645399,9,3
1588647018,2,12
1588648696,3,5
1588649665,7,9
1588652388,12,10
1588654222,17,8
1588656321,15,11
1588656859,3,4
1588660461,20,16
1588662966,11,12
1588664059,4,5
1588665296,9,8
1588667121,17,9
1588667658,1,4
1588671262,20,17
1588672856,5,13
1588674321,15,5
1588674860,6,4
1588676079,3,10
1588677399,8,9
1588678606,10,13
1588680583,12,12
1588682062,8,12
1588685662,16,19
1588687121,7,7
1588688720,14,12
1588689261,13,3
1588691788,14,14
1588692859,3,11
1588694781,10,9
1588696461,5,5
1588699156,11,15
1588700058,5,6
1588701321,6,3
1588703120,15,9
1588704622,8,9
1588706718,8,13
1588709973,11,16
1588710862,3,3
1588714459,16,17
1588718058,23,28
1588719683,9,11
1588721660,17,15
1588723147,8,11
1588724494,6,12
1588725259,6,11
1588727860,13,11
1588728864,9,7
1588731921,11,11
1588733423,6,6
1588734845,6,2
1588736062,14,2
1588737404,6,8
1588739663,6,7
1588740880,3,4
1588742218,12,7
1588743276,5,8
1588744543,3,7
1588746320,7,9
1588746858,1,3
1588749462,4,10
1588751423,11,9
1588752547,5,4
1588754055,3,7
1588755655,8,12
1588756969,3,7
1588758559,5,1
1588761261,8,8
1588762663,2,2
1588764321,4,3
1588765819,1,5
1588768460,12,6
1588769835,4,6
1588772063,9,8
1588774299,5,13
1588775657,2,3
1588779262,18,9
1588780964,4,6
1588782857,7,9
1588786460,11,16
1588788727,21,6
1588790061,8,9
1588791791,2,5
1588793660,6,10
1588796722,6,11
1588797954,9,5
1588800864,14,13
1588802756,8,14
1588804602,1,4
1588806742,16,9
1588808062,3,3
1588811659,9,20
1588812860,1,2
1588815260,7,3
1588818325,22,8
1588818862,4,2
1588822463,21,19
1588824482,10,12
1588826731,11,11
1588828132,4,6
1588829237,4,5
1588829661,7,2
1588831330,8,13
1588832440,8,4
1588834079,2,16
1588835868,7,5
1588839297,14,15
1588840464,5,6
1588842624,12,9
1588844061,10,8
1588845322,12,6
1588847660,513,13
1588849477,7,49
1588851258,24,40
1588853057,24,36
1588854321,8,30
1588855458,10,26
1588856810,8,22
1588858460,4,36
1588859589,2,14
1588861521,10,22
1588862060,11,9
1588864390,15,25
1588866621,5,36
1588867999,4,11
1588869261,4,16
1588872319,16,23
1588873667,12,14
1588875739,7,26
1588877422,5,19
1588879365,13,12
1588880057,6,8
1588882108,10,25
1588883658,9,17
1588884770,5,8
1588886110,6,11
1588887259,3,8
1588889070,6,21
1588890860,9,12
1588892494,15,14
1588894455,8,15
1588896473,13,19
1588898053,7,15
1588900630,17,16
1588902622,8,10
1588904725,12,14
1588906222,6,13
1588908860,8,9
1588911921,12,12
1588915039,13,14
1588916057,8,11
1588918222,4,9
1588919656,9,2
1588921002,3,7
1588922721,3,12
1588923260,6,2
1588924923,9,10
1588926860,8,6
1588928275,6,6
1588929700,3,3
1588931214,6,9
1588932621,2,8
1588934251,0,6
1588935528,5,8
1588937121,7,4
1588937658,6,3
1588938944,7,5
1588940382,5,6
1588941263,4,3
1588942757,4,6
1588944180,7,5
1588944860,5,2
1588948458,13,7
1588949982,7,7
1588951189,11,5
1588952061,4,1
1588954755,8,9
1588957368,17,10
1588959259,8,9
1588961990,13,10
1588962857,4,7
1588964607,6,7
1588966458,7,12
1588967814,5,5
1588969517,13,8
1588970056,6,3
1588971874,8,12
1588973657,11,9
1588974900,15,6
1588977259,16,15
1588979150,12,10
1588980858,7,7
1588984458,27,19
1588985992,5,9
1588987518,5,7
1588989020,6,10
1588991662,16,16
1588993257,6,12
1588994720,3,9
1588995258,2,4
1588998859,14,12
1589000838,12,9
1589003114,9,10
1589005519,11,8
1589006058,4,3
1589008063,8,8
1589009658,4,11
1589010772,6,4
1589011906,14,7
1589013477,5,11
1589015097,4,9
1589016857,7,115
1589018261,4,3
1589019390,3,5
1589020459,2,7
1589022499,9,9
1589025020,6,12
1589027658,6,13
1589029728,9,15
1589031260,4,9
1589033377,7,4
1589034637,5,7
1589034858,1,0
1589036956,14,4
1589038456,5,3
1589041519,10,5
1589043021,3,9
1589044181,4,3
1589045655,3,6
1589046910,7,7
1589048718,5,7
1589049260,2,1
1589051419,10,8
1589052859,7,6
1589055896,20,6
1589057421,4,7
1589058673,0,5
1589060060,2,6
1589062556,13,20
1589064620,5,20
1589065898,6,6
1589067258,3,4
1589069756,16,12
1589070859,5,4
1589073147,5,4
1589074456,6,9
1589076120,10,4
1589078057,13,2
1589079191,10,8
1589080389,5,4
1589082624,10,10
1589085260,7,12
1589087612,3,8
1589089821,8,2
1589091918,4,8
1589092456,0,4
1589093803,10,2
1589095518,11,8
1589096057,5,4
1589099658,9,18
1589102090,11,11
1589103258,1,6
1589106170,12,4
1589106857,2,4
1589108838,3,12
1589110457,3,3
1589112437,9,8
1589114786,16,6
1589116524,4,7
1589117657,6,4
1589121257,7,4
1589123760,4,2
1589125819,6,9
1589127794,5,11
1589128459,2,1
1589130056,6,7
1589131517,3,3
1589132759,7,4
1589135118,25,8
1589136622,6,14
1589138265,10,9
1589139258,1,8
1589140438,4,5
1589142330,16,5
1589143818,11,5
1589145500,1,11
1589146458,3,2
1589148949,11,12
1589150059,6,5
1589151308,3,1
1589152729,9,5
1589156721,27,18
1589157258,2,2
1589159648,13,21
1589160985,8,5
1589164460,22,10
1589167173,17,8
1589168062,6,6
1589170062,6,11
1589171659,6,7
1589174224,5,12
1589177574,24,9
1589178861,12,7
1589181626,11,23
1589182459,2,6
1589185524,11,10
1589186061,3,2
1589187703,12,5
1589189689,5,7
1589190866,13,5
1589192719,11,11
