DateTime,AddedIPs,RemovedIPs
1587526463,1,3
1587528653,3,0
1587530060,1,0
1587540275,1,0
1587540862,0,1
1587542918,1,0
1587544463,2,0
1587548908,0,1
1587551661,1,1
1587554004,1,0
1587555265,0,3
1587558866,1,1
1587573618,0,1
1587580460,1,1
1587582471,1,2
1587587659,0,1
1587594047,1,0
1587598463,0,1
1587604649,12,0
1587605663,18,0
1587607996,1,0
1587611278,1,1
1587612865,0,1
1587616462,0,1
1587618803,0,2
1587623661,0,3
1587627260,0,2
1587629029,1,0
1587631820,0,2
1587633271,0,1
1587634472,1,1
1587635626,0,1
1587637523,21,0
1587638064,2,0
1587639874,1,0
1587650437,0,2
1587652461,0,1
1587656061,0,16
1587660620,1,0
1587663664,0,1
1587668393,1,0
1587669760,1,0
1587674061,1,1
1587676126,0,1
1587688459,0,1
1587696623,0,4
1587700221,1,1
1587702322,2,0
1587706464,1,0
1587710063,2,0
1587720322,0,1
1587721526,0,2
1587724463,5,1
1587726957,1,0
1587728053,1,1
1587733352,1,1
1587735264,1,0
1587747635,2,2
1587749116,3,0
1587751500,3,0
1587756260,1,2
1587757825,1,1
1587760462,2,0
1587761840,1,0
1587763523,3,1
1587767033,1,1
1587771257,0,1
1587772631,1,0
1587774323,1,1
1587774861,1,0
1587782060,2,0
1587785124,1,0
1587788723,3,1
1587792860,1,0
1587796459,1,0
1587797727,1,0
1587799523,1,0
1587800058,1,0
1587804620,0,2
1587807262,0,1
1587809617,2,1
1587811650,0,4
1587813920,0,1
1587821122,0,1
1587824571,1,0
1587836063,1,0
1587839394,1,1
1587847440,0,1
1587857661,1,0
1587867359,0,1
1587868464,0,1
1587869875,2,0
1587871522,1,1
1587872979,1,0
1587875662,0,2
1587880219,0,1
1587884333,0,3
1587889034,0,2
1587890060,1,0
1587892693,0,2
1587893661,0,2
1587895059,2,0
1587896418,1,0
1587900319,1,1
1587901617,1,0
1587908062,1,1
1587914128,0,1
1587918324,1,0
1587918858,0,1
1587920638,1,0
1587922460,1,0
1587928520,1,1
1587929659,1,0
1587931115,1,0
1587940463,0,2
1587950333,0,1
1587952974,0,2
1587957924,0,1
1587961522,2,1
1587962628,2,0
1587975121,1,2
1587976461,0,1
1587978096,0,3
1587980803,1,0
1587982197,1,0
1587989175,1,0
1587996680,1,0
1588001660,0,1
1588004374,1,0
1588008862,0,1
1588015040,1,0
1588019664,2,0
1588025822,1,0
1588037659,0,2
1588040723,0,2
1588047543,4,0
1588048463,1,0
1588055660,1,0
1588059261,2,1
1588061661,0,1
1588062931,0,1
1588064365,0,3
1588067033,0,1
1588068393,1,1
1588071557,3,1
1588073032,2,0
1588080860,0,3
1588082243,1,1
1588085335,0,1
1588086812,1,0
1588090934,0,1
1588093423,9,0
1588094724,1,0
1588095923,1,1
1588097040,0,1
1588098857,2,1
1588100197,1,0
1588102465,1,0
1588104650,0,1
