DateTime,AddedIPs,RemovedIPs
1588142648,27,19
1588146494,32,56
1588148405,29,24
1588150328,30,15
1588152255,33,24
1588154164,20,28
1588156086,19,30
1588158016,27,37
1588159930,35,26
1588161862,35,28
1588163768,38,0
1588165697,26,28
1588167627,28,40
1588169534,24,29
1588171460,28,31
1588173377,28,28
1588175300,24,27
1588177208,32,34
1588179143,33,0
1588181051,16,36
1588182969,47,50
1588184889,28,36
1588186817,54,30
1588188742,19,14
1588190655,49,31
1588192571,37,32
1588194502,27,24
1588196411,33,39
1588198338,34,0
1588200265,31,34
1588204098,37,59
1588206020,27,38
1588207931,42,34
1588209852,40,0
1588211772,34,77
1588213700,38,41
1588215626,28,0
1588217580,40,93
1588219467,30,0
1588223311,20,41
1588225212,36,61
1588227134,37,0
1588229060,29,62
1588230974,42,0
1588232897,33,32
1588234810,38,30
1588236734,32,32
1588238656,22,29
1588240569,38,21
1588242487,26,23
1588244433,29,27
1588246333,31,33
1588248504,31,34
1588250419,32,38
1588252335,27,26
1588254260,31,25
1588256418,33,23
1588258330,25,24
1588260253,30,26
1588262176,24,21
1588264087,29,41
1588266031,32,31
1588267934,47,15
1588270106,46,47
1588272023,44,30
1588273934,34,54
1588275860,32,20
1588277778,17,46
1588279697,21,32
1588281607,28,33
1588283535,33,39
1588285466,36,33
1588287413,43,21
1588289288,28,0
1588291229,31,35
1588293213,21,33
1588295303,27,33
1588297213,26,32
1588299146,34,27
1588301050,33,32
1588302974,20,28
1588304895,29,42
1588306827,28,33
1588308739,29,0
1588310652,32,19
1588312567,16,34
1588314497,21,37
1588316662,24,27
1588318594,17,42
1588320503,26,35
1588324332,29,62
1588326252,11,23
1588328177,34,39
1588330098,31,28
1588332017,41,30
1588333933,25,31
1588335858,30,31
1588337770,30,30
1588339686,23,26
1588341632,23,30
1588343657,23,31
1588349311,26,85
1588351221,26,32
1588353137,24,32
1588355057,23,48
1588356972,34,48
1588359133,30,43
1588361050,22,35
1588362978,23,25
1588364889,23,17
1588366830,39,22
1588368748,31,30
1588370655,22,25
1588372581,17,35
1588374500,35,36
1588376413,32,32
1588378347,23,31
1588380250,17,29
1588382167,21,29
1588386010,31,66
1588387941,37,32
1588389860,30,21
1588391769,29,29
1588393692,36,23
1588395624,46,28
1588397618,32,36
1588399465,35,15
1588401371,28,21
1588403315,35,33
1588405211,38,25
1588407137,26,26
1588410973,33,24
1588414821,51,44
1588416730,40,33
1588418662,31,38
1588420568,33,30
1588422495,33,31
1588424424,33,33
1588426337,42,23
1588428255,25,29
1588430185,28,23
1588432107,27,0
1588434013,24,0
1588435948,32,31
1588437854,39,23
1588439765,42,26
1588441700,36,28
1588443609,29,36
1588445534,42,25
1588447460,41,26
1588449370,33,0
1588451290,34,46
1588453229,43,0
1588457063,35,83
1588460907,36,55
1588462819,38,37
1588464740,26,0
1588466648,32,29
1588468572,23,34
1588470491,31,0
1588472422,24,34
1588474333,37,0
1588478177,29,92
1588480094,39,37
1588482013,36,0
1588483947,30,47
1588486114,31,63
1588488014,25,33
1588489942,24,32
1588491850,31,34
1588493775,20,24
1588495698,30,0
1588497608,33,37
1588499528,20,0
1588501462,34,48
1588503368,31,36
1588507225,40,57
1588509238,45,28
1588515133,10,89
1588517057,18,37
1588520890,18,46
1588523772,21,35
1588527609,37,78
1588529530,41,33
1588531454,28,32
1588533363,18,38
1588535284,19,41
1588537214,23,38
1588539130,24,31
1588541053,23,39
1588544885,25,41
1588546825,26,0
1588548736,29,37
1588550909,27,40
1588552808,28,31
1588556655,31,63
1588558564,34,38
1588560483,33,28
1588562412,32,43
1588564325,31,0
1588566256,33,35
1588568163,45,38
1588570084,20,35
1588572018,22,27
1588573933,22,30
1588576106,29,25
1588578030,30,28
1588579947,20,31
1588581848,27,18
1588583770,25,35
1588585687,32,31
1588589530,32,62
1588591449,34,29
1588595286,42,45
1588597212,44,50
