DateTime,Entries,UniqueIPs
1588142648,1526,1657
1588146494,1506,1633
1588148405,1505,1638
1588150328,1521,1653
1588152255,1541,1662
1588154164,1535,1654
1588156086,1525,1643
1588158016,1512,1633
1588159930,1524,1642
1588161862,1533,1649
1588163768,1571,1687
1588165697,1572,1685
1588167627,1562,1673
1588169534,1554,1668
1588171460,1552,1665
1588173377,1551,1665
1588175300,1554,1662
1588177208,1554,1660
1588179143,1584,1693
1588181051,1566,1673
1588182969,1566,1670
1588184889,1559,1662
1588186817,1583,1686
1588188742,1587,1691
1588190655,1606,1709
1588192571,1609,1714
1588194502,1612,1717
1588196411,1606,1711
1588198338,1634,1745
1588200265,1625,1742
1588204098,1610,1720
1588206020,1603,1709
1588207931,1610,1717
1588209852,1644,1757
1588211772,1597,1714
1588213700,1597,1711
1588215626,1618,1739
1588217580,1559,1686
1588219467,1585,1716
1588223311,1564,1695
1588225212,1544,1670
1588227134,1574,1707
1588229060,1548,1674
1588230974,1587,1716
1588232897,1594,1717
1588234810,1604,1725
1588236734,1606,1725
1588238656,1601,1718
1588240569,1611,1735
1588242487,1613,1738
1588244433,1618,1740
1588246333,1613,1738
1588248504,1610,1735
1588250419,1602,1729
1588252335,1605,1730
1588254260,1611,1736
1588256418,1617,1746
1588258330,1617,1747
1588260253,1617,1751
1588262176,1622,1754
1588264087,1612,1742
1588266031,1612,1743
1588267934,1646,1775
1588270106,1644,1774
1588272023,1656,1788
1588273934,1634,1768
1588275860,1644,1780
1588277778,1616,1751
1588279697,1605,1740
1588281607,1599,1735
1588283535,1596,1729
1588285466,1594,1732
1588287413,1617,1754
1588289288,1643,1782
1588291229,1641,1778
1588293213,1631,1766
1588295303,1620,1760
1588297213,1617,1754
1588299146,1626,1761
1588301050,1622,1762
1588302974,1615,1754
1588304895,1605,1741
1588306827,1601,1736
1588308739,1627,1765
1588310652,1640,1778
1588312567,1621,1760
1588314497,1607,1744
1588316662,1605,1741
1588318594,1578,1716
1588320503,1575,1707
1588324332,1545,1674
1588326252,1531,1662
1588328177,1533,1657
1588330098,1536,1660
1588332017,1551,1671
1588333933,1548,1665
1588335858,1547,1664
1588337770,1547,1664
1588339686,1543,1661
1588341632,1536,1654
1588343657,1534,1646
1588349311,1481,1587
1588351221,1474,1581
1588353137,1464,1573
1588355057,1437,1548
1588356972,1423,1534
1588359133,1409,1521
1588361050,1401,1508
1588362978,1403,1506
1588364889,1411,1512
1588366830,1428,1529
1588368748,1428,1530
1588370655,1423,1527
1588372581,1407,1509
1588374500,1406,1508
1588376413,1407,1508
1588378347,1399,1500
1588380250,1388,1488
1588382167,1379,1480
1588386010,1345,1445
1588387941,1353,1450
1588389860,1360,1459
1588391769,1361,1459
1588393692,1372,1472
1588395624,1391,1490
1588397618,1392,1486
1588399465,1407,1506
1588401371,1410,1513
1588403315,1415,1515
1588405211,1426,1528
1588407137,1429,1528
1588410973,1439,1537
1588414821,1447,1544
1588416730,1452,1551
1588418662,1447,1544
1588420568,1449,1547
1588422495,1454,1549
1588424424,1450,1549
1588426337,1475,1568
1588428255,1470,1564
1588430185,1475,1569
1588432107,1497,1596
1588434013,1515,1620
1588435948,1519,1621
1588437854,1524,1637
1588439765,1543,1653
1588441700,1548,1661
1588443609,1542,1654
1588445534,1561,1671
1588447460,1572,1686
1588449370,1605,1719
1588451290,1592,1707
1588453229,1635,1750
1588457063,1594,1702
1588460907,1578,1683
1588462819,1583,1684
1588464740,1603,1710
1588466648,1605,1713
1588468572,1596,1702
1588470491,1622,1733
1588472422,1615,1723
1588474333,1650,1760
1588478177,1589,1697
1588480094,1590,1699
1588482013,1625,1735
1588483947,1607,1718
1588486114,1575,1686
1588488014,1570,1678
1588489942,1560,1670
1588491850,1557,1667
1588493775,1555,1663
1588495698,1579,1693
1588497608,1572,1689
1588499528,1587,1709
1588501462,1567,1695
1588503368,1560,1690
1588507225,1550,1673
1588509238,1564,1690
1588515133,1493,1611
1588517057,1480,1592
1588520890,1466,1564
1588523772,1453,1550
1588527609,1418,1509
1588529530,1417,1517
1588531454,1410,1513
1588533363,1392,1493
1588535284,1371,1471
1588537214,1360,1456
1588539130,1353,1449
1588541053,1338,1433
1588544885,1323,1417
1588546825,1347,1443
1588548736,1339,1435
1588550909,1323,1422
1588552808,1318,1419
1588556655,1292,1387
1588558564,1290,1383
1588560483,1289,1388
1588562412,1278,1377
1588564325,1303,1408
1588566256,1299,1406
1588568163,1299,1413
1588570084,1283,1398
1588572018,1281,1393
1588573933,1269,1385
1588576106,1272,1389
1588578030,1276,1391
1588579947,1272,1380
1588581848,1280,1389
1588583770,1265,1379
1588585687,1271,1380
1588589530,1245,1350
1588591449,1248,1355
1588595286,1244,1352
1588597212,1235,1346
1588599144,1269,1381
1588601056,1309,1422
1588602975,1336,1449
1588604906,1363,1476
1588607055,1374,1492
1588608968,1391,1507
1588610894,1397,1514
1588612804,1439,1559
1588614727,1445,1565
1588616656,1439,1556
1588618615,1457,1571
1588620486,1461,1579
1588622424,1478,1600
1588624334,1491,1608
1588626255,1500,1617
1588628177,1525,1642
1588630099,1561,1678
1588632008,1579,1696
1588633940,1589,1702
1588635848,1591,1706
1588637765,1599,1714
1588639695,1603,1718
1588641605,1632,1751
1588643526,1654,1773
1588645455,1665,1784
1588647372,1677,1793
1588649285,1675,1797
1588653132,1657,1770
1588655053,1641,1754
1588656982,1655,1768
1588658895,1661,1776
1588660816,1664,1776
1588662759,1658,1768
1588664664,1652,1764
1588666565,1660,1766
1588668487,1668,1776
1588670413,1689,1796
1588672327,1695,1796
1588676169,1707,1803
1588678091,1700,1798
1588680014,1738,1839
1588681934,1743,1844
1588684097,1730,1826
1588686013,1746,1837
1588687929,1720,1810
1588689850,1709,1797
1588691773,1696,1776
1588693688,1700,1777
1588697529,1685,1761
1588699452,1670,1744
1588701372,1662,1735
1588703288,1661,1742
1588705224,1644,1725
1588707140,1645,1723
1588709053,1631,1707
1588710981,1638,1714
1588714812,1605,1679
1588716739,1595,1670
1588718646,1588,1663
1588720825,1583,1660
1588722728,1609,1682
1588724658,1596,1674
1588726567,1591,1667
1588728492,1588,1662
1588730411,1557,1628
1588732333,1544,1615
1588736168,1504,1576
1588738093,1529,1608
1588740017,1528,1606
1588741930,1518,1598
1588743855,1509,1588
1588745764,1499,1577
1588747685,1505,1589
1588749615,1498,1582
1588751530,1486,1568
1588753454,1481,1563
1588755374,1476,1556
1588757285,1460,1544
1588759255,1440,1530
1588761140,1463,1554
1588763058,1450,1541
1588764967,1455,1543
1588768834,1409,1498
1588770733,1418,1508
1588774807,1378,1470
1588776729,1381,1475
1588778660,1375,1465
1588780569,1424,1514
1588782485,1454,1545
1588784418,1453,1544
1588786337,1463,1552
1588788256,1473,1563
1588790178,1465,1554
1588792094,1458,1548
1588794014,1452,1547
1588795939,1447,1540
1588797850,1443,1535
1588799765,1480,1575
1588801696,1471,1573
1588803611,1480,1577
1588805535,1494,1589
1588809367,1475,1563
1588811285,1473,1564
1588813220,1500,1592
1588815133,1508,1598
1588817054,1504,1601
1588818979,1512,1608
1588820893,1539,1637
1588822812,1544,1638
1588824739,1538,1632
1588826647,1536,1627
1588828567,1548,1633
1588830494,1547,1631
1588832407,1538,1623
1588834327,1545,1625
1588836257,1537,1616
1588838167,1554,1633
1588842252,1561,1638
1588844178,1558,1633
1588846093,1563,1636
1588848014,1578,1651
1588849942,1592,1673
1588851848,1600,1680
1588853775,1643,1724
1588857607,1605,1681
1588859528,1628,1704
1588861456,1638,1712
1588863366,1655,1733
1588865286,1660,1734
1588869133,1612,1686
1588871299,1600,1674
1588873214,1609,1686
1588875137,1609,1686
1588877046,1617,1699
1588878967,1636,1720
1588880894,1642,1726
1588884726,1646,1732
1588886655,1639,1722
1588888563,1652,1728
1588890735,1671,1743
1588892651,1660,1728
1588894580,1683,1752
1588896500,1663,1731
1588898414,1667,1735
1588902248,1637,1693
1588904165,1650,1707
1588906089,1660,1714
1588908017,1686,1740
1588911851,1656,1714
1588913773,1652,1708
1588915684,1656,1713
1588917622,1655,1713
1588920485,1659,1724
1588922416,1662,1726
1588924377,1690,1757
1588926247,1665,1733
1588928165,1707,1778
1588930083,1694,1772
1588932004,1703,1783
1588933939,1702,1790
1588935859,1703,1791
1588937765,1705,1791
1588939707,1702,1785
1588941607,1701,1784
1588943530,1730,1815
1588945456,1731,1814
1588947368,1744,1827
1588949532,1762,1845
1588951451,1745,1831
1588953373,1760,1848
1588955285,1788,1877
1588957207,1786,1878
1588959140,1774,1871
1588961055,1772,1871
1588962980,1765,1866
1588964900,1773,1872
1588966809,1762,1862
1588970650,1772,1872
1588972565,1766,1862
1588974494,1784,1880
1588976405,1778,1875
1588978328,1775,1875
1588980255,1776,1876
1588982163,1806,1908
1588984084,1814,1916
1588986021,1834,1928
1588987935,1882,1976
1588989850,1905,1992
1588991776,1906,1992
1588993701,1910,1996
1588995606,1892,1978
1588997544,1922,2013
1588999455,1932,2018
1589001613,1928,2014
1589003528,1934,2020
1589005456,1932,2019
1589007369,1927,2015
1589009331,1923,2011
1589011222,1918,2006
1589013131,1927,2016
1589015051,1919,2009
1589016983,1936,2024
1589018902,1934,2027
1589026582,1822,1913
1589028495,1828,1917
1589030406,1819,1908
1589032330,1826,1906
1589034258,1803,1885
1589036166,1784,1866
1589038137,1793,1872
1589040026,1787,1874
1589041933,1790,1882
1589044101,1782,1878
1589047933,1749,1841
1589049854,1755,1850
1589051770,1755,1852
1589053695,1756,1851
1589055615,1791,1886
1589057526,1796,1889
1589059451,1795,1885
1589061378,1784,1875
1589063287,1785,1875
1589065209,1778,1865
1589067142,1774,1860
1589069312,1748,1839
1589071206,1757,1848
1589073128,1739,1833
1589075063,1721,1816
1589076968,1685,1790
1589078884,1674,1778
1589080814,1662,1768
1589082734,1673,1783
1589084649,1666,1778
