DateTime,AddedIPs,RemovedIPs
1588142648,56,58
1588146494,49,52
1588148405,40,52
1588150328,54,40
1588152255,45,51
1588154164,44,46
1588156086,41,43
1588158016,48,41
1588159930,60,46
1588161862,54,62
1588163768,56,55
1588165697,51,55
1588167627,52,49
1588169534,42,53
1588171460,50,44
1588173377,64,47
1588175300,46,68
1588177208,61,44
1588179143,62,61
1588181051,32,65
1588182969,68,32
1588184889,51,67
1588186817,73,51
1588188742,36,74
1588190655,72,34
1588192571,60,68
1588194502,55,59
1588196411,66,55
1588198338,57,68
1588200265,55,61
1588204098,64,51
1588206020,54,62
1588207931,61,56
1588209852,67,63
1588211772,60,62
1588213700,65,63
1588215626,63,66
1588217580,77,63
1588219467,63,78
1588223311,48,61
1588225212,59,46
1588227134,70,65
1588229060,48,69
1588230974,71,50
1588232897,59,64
1588234810,60,63
1588236734,57,60
1588238656,45,58
1588240569,62,43
1588242487,51,65
1588244433,58,51
1588246333,51,56
1588248504,56,50
1588250419,45,55
1588252335,53,47
1588254260,57,53
1588256418,63,58
1588258330,56,60
1588260253,63,58
1588262176,47,64
1588264087,59,45
1588266031,59,63
1588267934,65,55
1588270106,72,69
1588272023,63,68
1588273934,69,64
1588275860,60,70
1588277778,39,54
1588279697,47,36
1588281607,50,49
1588283535,52,52
1588285466,63,55
1588287413,66,62
1588289288,51,64
1588291229,55,52
1588293213,46,51
1588295303,57,51
1588297213,56,53
1588299146,68,61
1588301050,62,65
1588302974,55,65
1588304895,58,50
1588306827,52,59
1588308739,56,56
1588310652,62,58
1588312567,57,62
1588314497,41,52
1588316662,67,43
1588318594,46,63
1588320503,49,50
1588324332,54,50
1588326252,28,54
1588328177,63,28
1588330098,56,61
1588332017,61,57
1588333933,59,59
1588335858,61,64
1588337770,57,57
1588339686,57,60
1588341632,57,57
1588343657,46,54
1588349311,56,45
1588351221,44,59
1588353137,51,42
1588355057,59,53
1588356972,66,61
1588359133,49,60
1588361050,50,54
1588362978,45,50
1588364889,49,46
1588366830,63,46
1588368748,55,65
1588370655,41,55
1588372581,43,41
1588374500,54,44
1588376413,52,52
1588378347,51,53
1588380250,39,50
1588382167,42,38
1588386010,52,41
1588387941,68,55
1588389860,55,66
1588391769,53,56
1588393692,64,56
1588395624,69,61
1588397618,60,66
1588399465,59,59
1588401371,60,59
1588403315,58,63
1588405211,61,61
1588407137,38,61
1588410973,62,40
1588414821,71,61
1588416730,60,69
1588418662,55,63
1588420568,66,51
1588422495,60,65
1588424424,54,61
1588426337,61,56
1588428255,58,60
1588430185,54,55
1588432107,48,59
1588434013,53,44
1588435948,65,53
1588437854,57,66
1588439765,65,57
1588441700,61,65
1588443609,65,62
1588445534,67,63
1588447460,64,68
1588449370,65,67
1588451290,65,63
1588453229,74,66
1588457063,61,72
1588460907,68,61
1588462819,66,66
1588464740,55,66
1588466648,64,59
1588468572,50,57
1588470491,60,57
1588472422,56,60
1588474333,67,56
1588478177,64,67
1588480094,63,62
1588482013,68,66
1588483947,65,68
1588486114,59,58
1588488014,59,63
1588489942,53,60
1588491850,60,56
1588493775,35,59
1588495698,67,34
1588497608,56,65
1588499528,57,54
1588501462,60,58
1588503368,60,61
1588507225,62,63
1588509238,73,62
1588515133,20,71
1588517057,37,24
1588520890,32,36
1588523772,47,31
1588527609,56,44
1588529530,61,54
1588531454,48,65
1588533363,52,45
1588535284,37,53
1588537214,50,37
1588539130,43,44
1588541053,46,52
1588544885,49,44
1588546825,45,50
1588548736,47,44
1588550909,45,49
1588552808,50,40
1588556655,63,55
1588558564,59,58
1588560483,64,61
1588562412,59,64
1588564325,59,58
1588566256,60,59
1588568163,70,61
1588570084,40,73
1588572018,43,39
1588573933,53,42
1588576106,62,53
1588578030,49,62
1588579947,36,51
1588581848,62,36
1588583770,59,58
1588585687,60,61
1588589530,60,61
1588591449,64,60
1588595286,66,64
1588597212,63,69
1588599144,58,59
1588601056,58,59
1588602975,54,59
1588604906,70,52
1588607055,38,69
1588608968,55,37
1588610894,56,57
1588612804,65,55
1588614727,65,65
1588616656,53,63
1588618615,64,53
1588620486,59,67
1588622424,57,58
1588624334,39,60
1588626255,51,34
1588628177,60,51
1588630099,56,61
1588632008,65,57
1588633940,67,63
1588635848,48,69
1588637765,56,48
1588639695,63,55
1588641605,61,66
1588643526,73,60
1588645455,67,75
1588647372,65,65
1588649285,61,65
1588653132,62,59
1588655053,58,66
1588656982,59,55
1588658895,65,59
1588660816,39,66
1588662759,60,39
1588664664,56,61
1588666565,48,58
1588668487,66,48
1588670413,72,61
1588672327,53,72
1588676169,63,55
1588678091,51,64
1588680014,65,50
1588681934,62,64
1588684097,47,61
1588686013,70,50
1588687929,27,70
1588689850,35,28
1588691773,49,36
1588693688,28,50
1588697529,75,27
1588699452,40,73
1588701372,50,36
1588703288,50,51
1588705224,46,53
1588707140,43,40
1588709053,43,47
1588710981,46,41
1588714812,57,49
1588716739,50,58
1588718646,45,51
1588720825,60,45
1588722728,64,59
1588724658,53,61
1588726567,55,56
1588728492,49,52
1588730411,47,52
1588732333,50,45
1588736168,51,49
1588738093,60,54
1588740017,69,61
1588741930,53,71
1588743855,46,51
1588745764,49,45
1588747685,52,49
1588749615,51,51
1588751530,44,48
1588753454,40,48
1588755374,49,42
1588757285,40,43
1588759255,53,43
1588761140,44,50
1588763058,54,48
1588764967,58,47
1588768834,58,62
1588770733,69,57
1588774807,35,73
1588776729,38,37
1588778660,33,38
1588780569,78,34
1588782485,60,76
1588784418,72,60
1588786337,49,71
1588788256,60,47
1588790178,27,59
1588792094,36,27
1588794014,49,38
1588795939,37,46
1588797850,58,39
1588799765,61,59
1588801696,62,62
1588803611,60,58
1588805535,62,63
1588809367,62,63
1588811285,65,64
1588813220,74,64
1588815133,66,70
1588817054,62,66
1588818979,66,61
1588820893,53,69
1588822812,55,49
1588824739,55,57
1588826647,60,57
1588828567,44,57
1588830494,44,48
1588832407,52,43
1588834327,49,50
1588836257,31,49
1588838167,62,31
1588842252,52,63
1588844178,39,54
1588846093,52,38
1588848014,63,53
1588849942,62,62
1588851848,58,63
1588853775,66,58
1588857607,54,65
1588859528,49,49
1588861456,53,51
1588863366,72,58
1588865286,43,72
1588869133,59,42
1588871299,64,60
1588873214,61,60
1588875137,59,61
1588877046,56,62
1588878967,69,56
1588880894,67,68
1588884726,75,68
1588886655,57,75
1588888563,64,55
1588890735,72,66
1588892651,54,69
1588894580,46,55
1588896500,50,43
1588898414,61,51
1588902248,75,68
1588904165,68,71
1588906089,70,69
1588908017,68,68
1588911851,62,65
1588913773,55,62
1588915684,63,56
1588917622,58,64
1588920485,71,59
1588922416,56,75
1588924377,61,55
1588926247,31,62
1588928165,70,32
1588930083,61,66
1588932004,56,59
1588933939,68,59
1588935859,62,66
1588937765,62,62
1588939707,62,64
1588941607,63,60
1588943530,55,61
1588945456,65,61
1588947368,54,61
1588949532,63,57
1588951451,62,62
1588953373,63,61
1588955285,51,61
1588957207,64,52
1588959140,54,66
1588961055,63,55
1588962980,56,60
1588964900,58,57
1588966809,57,56
1588970650,74,62
1588972565,64,73
1588974494,72,64
1588976405,63,71
1588978328,65,64
1588980255,64,66
1588982163,75,61
1588984084,65,74
1588986021,70,65
1588987935,67,71
1588989850,68,69
1588991776,64,67
1588993701,80,66
1588995606,57,76
1588997544,57,55
1588999455,63,59
1589001613,48,63
1589003528,65,48
1589005456,56,67
1589007369,55,50
1589009331,52,61
1589011222,68,51
1589013131,55,69
1589015051,59,55
1589016983,71,57
1589018902,68,75
1589026582,68,68
1589028495,65,68
1589030406,62,65
1589032330,59,61
1589034258,26,59
1589036166,40,28
1589038137,68,37
1589040026,63,65
1589041933,52,62
1589044101,64,53
1589047933,62,65
1589049854,62,62
1589051770,59,63
1589053695,58,61
1589055615,66,58
1589057526,67,63
1589059451,69,70
1589061378,63,69
1589063287,68,60
1589065209,72,68
1589067142,63,76
1589069312,73,61
1589071206,68,72
1589073128,63,66
1589075063,60,64
1589076968,50,59
1589078884,61,54
1589080814,63,59
1589082734,71,61
1589084649,56,71
1589086576,71,56
1589088486,53,70
1589090404,73,56
1589093297,68,75
1589095225,67,65
1589097127,64,66
1589099048,59,69
1589100984,61,58
1589103157,58,55
1589105051,61,57
1589106977,54,64
1589108904,67,55
1589110821,55,67
1589112742,61,54
1589114671,46,60
1589116569,70,53
1589118497,62,68
1589120407,30,62
1589124250,67,30
1589126173,50,63
1589128084,60,51
1589130029,51,60
1589131936,58,49
1589134102,60,63
1589136024,62,57
1589137934,63,65
1589139851,59,63
1589141771,61,57
1589143686,56,59
1589145618,60,51
1589147530,68,63
1589149457,50,68
1589151366,60,55
1589153289,57,59
1589155219,65,59
1589157132,64,63
1589159296,73,65
1589161455,66,73
1589163370,64,64
1589167207,52,64
1589169127,47,50
1589171058,65,50
1589172965,41,62
1589174885,56,39
1589176827,56,61
1589179693,64,57
1589181608,63,62
1589183527,63,64
1589185452,38,63
1589187363,64,40
1589189293,55,59
1589191207,65,58
