DateTime,AddedIPs,RemovedIPs
1587531842,76,75
1587533762,73,78
1587537606,80,59
1587539763,1,0
1587541682,95,56
1587547441,105,57
1587549362,92,69
1587553204,66,63
1587555122,66,1986
1587557042,1933,0
1587558962,61,63
1587562802,88,72
1587566642,83,86
1587570483,79,78
1587574322,85,88
1587578161,89,85
1587582006,96,69
1587583922,100,80
1587589922,132,179
1587595681,66,121
1587599521,87,111
1587603362,54,96
1587607205,64,89
1587609122,61,1670
1587611282,1728,94
1587613202,175,226
1587617042,71,77
1587620882,78,62
1587624722,66,69
1587628562,76,59
1587632404,109,52
1587634322,0,4073
1587636483,4129,26
1587638401,66,54
1587642242,61,61
1587646323,94,88
1587650405,88,77
1587654244,69,78
1587656163,74,61
1587660002,89,66
1587661923,87,62
1587667682,69,90
1587671522,96,76
1587675363,72,96
1587683042,140,255
1587686882,71,78
1587692644,61,72
1587696483,74,100
1587700323,75,92
1587702242,73,92
1587708004,73,75
1587709922,70,522
1587711858,464,0
1587713762,87,48
1587719524,93,69
1587721442,83,39
1587723363,65,65
1587729122,76,69
1587732963,82,58
1587735124,48,2763
1587737282,2725,0
1587739202,99,59
1587743042,72,83
1587744962,89,78
1587750722,78,89
1587752642,132,134
1587754562,130,80
1587756482,79,77
1587760322,67,655
1587762241,572,0
1587764163,73,97
1587768003,59,109
1587771842,82,98
1587775922,50,88
1587777842,68,80
1587781682,66,105
1587785522,14,5026
1587787442,5005,0
1587789362,70,76
1587791282,66,73
1587797043,66,41
1587800882,59,48
1587804722,76,47
1587808562,91,61
1587812405,74,58
1587814322,23,4387
1587816242,4370,0
1587818162,68,64
1587822002,81,73
1587825842,74,74
1587827763,74,65
1587829682,65,74
1587831603,74,65
1587833522,93,70
1587837363,86,71
1587839283,76,78
1587843123,77,83
1587846964,87,82
1587850803,65,85
1587854643,56,106
1587858485,82,114
1587862323,54,79
1587866165,70,80
1587870004,57,88
1587871922,63,1232
1587874082,1152,0
1587876002,77,75
1587881764,115,114
1587887522,70,49
1587891362,83,46
1587893524,34,3720
1587895442,3708,0
1587897363,77,61
1587901202,77,59
1587905044,72,71
1587909122,77,63
1587913209,73,71
1587915122,74,67
1587918962,79,68
1587920882,77,57
1587926882,83,72
1587930722,89,72
1587934810,80,100
1587936722,68,104
1587940562,73,115
1587944402,85,110
1587948482,52,90
1587950402,59,65
1587958086,120,162
1587961922,24,4471
1587963841,4441,0
1587966003,65,60
1587970322,74,48
1587974162,96,59
1587978008,96,64
1587980001,83,47
1587983762,79,65
1587987602,74,63
1587991442,69,64
1587993362,64,69
1587995282,119,104
1587999122,77,81
1588002962,89,68
1588006804,96,77
1588010648,103,89
1588012562,88,84
1588016402,83,82
1588020243,76,99
1588024082,70,102
1588026002,102,70
1588027923,117,209
1588031762,84,98
1588035603,48,94
1588037522,78,74
1588041362,76,88
1588043282,65,97
1588049052,71,72
1588054802,65,58
1588056722,76,56
1588060563,76,41
1588066322,96,63
1588068241,80,59
1588072082,76,64
1588074002,82,65
1588077843,93,78
1588081682,101,82
1588083842,75,86
1588087922,20,5459
1588090083,5459,0
1588092003,89,75
1588093923,83,93
1588097761,96,74
1588101601,85,84
1588107362,79,93
1588111208,67,101
1588113180,21,3842
1588115042,3762,0
1588116962,73,118
1588121042,46,95
1588124882,79,65
1588128722,76,95
1588132562,75,108
1588136403,76,73
1588138322,20,4186
1588140242,4166,0
1588142162,64,55
1588146002,81,58
1588149842,98,62
1588153922,76,66
1588157762,81,61
1588161604,86,67
1588163524,89,81
1588165442,88,73
1588171203,84,72
1588175283,82,70
1588179123,77,67
1588181042,68,85
1588182963,85,68
1588184882,68,85
1588186805,77,113
1588188723,88,87
1588192562,90,79
1588196402,76,94
1588198325,68,111
1588204082,94,119
1588207922,52,102
1588211762,77,82
1588213683,65,102
1588217567,36,4086
1588219446,4129,58
1588221363,65,72
1588225204,66,71
1588229043,86,53
1588232883,84,52
1588234802,101,56
1588240563,92,66
1588244411,90,63
1588246322,62,293
1588248483,297,58
1588254242,84,69
1588258322,92,83
1588262163,86,92
1588266009,92,80
1588270082,86,84
1588272003,87,80
1588273922,81,84
1588279682,85,93
1588285452,73,101
1588287363,53,104
1588291207,132,102
1588295283,62,95
1588297202,95,62
1588299123,166,164
1588301042,83,98
1588304881,79,95
1588310643,65,82
1588312562,72,70
1588316642,66,59
1588318562,66,52
1588322403,129,62
1588324322,480,514
1588326242,514,480
1588328162,84,44
1588330083,96,66
1588333923,80,72
1588337764,87,75
1588341610,96,64
1588343635,94,79
1588347362,85,90
1588351202,78,71
1588353122,79,81
1588359122,82,65
1588362962,78,91
1588366806,78,85
1588370642,78,98
1588374482,83,100
1588376402,84,115
1588380242,55,105
1588384081,70,88
1588386002,81,97
1588391762,87,96
1588397606,114,149
1588399441,62,54
1588407123,93,59
1588409043,79,58
1588412882,78,55
1588416722,86,60
1588420562,89,74
1588424406,102,74
1588426322,83,73
1588430164,81,72
1588434002,79,69
1588437843,79,75
1588441683,88,73
1588445524,78,74
1588449363,85,83
1588453206,74,93
1588455121,0,2085
