DateTime,AddedIPs,RemovedIPs
1588798805,74,79
1588798921,12,0
1588800196,60,0
1588800722,8,0
1588801322,34,0
1588802882,78,92
1588803721,7,0
1588804381,19,0
1588804921,1,0
1588805521,19,0
1588806121,14,0
1588806723,137,175
1588807322,6,0
1588808521,4,0
1588809121,58,0
1588809721,9,0
1588810922,18,0
1588812122,14,0
1588812482,48,77
1588813321,5,0
1588813921,1,1
1588814521,13,1
1588815722,47,0
1588816322,54,71
1588816921,2,0
1588817521,8,0
1588818121,5,0
1588819321,29,1
1588819921,1,0
1588821121,6,0
1588821721,19,0
1588822082,59,85
1588822922,9,0
1588824005,81,92
1588824121,28,0
1588825321,6,0
1588825923,30,1414
1588826522,5,0
1588828083,1393,0
1588828322,29,0
1588829582,4,0
1588830002,66,61
1588830122,38,0
1588830721,8,0
1588831321,2,0
1588832521,4,0
1588833842,62,50
1588834922,27,0
1588836122,20,0
1588837321,12,1
1588837682,67,51
1588837921,5,0
1588838521,4,0
1588839721,26,0
1588840921,28,0
1588841522,88,50
1588842121,53,0
1588842722,9,0
1588843321,1,0
1588843982,44,0
1588844521,14,0
1588845121,2,0
1588845362,73,48
1588845721,63,1
1588846322,3,0
1588846921,11,0
1588847521,3,0
1588848121,17,0
1588849205,71,53
1588849321,5,0
1588850521,26,0
1588851182,1,0
1588851721,7,0
1588852321,1,0
1588853282,66,63
1588853522,7,0
1588854122,4,0
1588854721,32,0
1588855202,62,55
1588855322,27,0
1588857722,27,0
1588859042,93,46
1588859326,1238,266
1588859521,36,0
1588860121,1,1
1588860721,1,0
1588861321,45,0
1588861921,4,0
1588863122,112,59
1588863721,1,0
1588864921,23,0
1588865522,1,0
1588866121,1,0
1588866962,64,55
1588867332,16,1
1588867921,1,0
1588868882,71,72
1588869181,1,0
1588869721,5,0
1588870321,11,0
1588871266,41,0
1588872122,4,0
1588872722,70,473
1588873322,21,0
1588874882,412,0
1588875722,6,0
1588876801,73,70
1588876921,7,0
1588877521,6,0
1588878121,1,0
1588880642,91,63
1588881721,14,0
1588882561,49,68
1588882922,12,0
1588883521,1,0
1588884122,16,0
1588884722,1,0
1588885322,12,0
1588886521,4,0
1588887721,33,1
1588888921,34,0
1588890242,63,88
1588891321,1,0
1588892162,51,78
1588892522,37,0
1588893721,13,0
1588894921,17,0
1588896010,48,95
1588896121,15,1
1588897321,2,1
1588897922,47,75
1588898521,3,0
1588899721,27,0
1588901762,60,68
1588902122,16,0
1588902721,8,1
1588903321,11,0
1588904522,45,1
1588905602,56,81
1588905721,5,0
1588906889,3,0
1588908121,4,0
1588909321,10,0
1588910521,36,0
1588911362,61,77
1588911722,4,0
1588912922,36,0
1588913281,48,73
1588914121,5,0
1588915321,46,0
1588916522,3,0
1588917122,62,49
1588917721,22,0
1588918921,59,0
1588920122,23,0
1588920968,33,49
1588921322,65,0
1588922521,4,0
1588923721,4,0
1588924805,31,38
1588924922,42,0
1588926122,2,0
1588926805,23,41
1588927321,63,0
1588927921,23,0
1588929122,5,0
1588929721,56,0
1588930321,3,0
1588930381,1,0
1588930802,27,29
1588930921,9,0
1588931521,5,0
1588932121,30,0
1588933321,7,1
1588934642,55,33
