DateTime,AddedIPs,RemovedIPs
1588734122,20,0
1588735322,8,0
1588737121,20,1
1588737721,18,0
1588738922,16,0
1588740122,11,1
1588741321,10,0
1588742522,8,0
1588743121,12,0
1588743721,40,0
1588744922,10,0
1588745521,17,0
1588746122,59,0
1588747321,16,0
1588747922,4,0
1588749121,8,0
1588751521,63,0
1588752122,31,0
1588753321,8,0
1588754522,12,0
1588755121,50,0
1588756321,1,0
1588756921,10,0
1588757521,2,0
1588758121,39,0
1588759321,17,0
1588759921,0,1
1588760521,11,0
1588761721,9,0
1588762922,12,0
1588764122,2,0
1588765321,4,0
1588765922,15,0
1588766522,7,0
1588767722,24,1
1588768322,3,0
1588768921,14,0
1588769521,25,0
1588770722,7,1
1588771321,21,0
1588772200,1843,290
1588772522,5,0
1588773122,21,0
1588773721,70,0
1588774321,7,0
1588774921,0,1
1588775582,9,0
1588776122,29,0
1588777321,1,0
1588778521,22,0
1588779121,5,0
1588779721,3,0
1588780921,38,1
1588781522,27,0
1588782121,7,0
1588782721,35,0
1588783321,12,1
1588783922,6,0
1588784521,13,0
1588785721,10,1
1588786922,7,0
1588788121,45,0
1588789321,13,0
1588789981,39,0
1588790522,2,0
1588791122,59,0
1588792921,25,0
1588793521,1,0
1588794121,2,0
1588795321,5,0
1588796521,8,0
1588797722,10,0
1588798321,1,0
1588798921,12,0
1588800121,60,0
1588800722,8,0
1588801322,34,0
1588802521,3,0
1588803721,7,0
1588804381,19,0
1588804921,1,0
1588805521,19,0
1588806121,14,0
1588806722,25,0
1588807322,6,0
1588808521,4,0
1588809121,58,0
1588809721,9,0
1588810922,18,0
1588812122,14,0
1588813321,5,0
1588813921,1,1
1588814521,13,1
1588815722,47,0
1588816321,1,0
1588816921,2,0
1588817521,7,0
1588818121,5,0
1588819321,29,1
1588819921,1,0
1588821121,6,0
1588821721,19,0
1588822922,9,0
1588824121,28,0
1588825321,6,0
1588826522,5,0
1588827722,6,0
1588828322,29,0
1588829582,4,0
1588830122,38,0
1588830721,8,0
1588831321,2,0
1588832521,4,0
1588834922,27,0
1588836122,20,0
1588837321,12,1
1588837921,5,0
1588838521,4,0
1588839721,26,0
1588840921,28,0
1588842121,53,0
1588842722,9,0
1588843321,1,0
1588843982,44,0
1588844521,14,0
1588845121,2,0
1588845721,63,1
1588846322,3,0
1588846921,11,0
1588847521,3,0
1588848121,17,0
1588849321,5,0
1588850521,26,0
1588851182,1,0
1588851721,7,0
1588852321,1,0
1588853522,7,0
1588854122,4,0
1588854721,32,0
1588855322,27,0
1588857722,27,0
1588858922,22,0
1588859326,1238,266
1588859521,36,0
1588860121,0,1
1588860721,1,0
1588861321,45,0
1588861921,4,0
1588863122,44,0
1588863721,1,0
1588864921,23,0
1588865522,1,0
1588866121,1,0
1588867321,16,1
1588867921,1,0
1588869181,1,0
1588869721,5,0
1588870321,11,0
1588870921,41,0
1588872122,4,0
1588872722,1,0
1588873322,21,0
1588873921,6,0
1588875722,6,0
1588876921,7,0
1588877521,6,0
1588878121,1,0
1588880521,5,0
1588881721,14,0
1588882922,12,0
1588883521,1,0
1588884122,16,0
1588884722,1,0
1588885322,12,0
1588886521,4,0
1588887721,33,1
1588888921,34,0
1588890122,11,0
1588891321,1,0
1588892522,37,0
1588893721,13,0
1588894921,17,0
1588896121,15,1
1588897321,2,1
1588898521,3,0
1588899721,27,0
1588901581,2,0
1588902122,16,0
1588902721,8,1
1588903321,11,0
1588904522,45,1
1588905721,5,0
1588906322,3,0
1588908121,4,0
1588909321,10,0
1588910521,36,0
1588911722,4,0
1588912922,36,0
1588914121,5,0
1588915321,46,0
1588916522,3,0
1588917721,22,0
1588918921,59,0
1588920122,23,0
1588920721,40,0
1588921322,25,0
1588922521,4,0
1588923721,4,0
1588924922,42,0
1588926122,2,0
1588927321,63,0
1588927921,23,0
1588929122,5,0
1588929721,56,0
1588930321,3,0
1588930381,1,0
1588930921,9,0
1588931521,5,0
1588932121,30,0
1588933321,7,1
1588934521,27,0
1588935121,30,0
1588935721,4,0
1588936922,5,0
1588938722,3,0
1588939321,90,0
1588940521,1,0
1588941121,13,0
1588941721,20,0
1588942922,21,0
1588944121,10,0
1588944721,3,0
1588945321,9,0
1588946445,1404,326
1588946522,10,1
1588947722,33,0
1588948921,8,0
1588950121,3,0
1588950721,28,0
1588951321,11,0
1588951921,3,0
1588952521,8,0
1588953121,24,0
1588953722,3,0
1588954921,15,0
1588955521,1,0
1588956121,36,0
1588956722,18,0
1588958521,39,0
1588959721,2,0
