DateTime,AddedIPs,RemovedIPs
1588742522,11,7
1588743121,15,0
1588743721,49,7
1588744922,17,8
1588745521,21,0
1588746122,62,4
1588746722,20,10
1588747922,9,0
1588749121,11,2
1588749721,12,6
1588750321,48,5
1588750921,12,5
1588752122,32,1
1588752721,12,0
1588753921,13,0
1588754522,10,0
1588755121,54,5
1588756321,2,7
1588756921,15,0
1588757521,3,0
1588758121,46,4
1588758721,18,4
1588759321,1,20
1588760521,14,0
1588761721,2,0
1588762922,15,6
1588764122,2,5
1588764722,6,0
1588765922,18,13
1588766522,10,0
1588767722,30,4
1588768322,5,0
1588768921,16,1
1588769521,28,7
1588770122,9,3
1588771321,17,2
1588772522,7,0
1588773122,26,2
1588773721,70,2
1588774321,13,0
1588775522,12,2
1588776122,37,11
1588776721,5,0
1588778521,31,5
1588779121,6,3
1588779721,42,16
1588780921,18,3
1588781522,23,1
1588782121,10,0
1588782721,44,13
1588783321,16,0
1588783922,9,7
1588784521,21,11
1588785121,14,9
1588786322,19,0
1588787522,54,3
1588788121,16,4
1588789321,43,0
1588789921,39,5
1588790522,27,3
1588791122,16,2
1588792921,20,6
1588794121,5,0
1588795321,11,12
1588796521,12,15
1588797121,19,2
1588797722,18,0
1588798921,2,9
1588800121,65,3
1588800722,12,6
1588801322,37,0
1588802521,2,0
1588803122,15,7
1588803721,23,0
1588804322,22,4
1588805521,12,0
1588806121,23,0
1588806722,33,3
1588807322,15,4
1588808521,6,1
1588809121,64,0
1588809721,15,0
1588810922,17,4
1588812122,15,3
1588813321,10,19
1588813921,19,7
1588815121,39,0
1588815722,19,0
1588816321,0,11
1588817521,9,13
1588818121,6,4
1588819321,32,12
1588819921,10,0
1588821121,16,1
1588821721,11,3
1588822922,10,0
1588824121,30,6
1588825321,6,4
1588826522,7,4
1588827722,10,21
1588828322,29,0
1588829521,6,5
1588830122,42,0
1588830721,9,0
1588831321,0,6
1588832521,4,4
1588833121,0,9
1588833722,25,0
1588834922,5,0
1588836122,24,13
1588837321,14,0
1588838521,5,12
1588839721,38,25
1588840321,40,2
1588841522,35,4
1588842121,27,8
1588842722,13,0
1588843921,46,12
1588844521,21,9
1588845121,5,0
1588845721,68,21
1588846322,8,0
1588846921,15,4
1588847521,3,5
1588848121,20,8
1588849321,8,13
1588849922,27,4
1588850521,4,0
1588851721,9,0
1588852321,3,6
1588853522,10,15
1588854122,4,1
1588854721,35,0
1588855322,32,5
1588856522,2,2
1588857121,33,15
1588858322,3,47
1588858922,23,0
1588859521,47,15
1588860121,37,8
1588860721,14,0
1588861321,14,4
1588862521,47,5
1588863122,2,11
1588864921,30,4
1588866121,3,22
1588867321,19,20
1588869721,9,22
1588870321,14,0
1588870921,43,19
1588872122,5,0
1588872722,25,2
1588873322,10,15
1588873921,2,0
1588875722,7,7
1588876921,9,0
1588877521,7,10
1588878121,3,0
1588879321,5,1
1588880521,4,6
1588881721,20,5
1588882922,19,2
1588884122,22,3
1588885322,16,8
1588886521,3,3
1588887121,42,17
1588888321,2,3
1588888921,38,6
1588890122,13,0
1588891321,3,1
1588892522,39,4
1588893721,24,26
1588894921,16,17
1588896121,16,7
1588897321,2,25
1588898521,3,2
1588899121,35,9
1588900321,1,0
1588901522,2,4
1588902122,22,5
1588902721,12,10
1588903321,18,2
1588904522,50,4
1588905721,8,0
1588906322,9,15
1588908121,9,4
1588909321,13,1
1588910521,35,6
1588911121,6,8
1588912322,36,0
1588912922,6,2
1588914121,5,3
1588915321,50,3
1588915921,3,0
1588916522,15,17
1588917721,18,12
1588918921,65,20
1588919521,24,5
1588920721,44,0
1588921322,28,0
1588922521,5,8
1588923721,2,6
1588924922,47,3
1588926122,1,3
1588927321,66,0
1588927921,30,9
1588929122,4,0
1588929721,61,3
1588930321,5,0
1588930921,11,4
1588931521,8,19
1588932121,34,9
1588933321,9,4
1588934521,32,15
1588935121,36,4
1588935721,4,5
1588936922,5,8
1588938722,6,6
1588939321,72,1
1588940521,3,4
1588941121,20,5
1588941721,28,0
1588942922,21,8
1588944121,16,12
1588944721,6,5
1588945321,7,0
1588945921,13,23
1588947722,40,9
1588948921,11,4
1588949521,1,0
1588950121,5,3
1588950721,31,1
1588951321,11,4
1588951921,3,0
1588952521,6,12
1588953121,26,0
1588953722,4,23
1588954322,19,0
1588954921,26,12
1588956121,15,0
1588956722,20,2
1588957321,35,12
1588958521,10,3
1588959721,3,0
1588960921,1,6
1588961521,30,0
1588962121,1,7
1588963322,1,0
1588964521,32,6
1588965121,9,9
1588966321,2,2
1588966921,23,0
1588968121,2,22
1588969322,19,3
1588970522,8,3
1588971122,14,5
1588971721,2,9
1588972922,27,3
1588974121,29,0
1588975322,9,18
1588975922,17,4
1588977121,3,0
1588977721,5,3
1588978321,13,0
1588978922,2,4
1588980721,31,4
1588981321,43,3
1588982522,8,1
1588983721,19,8
1588984921,24,1
1588985521,3,2
1588986122,35,8
1588987321,6,0
1588988521,27,7
1588989024,2,0
1588989721,47,0
1588990321,45,14
1588992121,18,0
1588992721,2,6
1588994522,2,11
1588995121,29,0
1588995721,34,30
1588996921,1,3
1588998122,7,0
1588999321,26,14
1588999921,13,0
1589000522,11,0
1589001721,32,15
1589002321,20,0
1589003521,5,2
1589004721,28,10
1589005921,5,2
1589006522,5,46
1589007122,5,0
1589007721,0,8
1589008921,3,0
1589010121,60,7
1589011321,0,12
1589011922,2,9
1589012521,4,0
1589013721,6,10
1589014322,37,0
1589014922,3,3
1589016122,33,22
1589017321,3,20
1589017921,44,8
1589019122,46,2
1589019722,5,0
1589020321,7,0
1589020921,6,1
1589021522,31,10
1589022121,31,3
1589022721,7,0
1589023921,10,6
1589024521,2,0
1589025121,6,3
1589025722,15,6
1589026921,18,3
1589027521,35,3
1589028121,9,14
1589029322,10,3
1589029921,3,9
1589031121,10,0
1589031721,12,0
1589032321,10,1
1589032921,25,7
1589034122,4,14
1589035321,26,21
1589035921,34,0
1589036521,8,0
1589037722,15,15
1589038921,14,44
1589040122,22,1
1589041321,0,6
1589042521,7,12
1589043122,7,0
1589043722,6,5
1589044321,3,33
1589044921,38,0
1589046121,40,5
1589046721,10,0
1589047321,2,0
1589047922,19,1
1589049721,6,11
1589050921,61,17
1589052122,19,15
1589052721,50,0
1589053921,28,9
1589054521,28,3
1589055722,17,1
1589056321,14,9
1589057521,5,7
1589058121,29,0
1589059321,9,13
1589060521,8,12
1589061721,54,10
1589062921,10,9
1589064121,28,8
1589065321,19,0
1589066521,1,5
1589067721,42,9
1589068921,7,6
1589070121,10,30
1589070721,4,0
1589071321,8,6
1589072521,29,15
1589073721,20,17
1589074322,11,1
1589075522,10,0
1589076721,7,4
1589077321,2,3
1589077922,14,0
1589079121,31,34
1589079721,18,0
1589080921,14,5
1589082122,42,11
1589082722,16,5
1589083922,21,17
1589084522,1,0
1589085721,10,36
1589086921,54,0
1589088121,8,9
1589089321,0,10
1589090522,40,18
1589091721,20,4
1589092921,25,7
1589093522,22,0
1589094121,1,11
1589095321,8,7
1589096522,20,8
1589097722,16,0
1589098321,25,23
1589099522,13,0
1589100121,2,0
1589100721,4,7
1589101321,22,0
1589102521,22,28
1589103721,21,0
1589104921,9,12
1589105521,42,0
1589106121,17,17
1589107321,14,9
1589107922,9,0
1589108521,10,2
1589109722,11,16
1589110321,9,0
1589110922,4,0
1589111522,11,7
1589112121,31,0
1589112722,17,17
1589113321,3,0
1589113921,9,8
1589114521,2,4
1589115121,12,0
1589115721,43,0
1589116322,12,36
1589116921,10,0
1589118122,52,0
1589118722,3,28
1589119322,15,6
1589120521,24,33
1589121721,4,6
1589122321,42,11
1589122921,17,9
1589124121,7,6
1589124722,64,16
1589125322,20,11
1589126521,43,11
1589127121,20,27
1589128321,4,0
1589129521,5,41
1589130121,15,0
1589130721,27,15
1589131321,1,0
1589132522,18,0
1589133721,12,16
1589134321,15,0
1589134921,8,14
1589136121,13,10
1589137322,37,4
1589137921,50,5
1589139121,16,8
1589139722,13,10
1589140321,7,5
1589140921,3,5
1589142121,8,20
1589143321,9,8
1589144522,4,0
1589145722,22,24
1589146922,52,18
1589148121,10,10
1589148721,32,17
1589149321,21,0
1589149921,5,13
1589151121,5,0
1589151721,4,7
1589152321,55,2
1589152921,4,11
1589154122,6,0
1589155449,26,18
1589156521,21,25
1589157122,2,9
1589157721,37,10
1589158922,4,0
1589160121,6,10
1589160722,33,8
1589161321,59,8
1589162521,6,0
1589163721,8,8
1589164921,27,12
1589165521,9,4
1589167321,4,7
1589167921,33,5
1589169122,20,22
1589169721,17,0
1589170922,36,11
1589172122,8,12
1589173321,3,65
1589173921,9,6
1589175121,15,0
1589175721,5,0
1589176921,1,6
1589178122,4,9
1589179322,3,5
1589180522,9,1
1589181721,18,7
1589182321,14,4
1589183521,21,56
1589184122,4,11
1589185321,35,2
1589185921,11,0
1589186521,11,38
1589187121,6,6
1589187722,34,0
1589189521,32,33
1589190121,5,0
1589190721,7,14
1589191321,39,34
1589191921,1,64
1589192522,5,0
