DateTime,AddedIPs,RemovedIPs
1588612922,1,1
1588614121,0,5
1588615321,3,12
1588616522,4,1
1588617722,4,0
1588618321,3,1
1588619522,3,5
1588620122,7,0
1588620721,2,0
1588621321,0,3
1588622522,2,2
1588623722,3,3
1588625521,1,3
1588627321,0,2
1588628521,6,6
1588630921,5,4
1588633322,4,2
1588634522,3,1
1588635722,8,2
1588636321,1,3
1588637521,2,0
1588638121,23,1
1588638721,15,0
1588639921,2,0
1588640521,6,1
1588642321,3,2
1588643522,3,2
1588644721,2,4
1588645921,4,1
1588646521,23,0
1588647121,0,1
1588648921,13,0
1588650122,8,2
1588650721,13,3
1588651321,1,1
1588652521,19,4
1588653721,3,17
1588654322,1,0
1588654921,2,0
1588656121,0,2
1588657321,3,4
1588657921,0,2
1588658522,2,2
1588659721,1,0
1588660921,10,0
1588662122,1,0
1588663321,6,0
1588663921,1,1
1588664521,1,1
1588665121,1,0
1588665721,2,1
1588666921,4,2
1588668121,1,17
1588668721,1,19
1588669321,3,0
1588670522,5,24
1588671721,1,2
1588672321,4,0
1588672921,2,0
1588673521,1,1
1588674722,2,3
1588675321,2,0
1588675921,0,2
1588678921,1,3
1588680122,2,1
1588681321,1,1
1588682521,4,2
1588683721,1,1
1588684921,0,3
1588685521,3,0
1588686121,0,3
1588686721,2,1
1588687921,3,0
1588688521,0,2
1588689721,2,1
1588691521,0,1
1588692121,1,6
1588693321,2,6
1588693921,1,0
1588694521,0,1
1588695121,3,0
1588695721,1,0
1588696321,0,1
1588696921,3,0
1588697521,0,1
1588698721,2,0
1588699321,2,0
1588700521,0,2
1588701721,0,4
1588702321,2,0
1588705321,3,1
1588706522,1,7
1588707721,1,3
1588708321,1,0
1588711321,4,0
1588712521,0,3
1588714922,2,4
1588715522,1,0
1588716121,1,3
1588716721,1,1
1588719721,1,8
1588720921,1,0
1588722722,0,7
1588724521,1,1
1588725121,1,0
1588726321,2,3
1588726922,0,1
1588727521,1,0
1588728122,0,4
1588729321,1,0
1588731121,1,4
1588732321,1,2
1588732921,1,0
1588735322,3,25
1588735921,0,21
1588737121,0,6
1588738922,1,1
1588740122,3,3
1588741321,0,5
1588742522,2,0
1588743121,0,1
1588743721,1,3
1588744922,2,1
1588745521,5,2
1588746121,1,0
1588747321,1,1
1588748521,1,1
1588749721,0,6
1588750321,1,1
1588751521,3,0
1588753321,1,2
1588755121,2,1
1588757521,1,0
1588758121,1,1
1588759321,2,0
1588759921,0,9
1588760521,1,0
1588761721,11,0
1588764122,2,1
1588765321,1,2
1588766522,0,1
1588767722,0,2
1588768322,2,0
1588768921,2,0
1588771321,4,1
1588772522,0,2
1588774921,0,3
1588776122,0,7
1588777321,2,2
1588779121,2,2
1588779721,1,0
1588780921,0,2
1588781522,0,8
1588782721,1,25
1588783922,1,0
1588784521,1,4
1588785721,2,10
1588786322,1,0
1588786922,0,1
1588789321,4,8
1588790522,2,3
1588791122,0,7
1588792921,3,3
1588793521,1,0
1588794121,0,1
1588795321,0,3
1588796521,2,1
1588797722,0,2
1588798321,1,1
1588798921,1,0
1588800722,0,1
1588802521,2,7
1588803721,1,4
1588804921,3,1
1588806121,0,2
1588807322,1,1
1588808521,3,3
1588809721,1,3
1588810922,2,5
1588812122,1,1
1588812721,0,1
1588813921,3,2
1588814521,1,3
1588816321,1,4
1588816921,2,4
1588818121,1,4
1588818721,0,3
1588819921,2,0
1588821121,1,3
1588821721,0,4
1588822922,1,0
1588824121,0,4
1588825321,1,8
1588827722,2,0
1588828322,4,0
1588830122,2,1
1588831321,4,1
1588832521,2,2
1588833722,0,2
1588834922,0,4
1588836122,0,5
1588836721,0,2
1588837921,6,0
1588838521,0,2
1588839721,1,3
1588842121,5,2
1588842721,3,0
1588843321,4,3
1588843921,2,0
1588848121,1,0
1588849321,1,4
1588850521,3,2
1588851721,1,0
1588852321,3,2
1588854122,3,0
1588855322,0,2
1588856522,0,1
1588857722,0,1
1588858322,0,1
1588858922,2,0
1588860121,0,2
1588860721,26,0
