DateTime,AddedIPs,RemovedIPs
1588774321,30,30
1588774921,50,50
1588776122,51,51
1588777321,90,90
1588777922,16,16
1588779121,52,52
1588779721,41,41
1588780321,35,35
1588780921,18,18
1588781522,52,52
1588782721,76,76
1588783321,24,24
1588783922,50,50
1588784521,49,49
1588785121,51,51
1588785721,51,51
1588786322,35,35
1588786922,56,56
1588787522,43,43
1588788121,10,10
1588789321,92,92
1588790522,94,94
1588791122,29,29
1588791721,60,60
1588792921,91,91
1588793521,28,28
1588794121,66,66
1588795321,85,85
1588796521,91,91
1588797722,94,94
1588798321,62,62
1588798921,76,76
1588800121,81,81
1588800722,41,41
1588801322,41,41
1588802521,96,96
1588803721,98,98
1588804921,94,94
1588805521,37,37
1588806121,38,38
1588807322,80,80
1588808521,93,93
1588809121,29,29
1588809721,48,48
1588810922,86,86
1588812122,97,97
1588812721,43,43
1588813921,93,93
1588814521,39,39
1588815722,92,92
1588816321,45,45
1588816921,83,83
1588818121,80,80
1588818721,70,70
1588819921,83,83
1588821121,56,56
1588821721,32,32
1588822922,72,72
1588824121,68,68
1588825321,91,91
1588826521,93,93
1588827722,86,86
1588828322,71,71
1588829521,78,78
1588830122,33,33
1588831321,86,86
1588832521,86,86
1588833722,44,44
1588834922,82,82
1588836122,89,89
1588836721,63,63
1588837921,89,89
1588838521,66,66
1588839721,97,97
1588840921,68,68
1588841522,39,39
1588842121,82,82
1588842721,76,76
1588843321,76,76
1588843921,60,60
1588844521,49,49
1588845721,97,97
1588846322,31,31
1588846921,38,38
1588847521,28,28
1588848121,60,60
1588848721,54,54
1588849321,67,67
1588850521,75,75
1588851721,68,68
1588852321,36,36
1588852921,36,36
1588854122,90,90
1588854721,25,25
1588855322,42,42
1588856522,56,56
1588857722,66,66
1588858322,52,52
1588858922,18,18
1588859521,7,7
1588860121,38,38
1588860721,79,79
1588861321,31,31
1588861921,51,51
1588862521,18,18
1588863122,45,45
1588863721,16,16
1588864921,87,87
1588865522,43,43
1588866121,39,39
1588867321,89,89
1588867921,55,55
1588869122,71,71
1588869721,20,20
1588870321,15,15
1588870921,14,14
1588872122,40,40
1588872722,15,15
1588873322,56,56
1588873921,19,19
1588875722,94,94
1588876921,84,84
1588877521,38,38
1588878121,44,44
1588879321,90,90
1588879921,54,54
1588880521,30,30
1588881721,66,66
1588882922,98,98
1588883521,60,60
1588884722,94,94
1588885322,49,49
1588886521,97,97
1588887121,67,67
1588887721,46,46
1588888321,68,68
1588888921,48,48
1588890122,92,92
1588890721,80,80
1588891321,63,63
1588892522,99,99
1588893721,84,84
1588894921,95,95
1588895521,42,42
1588896121,79,79
1588897321,70,70
1588897921,33,33
1588899121,49,49
1588899721,36,36
1588900321,90,90
1588901522,95,95
1588902122,57,57
1588903321,87,87
1588904522,85,85
1588905121,55,55
1588905721,46,46
1588906322,59,59
1588908121,94,94
1588908721,77,77
1588909921,96,96
1588910521,78,78
1588911722,93,93
1588912922,99,99
1588914121,93,93
1588915321,93,93
1588916522,83,83
1588917721,77,77
1588918921,95,95
1588920122,98,98
1588920721,74,74
1588921921,88,88
1588922521,27,27
1588923721,88,88
1588924321,44,44
1588924922,57,57
1588926122,91,91
1588926721,43,43
1588927321,37,37
1588928521,78,78
1588929122,17,17
1588929721,15,15
1588930321,40,40
1588930921,43,43
1588931521,62,62
1588932121,24,24
1588932721,55,55
1588933321,41,41
1588934521,41,41
1588935121,46,46
1588935721,20,20
1588936322,23,23
1588936921,50,50
1588937522,16,16
1588938722,100,100
1588939321,94,94
1588940521,90,90
1588941121,83,83
1588941721,61,61
1588942321,86,86
1588942922,86,86
1588944121,83,83
1588944721,82,82
1588945321,65,65
1588945921,76,76
1588946522,58,58
1588947722,86,86
1588948321,62,62
1588948921,84,84
1588949521,78,78
1588950721,88,88
1588951321,45,45
1588951921,88,88
1588952521,43,43
1588953722,77,77
1588954921,85,85
1588955521,77,77
1588956121,78,78
1588956722,72,72
1588957321,45,45
1588957922,63,63
1588958521,58,58
1588959721,82,82
1588960921,79,79
1588961521,54,54
1588962121,87,87
1588963322,93,93
1588963922,92,92
1588965121,80,80
1588966321,87,87
1588966921,54,54
1588968121,84,84
1588969321,72,72
1588970522,77,77
1588971122,37,37
1588971721,47,47
1588972922,84,84
1588974121,70,70
1588975322,71,71
1588975922,61,61
1588976522,49,49
1588977721,62,62
1588978321,50,50
1588979521,80,80
1588980121,49,49
1588980721,49,49
1588981321,34,34
1588982522,72,72
1588983121,54,54
1588984321,67,67
1588984921,31,31
1588985521,45,45
1588986721,58,58
1588987321,19,19
1588987922,41,41
1588988320,22,22
1588989024,79,79
1588989121,24,24
1588990321,58,58
1588990921,43,43
1588992121,51,51
1588993321,63,63
1588994522,74,74
1588995121,42,42
1588995721,40,40
1588996921,53,53
1588997522,32,32
1588998122,81,81
1588999321,74,74
1588999921,59,59
1589000522,41,41
1589001721,73,73
1589002921,76,76
1589004721,74,74
1589005321,42,42
1589006522,87,87
1589007122,98,98
1589007721,82,82
1589008921,59,59
1589010121,54,54
1589011321,65,65
1589011922,47,47
1589012521,35,35
1589013721,49,49
1589014322,50,50
1589014922,7,7
1589015521,46,46
1589016121,46,46
1589017321,54,54
1589017921,40,40
1589018521,40,40
1589019122,53,53
1589019722,7,7
1589020321,50,50
1589020921,46,46
1589021522,1,1
1589022121,42,42
1589023321,42,42
1589023921,65,65
1589025121,62,62
1589026321,59,59
1589026921,70,70
1589027521,22,22
1589028121,54,54
1589028721,29,29
1589029322,24,24
1589030521,83,83
1589031721,51,51
1589032321,79,79
1589032921,39,39
1589034122,80,80
1589034721,65,65
1589035321,51,51
1589035921,36,36
1589036521,67,67
1589037122,43,43
1589037722,37,37
1589038321,28,28
1589038921,53,53
1589039521,45,45
1589040122,26,26
1589041321,75,75
1589042521,53,53
1589043122,31,31
1589043722,47,47
1589044321,28,28
1589044921,27,27
1589045521,42,42
1589046121,42,42
1589046721,31,31
1589047321,32,32
1589047921,53,53
1589049121,57,57
1589049721,44,44
1589050321,45,45
1589050921,24,24
1589052122,44,44
1589053321,61,61
1589054521,65,65
1589055121,32,32
1589055722,23,23
1589056321,25,25
1589057521,48,48
1589058121,33,33
1589059321,77,77
1589060521,84,84
1589061721,80,80
1589062321,34,34
1589062921,26,26
1589064121,64,64
1589065321,47,47
1589066521,60,60
1589067721,80,80
1589068921,44,44
1589070121,69,69
1589070721,36,36
1589071321,33,33
1589071921,25,25
1589072521,34,34
1589073721,55,55
1589074922,73,73
1589076121,70,70
1589077321,73,73
1589077922,45,45
1589078521,30,30
1589079121,26,26
1589079721,32,32
1589080921,68,68
1589081521,25,25
1589082722,49,49
1589083321,42,42
1589084522,59,59
1589085721,30,30
1589086321,20,20
1589086921,38,38
1589088121,74,74
1589089321,85,85
1589090522,76,76
1589091721,75,75
1589092921,61,61
1589093522,40,40
1589094121,37,37
1589094721,45,45
1589095321,37,37
1589096522,55,55
1589097722,46,46
1589098922,56,56
1589100121,56,56
1589100721,35,35
1589101321,22,22
1589101922,41,41
1589102521,12,12
1589103121,25,25
1589103721,15,15
1589104921,39,39
1589105521,21,21
1589106121,27,27
1589107321,49,49
1589107922,14,14
1589108521,31,31
1589109121,98,98
1589109722,38,38
1589110321,42,42
1589110922,42,42
1589111522,36,36
1589112121,32,32
1589112722,31,31
1589113921,56,56
1589114521,38,38
1589115121,41,41
1589115721,17,17
1589117521,70,70
1589118122,43,43
1589118721,31,31
1589119322,52,52
1589119921,38,38
1589121121,63,63
1589122321,42,42
1589122921,33,33
1589123522,18,18
1589124121,33,33
1589124721,26,26
1589125322,43,43
1589125922,36,36
1589127121,44,44
1589127722,28,28
1589128321,28,28
1589128921,16,16
1589129521,28,28
1589130721,51,51
1589131321,93,93
1589132521,99,99
1589133121,28,28
1589133721,74,74
1589134321,70,70
1589135521,57,57
1589136121,70,70
1589137322,71,71
1589137921,51,51
1589139121,52,52
1589139722,43,43
1589140321,49,49
1589140921,48,48
1589142121,50,50
1589142722,47,47
1589143321,42,42
1589144522,67,67
1589145722,52,52
1589146921,60,60
1589147521,73,73
1589148121,59,59
1589148721,56,56
1589149321,51,51
1589149921,32,32
1589151121,72,72
1589151721,45,45
1589152921,57,57
1589154122,58,58
1589155921,55,55
1589156521,44,44
1589157721,61,61
1589158321,45,45
1589158922,47,47
1589160121,67,67
1589161321,61,61
1589161921,41,41
1589162521,50,50
1589163121,44,44
1589164322,69,69
1589165521,42,42
1589166722,77,77
1589167321,64,64
1589168521,72,72
1589169721,70,70
1589170922,61,61
1589172122,63,63
1589172721,54,54
1589173921,60,60
1589175121,62,62
1589176321,77,77
1589176921,52,52
1589178122,70,70
1589178721,42,42
1589179322,59,59
1589180522,51,51
1589181721,50,50
1589182321,33,33
1589183521,47,47
1589184122,24,24
1589185321,50,50
1589185921,36,36
1589186521,44,44
1589187121,43,43
1589187722,40,40
1589188321,49,49
1589189521,73,73
1589190121,14,14
1589190721,33,33
1589191321,44,44
1589191921,36,36
1589192522,45,45
