DateTime,AddedIPs,RemovedIPs
1587357181,0,9
1587360781,3,0
1587364381,2,3
1587367982,6,14
1587371582,5,3
1587375181,0,4
1587378781,1,4
1587382381,3,0
1587385981,5,7
1587389581,3,4
1587396781,3,5
1587400381,5,4
1587403982,1,0
1587407581,6,7
1587411181,7,6
1587414781,5,0
1587418382,2,15
1587421982,3,0
1587425581,4,4
1587429181,5,0
1587432782,3,2
1587436382,0,2
1587439981,7,2
1587447181,2,7
1587450781,0,4
1587454382,2,0
1587457982,2,6
1587461582,3,6
1587465181,2,4
1587468781,3,9
1587472381,3,0
1587475982,0,5
1587479582,12,2
1587483182,3,3
1587486781,5,4
1587490381,3,12
1587493981,6,5
1587497581,3,2
1587501181,2,0
1587504782,6,4
1587508382,4,5
1587511981,3,0
1587515581,3,3
1587519182,2,1
1587522781,1,5
1587526381,5,3
1587529982,5,7
1587533581,9,0
1587537182,5,4
1587540784,8,0
1587544381,2,8
1587547982,1,5
1587551582,8,6
1587555181,3,2
1587558782,2,0
1587562382,6,0
1587565982,2,8
1587569581,5,2
1587573182,5,9
1587576782,6,0
1587580381,6,3
1587583981,3,3
1587587582,7,9
1587591182,6,0
1587594781,2,4
1587598381,4,0
1587601982,6,3
1587605581,3,5
1587609181,3,0
1587612781,1,4
1587616381,2,7
1587619982,2,3
1587623582,0,4
1587627181,1,5
1587630782,4,8
1587634381,5,0
1587637982,7,4
1587641581,3,5
1587645182,5,7
1587648781,1,8
1587652381,8,5
1587655981,7,2
1587659582,4,4
1587663181,4,0
1587666781,0,12
1587670381,1,4
1587673981,5,3
1587677581,6,0
1587681181,8,5
1587684782,7,5
1587688381,4,0
1587691981,2,8
1587695581,3,6
1587699181,2,1
1587702781,4,0
1587706382,0,6
1587709981,2,2
1587713582,3,4
1587717181,2,0
1587720781,1,10
1587724381,8,4
1587727981,5,0
1587731582,7,4
1587735181,1,7
1587738781,4,0
1587742381,7,5
1587745982,1,4
1587749581,4,8
1587753181,5,10
1587756781,3,0
1587760382,9,4
1587763981,2,11
1587767581,2,0
1587771182,2,7
1587774782,3,7
1587778381,3,0
1587781982,5,1
1587785582,3,0
1587789182,9,5
1587792782,5,4
1587796382,3,0
1587799981,3,4
1587803581,2,3
1587807181,4,4
1587810782,6,0
1587814382,2,3
1587817982,0,8
1587821581,1,4
1587825181,3,0
1587828781,1,2
1587832381,9,6
1587835982,6,4
1587839581,5,1
1587843182,6,6
1587846782,2,7
1587850382,3,0
1587853982,4,9
1587857582,4,1
1587861181,2,0
1587864781,3,2
1587868382,4,6
1587871981,2,6
1587875581,2,0
1587879181,7,9
1587882781,2,1
1587886382,2,3
1587889982,2,3
1587893582,6,0
1587897181,2,6
1587900781,4,0
1587904381,3,9
1587907982,2,0
1587911582,5,8
1587915182,6,4
1587918781,2,0
1587922382,4,6
1587925982,2,0
