DateTime,AddedIPs,RemovedIPs
1587310381,7,7
1587313982,15,15
1587317581,15,17
1587321181,18,18
1587324781,12,13
1587328382,20,17
1587331982,14,18
1587335582,16,13
1587339181,12,12
1587342782,15,17
1587346381,17,14
1587349982,7,8
1587353582,12,10
1587357181,10,11
1587360781,12,15
1587364381,12,12
1587367982,19,18
1587371582,20,20
1587375181,13,13
1587378781,15,14
1587382381,12,13
1587385981,21,19
1587389581,15,18
1587393181,3,3
1587396781,15,13
1587400381,16,18
1587403982,14,15
1587407581,15,13
1587411181,13,13
1587414781,16,16
1587418382,8,8
1587421982,11,10
1587425581,13,12
1587429181,15,17
1587432782,11,11
1587439981,17,17
1587443582,11,12
1587447181,15,17
1587454382,14,11
1587457982,9,11
1587461582,9,9
1587465181,11,10
1587468781,9,8
1587472381,7,7
1587479582,25,25
1587483182,8,8
1587486781,12,14
1587490381,8,8
1587493981,16,16
1587497581,12,10
1587501181,11,11
1587504782,14,13
1587508382,13,13
1587511981,11,12
1587515581,14,13
1587519182,9,8
1587522781,11,15
1587526381,14,12
1587529982,19,17
1587533581,13,16
1587537182,12,12
1587540784,20,19
1587544381,12,10
1587547982,10,15
1587551582,13,13
1587555181,12,13
1587558782,13,14
1587562382,12,10
1587565982,8,9
1587569581,16,15
1587573182,11,9
1587576782,14,14
1587580381,13,14
1587583981,10,11
1587587582,14,13
1587591182,16,12
1587594781,7,9
1587598381,13,13
1587601982,14,10
1587605581,14,16
1587609181,10,14
1587612781,8,9
1587616381,9,10
1587619982,15,10
1587623582,1,1
1587627181,3,3
1587630782,15,18
1587634381,11,13
1587637982,18,21
1587641581,12,13
1587645182,10,10
1587648781,10,10
1587652381,14,11
1587655981,15,16
1587659582,13,11
1587663181,13,15
1587666781,11,10
1587670381,5,6
1587673981,9,12
1587677581,11,9
1587681181,16,15
1587684782,18,17
1587688381,10,10
1587691981,8,9
1587695581,10,8
1587699181,15,13
1587702781,10,12
1587706382,13,14
1587709981,11,8
1587713582,11,12
1587717181,11,13
1587720781,4,3
1587724381,14,13
1587727981,19,15
1587731582,16,16
1587735181,15,16
1587738781,18,20
1587742381,14,14
1587745982,11,11
1587749581,12,13
1587753181,11,12
1587756781,13,10
1587760382,17,16
1587763981,19,20
1587767581,3,4
1587771182,11,11
1587774782,8,9
1587778381,11,11
1587781982,12,10
1587785582,7,10
1587789182,22,18
1587792782,21,21
1587796382,13,10
1587799981,12,14
1587803581,7,8
1587807181,15,14
1587810782,13,11
1587814382,11,17
1587817982,13,11
1587821581,9,10
1587825181,10,11
1587828781,12,10
1587832381,13,14
1587835982,17,15
1587839581,12,13
1587843182,22,19
1587846782,11,14
1587850382,13,11
1587853982,16,17
1587857582,16,15
1587861181,12,17
1587864781,12,11
1587868382,12,10
1587871981,12,11
1587875581,13,10
1587879181,15,18
1587882781,16,17
1587886382,11,13
1587889982,11,11
1587893582,16,13
1587897181,11,14
1587900781,13,14
1587904381,13,12
1587907982,10,9
1587911582,11,13
1587915182,16,15
1587918781,10,10
1587922382,14,15
1587925982,10,10
1587929581,7,7
1587933181,18,15
1587936781,11,14
1587940381,8,7
1587943982,15,14
1587947582,10,10
1587951182,20,19
1587954781,14,11
1587958381,12,12
1587961981,5,10
1587965581,9,7
1587969182,11,11
1587972782,18,20
1587976382,12,12
1587979982,11,9
1587983581,14,14
1587987181,21,21
1587990781,15,18
1587994381,16,14
1587997981,20,18
1588001582,15,20
1588005182,16,15
1588008781,21,15
1588012381,16,15
1588015982,16,19
1588019582,20,18
1588023182,12,14
1588026782,16,18
1588030382,10,13
1588033982,11,7
1588037581,16,14
1588041182,13,14
1588044781,10,13
1588048381,13,9
1588051982,10,13
1588055581,16,17
1588059182,18,16
1588062782,16,14
1588066382,12,13
1588069981,12,12
1588073581,10,10
1588077181,17,18
1588080782,15,13
1588084381,14,13
1588087981,16,18
1588091582,12,13
1588095182,19,17
1588098781,13,14
1588102381,6,6
1588105982,8,9
1588109581,21,22
1588113182,15,17
1588116781,4,5
1588120381,16,13
1588123981,9,9
1588127581,10,10
1588131182,10,11
1588134782,12,13
1588138382,16,14
1588141981,11,11
1588145582,13,14
1588149181,13,11
1588156382,9,11
1588159981,17,17
1588163582,9,7
1588167181,18,18
1588170782,13,16
1588174382,15,14
1588177981,13,17
1588181581,18,18
1588185182,8,9
1588188782,15,14
1588192381,15,14
1588195981,10,8
1588199581,14,15
1588203181,10,10
1588206781,13,13
1588210381,14,14
1588213981,17,18
1588217581,11,12
1588221182,22,16
1588224782,11,12
1588228382,12,11
1588231981,13,16
1588235582,20,18
1588239181,16,19
1588242781,10,8
1588246381,14,12
1588249982,17,18
1588253582,11,12
1588257182,15,15
1588260781,10,10
1588264382,14,13
1588267981,15,17
1588271582,13,14
1588275181,15,13
1588278781,13,13
1588282382,12,13
1588285982,12,11
1588289581,10,11
1588296781,8,7
1588300381,14,11
1588303982,12,12
1588307582,18,18
1588311181,18,19
1588314781,12,11
1588318381,11,12
1588321982,14,14
1588325581,14,17
1588329182,15,17
1588332782,15,14
1588336381,7,7
1588339982,16,14
1588343582,16,17
1588347181,15,16
1588350782,13,12
1588354381,16,13
1588357982,15,15
1588361581,16,17
1588365181,12,12
1588368781,12,14
1588372381,8,7
1588375981,8,5
1588379582,9,15
1588383182,6,6
1588386781,12,8
1588390381,10,12
1588393982,14,12
1588397582,12,13
1588401181,11,12
1588404782,13,13
1588408382,15,15
1588411981,12,10
1588415582,12,12
1588419181,8,11
1588422782,10,9
1588426381,9,9
1588429982,9,11
1588433581,8,9
1588437181,9,7
1588440781,12,12
1588444381,14,12
1588447981,14,14
1588451581,14,13
1588455181,9,8
1588458781,9,11
1588462381,7,9
1588465982,17,14
1588469582,12,13
1588473181,9,10
1588476782,16,15
1588480382,15,14
1588487581,20,21
1588494782,9,9
1588498381,16,18
1588501982,13,14
1588505581,4,4
1588509182,22,19
1588512782,10,12
1588519982,15,14
1588523582,16,19
1588527182,11,11
1588530782,17,18
1588534382,13,10
1588537982,16,12
1588541582,15,17
1588545181,18,19
1588548782,14,11
1588552381,15,16
1588555981,15,14
1588559582,13,15
1588563181,17,14
1588566781,10,12
1588570382,17,14
1588573982,10,11
1588577584,17,21
1588581182,13,16
1588588382,18,16
1588591982,22,18
1588595582,12,10
1588599181,15,18
1588606382,21,23
